
[00:00:00.000 --> 00:00:05.000]  我們先來讀戈林多前書第十章
[00:00:05.000 --> 00:00:10.000]  戈林多前書第十章三十二節
[00:00:10.000 --> 00:00:21.000]  我們一起來讀戈林多前書第十章三十二節
[00:00:21.000 --> 00:00:23.000]  一起來
[00:00:23.000 --> 00:00:30.000]  不懼是猶太人、是西尼尼人、是神的教會
[00:00:30.000 --> 00:00:33.000]  你們都不要使祂跌倒
[00:00:33.000 --> 00:00:36.000]  我們就讀這些聖經
[00:00:36.000 --> 00:00:42.000]  戈林多前書第十章三十二節
[00:00:42.000 --> 00:00:48.000]  這些經文把人類分爲三大類
[00:00:50.000 --> 00:00:58.000]  猶太人、西尼尼人、外邦人和教會
[00:00:58.000 --> 00:01:03.000]  猶太人、外邦人和教會
[00:01:03.000 --> 00:01:05.000]  三大類
[00:01:05.000 --> 00:01:07.000]  所以不管世上是什麼樣的人
[00:01:07.000 --> 00:01:12.000]  都是歸納三大類裏其中的一類
[00:01:16.000 --> 00:01:22.000]  教會是在耶穌基督死和復活以後
[00:01:22.000 --> 00:01:24.000]  在五旬節的時候
[00:01:24.000 --> 00:01:26.000]  聖靈降臨
[00:01:26.000 --> 00:01:28.000]  然後教會就產生了
[00:01:28.000 --> 00:01:32.000]  教會是出現比較晚的
[00:01:32.000 --> 00:01:36.000]  教會是神的奧祕
[00:01:36.000 --> 00:01:40.000]  在五旬節以前
[00:01:40.000 --> 00:01:44.000]  人都不知道還有教會
[00:01:44.000 --> 00:01:46.000]  直到五旬節以後
[00:01:46.000 --> 00:01:49.000]  神把這個奧祕打開了
[00:01:49.000 --> 00:01:52.000]  就看見有教會
[00:01:52.000 --> 00:01:56.000]  那麼猶太人呢
[00:01:56.000 --> 00:02:00.000]  是從亞伯拉罕開始的
[00:02:00.000 --> 00:02:03.000]  他是希伯來人
[00:02:03.000 --> 00:02:06.000]  後來亞伯拉罕生了以撒
[00:02:06.000 --> 00:02:08.000]  以撒又生了雅各
[00:02:08.000 --> 00:02:11.000]  雅各有十二支派
[00:02:11.000 --> 00:02:16.000]  雅各的名字升級改爲以色列
[00:02:16.000 --> 00:02:20.000]  以後十二支派的人都成爲以色列
[00:02:20.000 --> 00:02:21.000]  所以總的說起來
[00:02:21.000 --> 00:02:24.000]  希伯來人跟以色列人
[00:02:24.000 --> 00:02:29.000]  這些人種是比較接近
[00:02:29.000 --> 00:02:31.000]  雖然不完全相等
[00:02:31.000 --> 00:02:35.000]  但是也是從亞伯拉罕開始的
[00:02:35.000 --> 00:02:36.000]  那外邦人呢
[00:02:36.000 --> 00:02:39.000]  從亞當開始
[00:02:39.000 --> 00:02:42.000]  其實在亞伯拉罕以前
[00:02:42.000 --> 00:02:45.000]  就沒有猶太人
[00:02:45.000 --> 00:02:47.000]  沒有希伯來人
[00:02:47.000 --> 00:02:51.000]  所以這個都是外邦人
[00:02:51.000 --> 00:02:53.000]  那麼到亞當開始
[00:02:53.000 --> 00:02:56.000]  一直到這個末了
[00:02:56.000 --> 00:02:58.000]  到這個世界的末了
[00:02:58.000 --> 00:02:59.000]  那教會呢
[00:02:59.000 --> 00:03:03.000]  是從使徒行傳開始
[00:03:03.000 --> 00:03:06.000]  一直到這個時代的結束
[00:03:06.000 --> 00:03:08.000]  那外邦人呢
[00:03:08.000 --> 00:03:12.000]  也是到這個最後這個時代的結束
[00:03:12.000 --> 00:03:14.000]  所以可以說呢
[00:03:14.000 --> 00:03:17.000]  這個三大類的人
[00:03:17.000 --> 00:03:19.000]  不管你事實上哪一個人
[00:03:19.000 --> 00:03:21.000]  不管你是哪個民族
[00:03:21.000 --> 00:03:22.000]  哪個國家
[00:03:22.000 --> 00:03:23.000]  什麼樣的信仰
[00:03:23.000 --> 00:03:28.000]  你都可以把他歸納這個三大類中間的一類
[00:03:28.000 --> 00:03:30.000]  這個是講到
[00:03:30.000 --> 00:03:31.000]  這些聖經講的
[00:03:31.000 --> 00:03:34.000]  是猶太人 悉尼人
[00:03:34.000 --> 00:03:37.000]  跟整個教會
[00:03:37.000 --> 00:03:44.000]  這猶太人 以色列人
[00:03:44.000 --> 00:03:48.000]  這以色列人是
