
[00:00:00.000 --> 00:00:04.000]  各位弟兄姊妹 新年夢幅 祝你未平安
[00:00:04.000 --> 00:00:08.000]  今天是新一年 第一個主日
[00:00:08.000 --> 00:00:11.000]  剛好又是一月一日
[00:00:11.000 --> 00:00:17.000]  對於小部份過去因為不夠針或未打針
[00:00:17.000 --> 00:00:19.000]  來不到的弟兄姊妹
[00:00:19.000 --> 00:00:23.000]  今天你能夠再次回來教會去敬拜
[00:00:23.000 --> 00:00:27.000]  我相信你的心比我們更加的感恩
[00:00:27.000 --> 00:00:29.000]  更加的興奮 同不同意嗎
[00:00:29.000 --> 00:00:32.000]  我見到一些 坐得很前
[00:00:32.000 --> 00:00:37.000]  記得早一段時間
[00:00:37.000 --> 00:00:40.000]  有個定居在新加坡的海外會友
[00:00:40.000 --> 00:00:42.000]  一位姊妹回來香港
[00:00:42.000 --> 00:00:46.000]  當時仍然黃碼不可以回教會
[00:00:46.000 --> 00:00:50.000]  可以出街 但不可以進我們這些處所
[00:00:50.000 --> 00:00:53.000]  她有找我們教會的姊妹 又進不來
[00:00:53.000 --> 00:00:58.000]  我在樓下準備跟弟兄姊妹說拜拜的時候
[00:00:58.000 --> 00:01:00.000]  她就到了
[00:01:00.000 --> 00:01:02.000]  我說為甚麼你不進來
[00:01:02.000 --> 00:01:04.000]  她說我再黃碼進不來
[00:01:04.000 --> 00:01:09.000]  感謝神 什麼碼都不需要了
[00:01:09.000 --> 00:01:12.000]  現在只要一心一意去敬拜真神
[00:01:12.000 --> 00:01:16.000]  教會已經有新的主題 是甚麼
[00:01:16.000 --> 00:01:20.000]  你看後面就中伏了
[00:01:20.000 --> 00:01:23.000]  未改一次 下星期就會改變
[00:01:23.000 --> 00:01:25.000]  周刊印了 是甚麼
[00:01:25.000 --> 00:01:31.000]  生命轉化 使命同行
[00:01:31.000 --> 00:01:34.000]  但願這也是我們一起努力的
[00:01:34.000 --> 00:01:38.000]  教會還有一些東西轉變了
[00:01:38.000 --> 00:01:40.000]  就是我們的麥克風
[00:01:40.000 --> 00:01:42.000]  同事說你不要這麼大聲 牧師
[00:01:42.000 --> 00:01:44.000]  那個麥克風已經很夠聲了
[00:01:44.000 --> 00:01:46.000]  所以我要經常提醒自己
[00:01:46.000 --> 00:01:48.000]  說話要溫柔一點
[00:01:51.000 --> 00:01:56.000]  今天我會跟大家思想《史諾行傳》第一章
