
[00:00:00.000 --> 00:00:03.200]  各位網友大家好,又來到聖經了
[00:00:03.200 --> 00:00:07.200]  今次已經來到《事、思、記》的結束了
[00:00:07.200 --> 00:00:11.200]  《生命述書》的網絡,跟大家看聖經人、聖經事
[00:00:11.200 --> 00:00:14.400]  看看背後上帝是怎樣的
[00:00:14.400 --> 00:00:19.000]  我自己認識得有限,盡量跟大家做些反省
[00:00:19.000 --> 00:00:24.200]  今次是《以色列沒有枉管,各人任意而行》
[00:00:24.200 --> 00:00:28.800]  是第十,來到《事、思、記》讀後反省
[00:00:28.800 --> 00:00:34.600]  這十是關於最後的五章,一共講了十次
[00:00:34.600 --> 00:00:38.400]  講了九次,來到第十可以做一個反省
[00:00:38.400 --> 00:00:41.400]  《事、思、記》由第一章開始到二十一章
[00:00:41.400 --> 00:00:44.800]  是由第十七章到二十一章是一件
[00:00:44.800 --> 00:00:50.000]  長的、有關係的、很亂的故事
[00:00:50.000 --> 00:00:54.200]  亂是以色列中沒有枉,各人任意而行
[00:00:54.200 --> 00:00:56.800]  當你看的時候,大家都讀過了
[00:00:56.800 --> 00:01:00.000]  是任意而行到很離譜的
[00:01:00.000 --> 00:01:04.800]  殺了無數人,那裡真的是萬萬聲這樣死的
[00:01:04.800 --> 00:01:08.400]  而且是自己的兄弟,真的很慘
[00:01:08.400 --> 00:01:13.000]  做些反省,由最後的故事做些反省
[00:01:13.000 --> 00:01:16.000]  或者整個《事、思、記》做些反省
[00:01:16.000 --> 00:01:21.200]  好,經文是二十一章第二十五節
[00:01:21.200 --> 00:01:25.000]  一句一,上次的結尾就是這一句了,昨天
[00:01:25.000 --> 00:01:30.000]  那時以色列中沒有枉,各人任意而行
[00:01:30.000 --> 00:01:34.000]  讀完整個《事、思、記》必須要記得這一節
[00:01:34.000 --> 00:01:38.200]  這一節就是整個《事、思、記》的key verse
[00:01:38.200 --> 00:01:43.000]  就是約節、鎖時、金句
[00:01:43.000 --> 00:01:45.600]  以色列中沒有枉,各人任意而行
[00:01:45.600 --> 00:01:51.600]  是用這一句來做《事、思、記》的一個總論
[00:01:51.600 --> 00:01:55.200]  跟大家看看《事、思、記》讀後反省
[00:01:55.200 --> 00:02:01.400]  我想最簡單,如果能夠用一章簡報跟大家做了
[00:02:01.400 --> 00:02:05.000]  就容易些了,變成五點的
[00:02:05.000 --> 00:02:09.200]  當然你可以做到十點反省,更加多的反省都可以
[00:02:09.200 --> 00:02:13.400]  我就簡單些做了五點跟大家反省
[00:02:13.400 --> 00:02:16.800]  都做了黃色的螢光
[00:02:16.800 --> 00:02:19.800]  第一個反省是什麼呢?第一
[00:02:19.800 --> 00:02:27.600]  是過往的屬靈經歷並不保證今天的靈性
[00:02:27.600 --> 00:02:33.400]  過往屬靈經歷並不保證今天靈性好
[00:02:33.400 --> 00:02:38.200]  再說一次,過往很高超、很高峰的
[00:02:38.200 --> 00:02:42.400]  出死入生的跟上帝很接近的屬靈經歷
[00:02:42.400 --> 00:02:47.000]  並不保證今天一定可以重新出現
[00:02:47.000 --> 00:02:51.800]  或者因為那一次這麼好的跟神一起的經歷
[00:02:51.800 --> 00:02:54.600]  或者經歷了上帝的大能等等
[00:02:54.600 --> 00:02:56.400]  同在、祝福等等
[00:02:56.400 --> 00:03:01.800]  而今天就一直保持著靈性好好到尾
[00:03:01.800 --> 00:03:04.200]  不會的,為什麼這樣說呢?
[00:03:04.200 --> 00:03:07.800]  你看到以色列人出埃及的時候
[00:03:07.800 --> 00:03:11.200]  在埃及圍爐430年
[00:03:11.200 --> 00:03:13.600]  當代的以色列人
[00:03:13.600 --> 00:03:18.200]  即是說士斯記裡面那些人的大部分人
[00:03:18.200 --> 00:03:20.800]  的爸爸媽媽那一代
[00:03:20.800 --> 00:03:23.200]  他們是親眼經歷
[00:03:23.200 --> 00:03:24.800]  如果他們已經年紀大
[00:03:24.800 --> 00:03:27.000]  是他們小時候已經經歷
[00:03:27.000 --> 00:03:28.000]  經歷什麼呢?
[00:03:28.000 --> 00:03:34.400]  就是經歷了上帝怎樣帶他們離開埃及
[00:03:34.400 --> 00:03:37.200]  叫一個人摩西,叫一個人亞倫
[00:03:37.200 --> 00:03:38.400]  帶他們出埃及
[00:03:38.400 --> 00:03:40.800]  第一個就是被法老追兵
[00:03:40.800 --> 00:03:44.200]  然後過這個蘆葦海
[00:03:44.200 --> 00:03:47.600]  很多時聖經也叫紅海
[00:03:47.600 --> 00:03:49.600]  然後走乾地過
[00:03:49.600 --> 00:03:52.600]  然後埃及士兵浸在水裡面
[00:03:52.600 --> 00:03:54.400]  全軍覆沒
[00:03:54.400 --> 00:03:57.600]  然後就開始進到礦野
[00:03:57.600 --> 00:03:59.600]  走整個礦野路
[00:03:59.600 --> 00:04:02.800]  吃了40年瑪那
[00:04:02.800 --> 00:04:04.200]  沒有水喝的時候
[00:04:04.200 --> 00:04:06.600]  上帝賜水給他們喝
[00:04:06.600 --> 00:04:08.400]  經歷了沒有肉吃
[00:04:08.400 --> 00:04:10.600]  吃鵪鶉的肉
[00:04:10.600 --> 00:04:13.600]  和很多幾個民族打仗
[00:04:13.600 --> 00:04:17.600]  西乃山怎樣將這個律法給他們
[00:04:17.600 --> 00:04:19.800]  然後一路進入迦南
[00:04:19.800 --> 00:04:21.200]  進入迦南的時候
[00:04:21.200 --> 00:04:24.800]  就對抗了很多個
[00:04:24.800 --> 00:04:27.400]  經歷過沿途的
[00:04:27.400 --> 00:04:30.600]  和我們敵對的民族
[00:04:30.600 --> 00:04:32.000]  得勝了很多王
[00:04:32.000 --> 00:04:34.800]  然後又摩西死了
[00:04:34.800 --> 00:04:39.600]  約書亞和我們過乾地的河床
[00:04:39.600 --> 00:04:41.200]  乾的約旦河
[00:04:41.200 --> 00:04:44.200]  然後過河進入迦南地
[00:04:44.200 --> 00:04:46.200]  然後圍著第一個城
[00:04:46.200 --> 00:04:50.000]  耶利哥城呼喊七天
[00:04:50.000 --> 00:04:51.600]  圍城圍城六天
[00:04:51.600 --> 00:04:53.000]  然後第七天再圍
[00:04:53.000 --> 00:04:55.400]  呼喊城牆倒塌下來
[00:04:55.400 --> 00:04:57.400]  嘩!厲害
[00:04:57.400 --> 00:04:59.000]  全部人都怕了他們
[00:04:59.000 --> 00:05:00.800]  嘩!這樣這麼厲害的經歷
[00:05:00.800 --> 00:05:02.400]  然後一路一路
[00:05:02.400 --> 00:05:04.000]  就太陽月亮
[00:05:04.000 --> 00:05:07.200]  甚至都試過停在那裡
[00:05:07.200 --> 00:05:09.000]  讓他們可以戰勝敵人
[00:05:09.000 --> 00:05:10.200]  給他們時間
[00:05:10.200 --> 00:05:11.800]  嘩!這麼大的成績
[00:05:11.800 --> 00:05:15.400]  這個過往的屬靈經歷
[00:05:15.400 --> 00:05:18.800]  並不保證今天一定有美好靈性
[00:05:18.800 --> 00:05:21.800]  你今天很厲害嗎?
[00:05:21.800 --> 00:05:23.800]  在做全福音嗎?
[00:05:23.800 --> 00:05:25.800]  很熱烈嗎?
[00:05:25.800 --> 00:05:29.000]  我全福音的時候
[00:05:29.000 --> 00:05:31.000]  我在做教會福音部
[00:05:31.000 --> 00:05:33.400]  我在做教會靈修部
[00:05:33.400 --> 00:05:35.800]  或者我甚至在傳導人的時候
[00:05:35.800 --> 00:05:38.200]  你都未信主了
[00:05:38.200 --> 00:05:40.600]  所以好像我靈性一定比你好
[00:05:40.600 --> 00:05:41.800]  不一定
[00:05:41.800 --> 00:05:44.000]  有很多初信主的靈性很好
[00:05:44.000 --> 00:05:45.600]  很多信了主幾十年
[00:05:45.600 --> 00:05:48.400]  很好以往屬靈經歷的人
[00:05:48.400 --> 00:05:50.600]  今天尋到不得了
[00:05:50.600 --> 00:05:53.000]  不過很多人黑周求見
[00:05:53.000 --> 00:05:56.600]  還認為自己的靈性好像當日那麼好
[00:05:56.600 --> 00:05:57.800]  不是
[00:05:57.800 --> 00:06:00.000]  過往靈性經歷並不保證
