
[00:00:00.000 --> 00:00:02.000]  各位聽眾,各位早安!
[00:00:02.000 --> 00:00:11.000]  如果大家不羨慕的話,上次我在大家當中分享人生七大要訣的要訣第一
[00:00:11.000 --> 00:00:13.000]  是什麼?
[00:00:13.000 --> 00:00:15.000]  態度!
[00:00:15.000 --> 00:00:21.000]  今天我想跟大家分享人生七大要訣的第二個,就是毅力!
[00:00:21.000 --> 00:00:22.000]  毅力!
[00:00:22.000 --> 00:00:23.000]  好了!
[00:00:23.000 --> 00:00:24.000]  那呢?
[00:00:24.000 --> 00:00:29.000]  好!毅力!
[00:00:29.000 --> 00:00:31.000]  毅力是什麼呢?
[00:00:31.000 --> 00:00:37.000]  毅力原來是我們在我們人生面對人生的時候,我們必須要的其中一個條件
[00:00:37.000 --> 00:00:43.000]  當我們要面對我們豐盛的人生的時候,我們除了態度之外,我們要加上毅力
[00:00:43.000 --> 00:00:47.000]  在這裡說毅力,是要從附帶價開始的
[00:00:47.000 --> 00:00:53.000]  在聖經裡面,亞國書第五章第七節說,弟兄們你們要忍耐,直到主來
[00:00:53.000 --> 00:01:00.000]  漢蘭農夫忍耐,等候地裡寶貴的出產,直到得了秋雨和春雨
[00:01:00.000 --> 00:01:07.000]  在這裡彼得跟他們說,我們要忍耐,原來我們要豐盛的生命的時候,我們要忍耐
[00:01:07.000 --> 00:01:09.000]  這個忍耐是從哪裡來的呢?
[00:01:09.000 --> 00:01:12.000]  為什麼要用毅力去等候?
[00:01:12.000 --> 00:01:13.000]  等候什麼?
[00:01:13.000 --> 00:01:15.000]  等候地裡面的出產
[00:01:15.000 --> 00:01:17.000]  要等候什麼?
[00:01:17.000 --> 00:01:19.000]  直到秋雨和春雨的降臨
[00:01:19.000 --> 00:01:22.000]  在提摩太后書第二章,說農夫的努力
[00:01:22.000 --> 00:01:26.000]  努力的農夫,理當先得糧食
[00:01:26.000 --> 00:01:29.000]  很多時候我們發覺到,我們要去努力的時候
[00:01:29.000 --> 00:01:32.000]  我們很多時候見到,為什麼田裡面好像不出產的
[00:01:32.000 --> 00:01:36.000]  我們相信大家都聽過一個故事,叫做「鴨苗座長」
[00:01:36.000 --> 00:01:39.000]  有沒有聽過?叫「筆苗座長」,叫「鴨苗座長」
[00:01:39.000 --> 00:01:43.000]  有一個不同的說法,如果叫「筆苗座長」
[00:01:43.000 --> 00:01:49.000]  你那個農夫種了東西的時候,為什麼苗仍然每天去到都是這麼少的
[00:01:49.000 --> 00:01:53.000]  他就沒有忍耐,沒有毅力,每天都要去等候
[00:01:53.000 --> 00:01:57.000]  等候收成,或者去除蟲,或者去除草
[00:01:57.000 --> 00:01:59.000]  他就把它拔起來
[00:01:59.000 --> 00:02:03.000]  拔起來的時候,他日後去到的時候,所有的苗都死光了
[00:02:03.000 --> 00:02:07.000]  所以我們見到毅力是要從付代價開始,你要等的
[00:02:07.000 --> 00:02:10.000]  你要放上,你要有時間
[00:02:10.000 --> 00:02:12.000]  當我們要得到豐盛的生命的時候
[00:02:12.000 --> 00:02:15.000]  我們就坐在那裡,「我要」,那就算了
[00:02:15.000 --> 00:02:17.000]  我們要付代價
[00:02:17.000 --> 00:02:24.000]  然後在六章第十八節,他說「靠著聖靈,隨時多方禱告祈求,隨時在此警聖不倦,為眾聖徒祈求」
[00:02:24.000 --> 00:02:28.000]  如果我們想我們的生命豐盛,我們是要做一些事情
[00:02:28.000 --> 00:02:29.000]  做什麼呢?去禱告
[00:02:29.000 --> 00:02:33.000]  禱告不是一朝一夕,我們今天禱告完了就OK
[00:02:33.000 --> 00:02:34.000]  不是這樣的
[00:02:34.000 --> 00:02:37.000]  是有毅力,就像他所說的,我們要等候
[00:02:37.000 --> 00:02:41.000]  我們為了要成就神在我們生命上面所擺上的
[00:02:41.000 --> 00:02:43.000]  我們就有毅力去等候,去禱告
[00:02:43.000 --> 00:02:45.000]  所以很多時候我們發覺到,我們在面對神的面前
[00:02:45.000 --> 00:02:48.000]  我們等候的時候,為何還沒有到呢?
[00:02:48.000 --> 00:02:51.000]  神在我們有毅力的去等
[00:02:51.000 --> 00:02:52.000]  我們要付上代價
[00:02:52.000 --> 00:02:54.000]  我們有沒有來到神的面前
[00:02:54.000 --> 00:02:56.000]  我們要付上代價
[00:02:56.000 --> 00:02:58.000]  你的禱告又有多少呢?
[00:02:58.000 --> 00:03:01.000]  在神的面前去追求又有多少呢?
[00:03:01.000 --> 00:03:03.000]  向著神的時間又有多少呢?
[00:03:03.000 --> 00:03:07.000]  這個代價,我不相信要去詳細的去說
[00:03:07.000 --> 00:03:08.000]  大家都要去明白
[00:03:08.000 --> 00:03:11.000]  就是說,多毅力是要付上代價
[00:03:11.000 --> 00:03:14.000]  如果我們要有豐盛的生命的時候
[00:03:14.000 --> 00:03:18.000]  我們就要付上代價去追尋這個毅力
[00:03:18.000 --> 00:03:19.000]  或者,反過來說
[00:03:19.000 --> 00:03:21.000]  我們要得到這個毅力的時候
[00:03:21.000 --> 00:03:23.000]  我們就要付上代價
[00:03:23.000 --> 00:03:28.000]  第二,我們看到毅力是帶來目標的堅持
[00:03:28.000 --> 00:03:30.000]  有人曾經這樣說過
[00:03:30.000 --> 00:03:32.000]  由於毅力帶來目標的堅持的時候
[00:03:32.000 --> 00:03:35.000]  蝸牛最終都能夠進入方舟
[00:03:35.000 --> 00:03:38.000]  你見到蝸牛它慢慢地走
[00:03:38.000 --> 00:03:39.000]  慢慢地爬
[00:03:39.000 --> 00:03:41.000]  很多動物都很快地走進去
[00:03:41.000 --> 00:03:44.000]  但是蝸牛它堅持,它不放棄
[00:03:44.000 --> 00:03:46.000]  它帶來目標的堅持
[00:03:46.000 --> 00:03:48.000]  就是我的目標就去到那裡,所以我就要走
[00:03:48.000 --> 00:03:52.000]  所以有人說蝸牛最終都能夠進入方舟
[00:03:52.000 --> 00:03:55.000]  在《尊嚴第十九章》第21節說過
[00:03:55.000 --> 00:04:00.000]  人心多有計劃,唯有惹禍或醜酸才能立定
[00:04:00.000 --> 00:04:02.000]  當我們堅持目標的時候
[00:04:02.000 --> 00:04:04.000]  當我們有毅力帶來目標的堅持的時候
[00:04:04.000 --> 00:04:07.000]  我們的堅持是自己的堅持呢?
[00:04:07.000 --> 00:04:09.000]  還是我們和主一起的堅持呢?
[00:04:09.000 --> 00:04:12.000]  這個唯有惹禍或醜酸才能立定
[00:04:12.000 --> 00:04:14.000]  意思就是說當我們的醜酸
[00:04:14.000 --> 00:04:17.000]  我們用毅力帶來目標的堅持的時候
[00:04:17.000 --> 00:04:18.000]  我們會和神一起
[00:04:18.000 --> 00:04:20.000]  和神一起堅持
[00:04:20.000 --> 00:04:23.000]  就好像羅亞當神交出了負擔
[00:04:23.000 --> 00:04:25.000]  你要見到方舟
[00:04:25.000 --> 00:04:26.000]  是120年
