
[00:00:00.000 --> 00:00:03.000]  不知大家有沒有經歷過
[00:00:03.000 --> 00:00:05.000]  這樣的情況就是
[00:00:05.000 --> 00:00:08.000]  不知何去何從
[00:00:08.000 --> 00:00:10.000]  或者你說:有啊牧師
[00:00:10.000 --> 00:00:12.000]  我現在就正在經歷
[00:00:12.000 --> 00:00:14.000]  我想去歐洲旅行
[00:00:14.000 --> 00:00:16.000]  但是土耳其又不行
[00:00:16.000 --> 00:00:18.000]  德國又不行,法國又不行
[00:00:18.000 --> 00:00:20.000]  我現在就不知何去何從
[00:00:20.000 --> 00:00:24.000]  或者你面對一些更加靠近身體的取捨
[00:00:24.000 --> 00:00:28.000]  可能你的工作令你不知何去何從
[00:00:28.000 --> 00:00:32.000]  或者你的婚姻令你不知何去何從
[00:00:32.000 --> 00:00:34.000]  或者人事的問題
[00:00:34.000 --> 00:00:39.000]  或者甚至是你的屬靈生命的問題
[00:00:39.000 --> 00:00:44.000]  我發現年紀越大,這種經歷就越多
[00:00:44.000 --> 00:00:47.000]  我記得我未做傳導人之前
[00:00:47.000 --> 00:00:51.000]  我在加拿大的石油工業工作
[00:00:51.000 --> 00:00:54.000]  那時候石油公司很流行
[00:00:54.000 --> 00:00:57.000]  這間就買那間,買完又被人買了
[00:00:57.000 --> 00:01:00.000]  所以我經常轉老闆,轉了九次
[00:01:00.000 --> 00:01:05.000]  有一次我工作的那間公司就被人買了
[00:01:05.000 --> 00:01:09.000]  買主就說明整個管理階層都不要
[00:01:09.000 --> 00:01:12.000]  我就經歷了失業
[00:01:12.000 --> 00:01:18.000]  所以我能夠了解弟兄姊妹你代業那時候的心情
[00:01:18.000 --> 00:01:20.000]  因為我都經歷過
[00:01:20.000 --> 00:01:25.000]  不過我發現這種憂患都有它的益處
[00:01:25.000 --> 00:01:29.000]  一方面自己成熟了,謙卑了
[00:01:29.000 --> 00:01:34.000]  另一方面環境的改變迫我走出我的安書區
[00:01:34.000 --> 00:01:37.000]  往往為我帶來更大的機遇
[00:01:37.000 --> 00:01:39.000]  而那次其實是幫助到我
[00:01:39.000 --> 00:01:43.000]  令我有機會去到一個更好的公司,做更好的職位
[00:01:43.000 --> 00:01:47.000]  不過這種前路茫茫的感覺
[00:01:47.000 --> 00:01:49.000]  不單止是失業的時候才出現
[00:01:49.000 --> 00:01:51.000]  在其他情況都會發生
[00:01:51.000 --> 00:01:57.000]  記得有一年我放下工作去讀神學
[00:01:57.000 --> 00:02:00.000]  期間讀神學的過程裏面
[00:02:00.000 --> 00:02:03.000]  有兩次有不同的公司來找我
[00:02:03.000 --> 00:02:07.000]  提供給我以前更好的工作
[00:02:07.000 --> 00:02:09.000]  我拒絕了
[00:02:09.000 --> 00:02:12.000]  但拒絕之後,心裏面有一種思緒
