
[00:00:00.000 --> 00:00:02.700]  各位地心姐妹朋友們 早安
[00:00:02.700 --> 00:00:06.600]  線上地心姐妹朋友們 早安
[00:00:06.600 --> 00:00:09.200]  今天要跟各位分享是說
[00:00:09.200 --> 00:00:14.000]  唯有愛心能造就人
[00:00:14.000 --> 00:00:17.800]  But love builds up
[00:00:17.800 --> 00:00:20.900]  前面我要跟各位稍微講一下
[00:00:20.900 --> 00:00:25.600]  知識跟愛心 哪一個重要
[00:00:25.600 --> 00:00:29.200]  聖經上說 徒有知識沒有愛心
[00:00:29.200 --> 00:00:33.600]  那麼恩賜跟愛心又哪一個重要呢
[00:00:33.600 --> 00:00:35.300]  是不是
[00:00:35.300 --> 00:00:41.300]  我們有的時候向神求這個 求那個
[00:00:41.300 --> 00:00:44.000]  聖經要倒背如流
[00:00:44.000 --> 00:00:47.600]  還有恩賜要大得不得了
[00:00:47.600 --> 00:00:55.000]  但是 我真的只求神給我一個愛心就夠了
[00:00:55.000 --> 00:00:59.000]  但是 光有愛心也是不行的
[00:00:59.000 --> 00:01:03.800]  因為要有行動 愛的行動
[00:01:03.800 --> 00:01:09.400]  就好像台灣有一個 大陸可能也有
[00:01:09.400 --> 00:01:12.600]  它叫愛之味花瓜
[00:01:12.600 --> 00:01:15.100]  cucumber 愛之味的罐頭
[00:01:15.100 --> 00:01:17.400]  那麼它做的廣告就是
[00:01:17.400 --> 00:01:21.200]  專門針對你這個愛心
[00:01:21.200 --> 00:01:26.100]  你這個花瓜有愛之味在裡面
[00:01:26.100 --> 00:01:29.400]  所以我們愛心要有行動
[00:01:29.400 --> 00:01:31.300]  怎麼樣有的行動呢
[00:01:31.300 --> 00:01:36.400]  第一 你不要看人家沒有的
[00:01:36.400 --> 00:01:37.900]  你要看人家沒有的
[00:01:37.900 --> 00:01:43.400]  哎呀 越看越傷心 越看越生氣
[00:01:43.400 --> 00:01:45.500]  要看人家有的
[00:01:45.500 --> 00:01:50.500]  這是第一個愛的行動
[00:01:50.500 --> 00:01:54.700]  第二 我們不要看人家的缺點
[00:01:54.700 --> 00:01:58.200]  要看人家的優點
[00:01:58.200 --> 00:02:00.600]  不管你再多的缺點
[00:02:00.600 --> 00:02:04.300]  我相信你總有一個優點
[00:02:04.300 --> 00:02:07.600]  足以叫神愛你
[00:02:07.600 --> 00:02:10.900]  足以叫我也能夠愛你
[00:02:10.900 --> 00:02:16.100]  當然了 你再多的缺點神還是愛你
[00:02:16.100 --> 00:02:18.500]  但是我還沒有看到有一個人
[00:02:18.500 --> 00:02:21.000]  只有缺點沒有優點的
[00:02:21.000 --> 00:02:22.900]  你知道嗎
[00:02:22.900 --> 00:02:27.100]  愛的行動要帶出人的好
[00:02:27.100 --> 00:02:29.100]  然後把人家的壞
[00:02:29.100 --> 00:02:31.900]  人家的惡要把它壓下去
[00:02:31.900 --> 00:02:34.200]  有的時候我們吵架
[00:02:34.200 --> 00:02:36.700]  就把人家的惡帶出來了
[00:02:36.700 --> 00:02:37.700]  是不是
[00:02:37.700 --> 00:02:39.900]  你吵了兩個月吵越兇
[00:02:39.900 --> 00:02:42.300]  惡就被你帶出來了
[00:02:42.300 --> 00:02:44.100]  第四呢
[00:02:44.100 --> 00:02:50.900]  愛心要說安慰 鼓勵 勸勉 造就人的話
[00:02:50.900 --> 00:02:53.900]  最後我結論要跟各位解釋
[00:02:53.900 --> 00:02:57.900]  你的愛心的行動不是一個制度
[00:02:57.900 --> 00:03:01.000]  也不是一個運動
[00:03:01.000 --> 00:03:03.400]  不是愛心運動
[00:03:03.400 --> 00:03:07.100]  我們常常把愛心運動當成是一個制度
[00:03:07.100 --> 00:03:08.500]  No
[00:03:08.500 --> 00:03:13.300]  但是只要有行動能夠做出來
[00:03:13.300 --> 00:03:17.100]  你有一千萬的財富你捐出來
[00:03:17.100 --> 00:03:18.000]  這是你的愛心
[00:03:18.000 --> 00:03:21.100]  你只有一塊錢 寡婦兩個小錢
[00:03:21.100 --> 00:03:22.900]  也是你的行動
[00:03:22.900 --> 00:03:25.100]  神也是看重的
[00:03:25.100 --> 00:03:30.300]  而且這也能夠造就人的
[00:03:30.300 --> 00:03:33.200]  我們剛才講說知識很重要
[00:03:33.200 --> 00:03:37.000]  Knowledge is very important
[00:03:37.000 --> 00:03:40.700]  但是徒有知識沒有愛心
[00:03:40.700 --> 00:03:43.400]  並不能夠造就人
[00:03:43.400 --> 00:03:45.500]  我舉一個例子
[00:03:45.500 --> 00:03:49.600]  摩西Moses他很有學問
