
[00:00:00.000 --> 00:00:03.660]  各位同工 各位網上的弟兄姊妹 早安
[00:00:03.660 --> 00:00:08.340]  讓我們在講道之前 一個祈禱
[00:00:08.340 --> 00:00:10.340]  親愛的天父 多謝你
[00:00:10.340 --> 00:00:12.480]  因為你不單止在疫情裏面
[00:00:12.480 --> 00:00:16.300]  讓我們有網絡的技術可以一起去敬拜神
[00:00:16.300 --> 00:00:20.800]  更加是你猜派耶穌在十字架為我們犧牲
[00:00:20.800 --> 00:00:22.400]  讓我們坦然無懼
[00:00:22.400 --> 00:00:25.880]  來到你施恩補助前 蒙憐憫 得幫助
[00:00:25.880 --> 00:00:28.700]  更加讓我們可以一起去敬拜你
[00:00:28.700 --> 00:00:30.700]  求聖靈去幫助我們
[00:00:30.700 --> 00:00:33.500]  今天講的 無論是講的 聽的
[00:00:33.500 --> 00:00:35.500]  都能夠明白聖經當中
[00:00:35.500 --> 00:00:37.800]  你想顯明給我們的心意
[00:00:37.800 --> 00:00:39.800]  奉耶穌基督的聖名自求
[00:00:39.800 --> 00:00:40.800]  阿們
[00:00:40.800 --> 00:00:48.100]  好 我想大家都會經常收到慈善組織的呼籲
[00:00:48.100 --> 00:00:52.000]  為慈善作出金錢的奉獻 捐獻
[00:00:52.000 --> 00:00:54.300]  但不知道大家知不知道
[00:00:54.300 --> 00:00:56.400]  原來在伊斯蘭教裏面
[00:00:56.400 --> 00:01:02.900]  捐獻是有潔淨生命和成長雙重的意義
[00:01:02.900 --> 00:01:05.500]  因為有些穆斯林他們指出
[00:01:05.500 --> 00:01:07.200]  就算是收剪植物
[00:01:07.200 --> 00:01:10.400]  清除一些不潔果子的枝子
[00:01:10.400 --> 00:01:14.200]  都會令到一些新的枝子可以成長
[00:01:14.200 --> 00:01:16.200]  所以就因為這個道理
[00:01:16.200 --> 00:01:22.400]  穆斯林相信藉著捐獻是可以消除這個罪
[00:01:22.400 --> 00:01:28.600]  最重要的是他們覺得上帝都是認為用捐獻來測驗
[00:01:28.600 --> 00:01:32.000]  他們是否真的相信伊斯蘭教
[00:01:32.000 --> 00:01:36.600]  穆斯林認為生活上只要有好的行為
[00:01:36.600 --> 00:01:39.900]  就可以得到完整的拯救
[00:01:39.900 --> 00:01:43.200]  他們相信審判的日子來臨的時候
[00:01:43.200 --> 00:01:47.500]  阿拉就會將手拿著天秤
[00:01:47.500 --> 00:01:52.300]  衡量每一個人在地上的作為
[00:01:52.300 --> 00:01:54.800]  不過我們基督教就相信
[00:01:54.800 --> 00:01:58.600]  人是沒有辦法可以處理罪的問題
[00:01:58.600 --> 00:02:02.700]  即是沒有辦法靠行為可以得救
[00:02:02.700 --> 00:02:06.600]  我們相信為了耶穌基督在十字架上
[00:02:06.600 --> 00:02:09.700]  用自己的生命付出
[00:02:09.700 --> 00:02:13.100]  當作這個祭物獻情給上帝
[00:02:13.100 --> 00:02:16.300]  才可以止息上帝的怒氣
[00:02:16.300 --> 00:02:23.100]  將人本來應付罪的功架都徹底解決了
[00:02:23.100 --> 00:02:25.700]  耶穌一方面是大祭司
[00:02:25.700 --> 00:02:30.700]  同時他也願意將自己的生命作為獻祭
[00:02:30.700 --> 00:02:33.100]  是一份完美的祭
[00:02:33.100 --> 00:02:37.100]  也創造了一個更大更完美的帳幕
[00:02:37.100 --> 00:02:40.900]  相比舊約所獻的牛羊的血
[00:02:40.900 --> 00:02:49.100]  遠遠不及新約基督在十字架上贖罪的寶血
[00:02:49.100 --> 00:02:52.500]  耶穌作為我們新約的祭身
