
[00:00:00.000 --> 00:00:03.000]  感謝上帝,我們這次就結束了
[00:00:03.000 --> 00:00:05.520]  再黑一點就不行了
[00:00:05.520 --> 00:00:08.360]  這次的題目很簡單
[00:00:08.360 --> 00:00:11.840]  沒有君王的日子
[00:00:11.840 --> 00:00:14.180]  最後再說多一次
[00:00:14.180 --> 00:00:17.240]  給多個圖片來看這個題目
[00:00:17.240 --> 00:00:20.520]  當沒有君王的日子是什麼日子呢?
[00:00:20.520 --> 00:00:23.360]  有三樣東西我們看到,有強暴
[00:00:23.360 --> 00:00:26.280]  剛才我們讀的強暴,有征戰
[00:00:26.280 --> 00:00:29.800]  然後是以色列自己的自殘
[00:00:30.280 --> 00:00:33.280]  沒有君王的日子是什麼日子呢?
[00:00:33.280 --> 00:00:37.080]  是一個引火自焚的日子
[00:00:37.080 --> 00:00:40.400]  是以色列人最後是引火自焚
[00:00:40.400 --> 00:00:43.960]  好,我想和你一起去看
[00:00:43.960 --> 00:00:47.480]  我強調我們一看就要看三章
[00:00:47.480 --> 00:00:49.000]  為什麼呢?
[00:00:49.000 --> 00:00:50.480]  如果你留意去看
[00:00:50.480 --> 00:00:54.080]  剛才我們讀的第十九章開始的時候
[00:00:54.080 --> 00:00:58.000]  是當以色列終末有王的時候
[00:00:58.000 --> 00:01:00.400]  而整本書最後的結束是
[00:01:00.400 --> 00:01:02.800]  那時以色列沒有王
[00:01:02.800 --> 00:01:06.920]  各人照眼中看為對的事情去做
[00:01:06.920 --> 00:01:08.480]  所以你看到
[00:01:08.480 --> 00:01:11.320]  他是故意有個inclusive
[00:01:11.320 --> 00:01:13.520]  將這個故事用這句說話
[00:01:13.520 --> 00:01:16.200]  以色列人當中沒有王這個句子
[00:01:16.200 --> 00:01:19.440]  將它畫了圓圈
[00:01:19.440 --> 00:01:22.240]  所以這三章聖經
[00:01:22.240 --> 00:01:25.920]  19、20、21是屬於一個整體
[00:01:26.280 --> 00:01:34.000]  這個整體是非常之黑暗的一個整體
[00:01:34.000 --> 00:01:37.520]  在沒有君王的日子
[00:01:37.520 --> 00:01:42.600]  各人照自己眼中看為對的事情去做的當中
[00:01:42.600 --> 00:01:44.840]  有三個故事發生了
[00:01:44.840 --> 00:01:46.040]  三個故事發生了
[00:01:46.040 --> 00:01:47.840]  剛才我只讀了第一個
[00:01:47.840 --> 00:01:49.400]  第一個故事
[00:01:49.400 --> 00:01:53.200]  基比亞暴行所多瑪在然
[00:01:53.200 --> 00:01:55.280]  你看到我這樣寫的時候
[00:01:55.280 --> 00:01:58.120]  你會發覺有幾個字是這個故事中沒有的
[00:01:58.120 --> 00:02:00.240]  譬如我說所多瑪在然
[00:02:00.240 --> 00:02:02.400]  這個故事有沒有說所多瑪的
[00:02:02.400 --> 00:02:03.440]  是沒有的
[00:02:03.440 --> 00:02:05.840]  但這個故事最重要的是甚麼呢
[00:02:05.840 --> 00:02:09.320]  就不是基比亞 是所多瑪
[00:02:09.320 --> 00:02:12.280]  因為那個情節其實所多瑪已經出現過
[00:02:12.280 --> 00:02:14.360]  所多瑪是創世紀
[00:02:14.360 --> 00:02:18.320]  我經常強調史詩記是聖經中第七本
[00:02:18.320 --> 00:02:20.840]  它假設你看了前面六本
[00:02:20.840 --> 00:02:22.600]  它假設你很熟悉裡面
[00:02:22.600 --> 00:02:24.440]  所以它說的是基比亞
[00:02:24.440 --> 00:02:28.560]  它其實真的要說的是所多瑪
[00:02:28.560 --> 00:02:30.600]  基比亞是甚麼地方呢
