
[00:00:00.000 --> 00:00:01.680]  鼎姐妹,早晨
[00:00:01.680 --> 00:00:05.080]  今日講聽道
[00:00:05.080 --> 00:00:08.560]  都想起自己係信主
[00:00:08.560 --> 00:00:11.800]  已經超過四十年,咁喺裏面聽道
[00:00:11.800 --> 00:00:14.420]  都有好多
[00:00:14.420 --> 00:00:17.600]  唔同嘅感受嘅,咁亦都好大嘅落差嘅
[00:00:17.600 --> 00:00:20.680]  咁我最初返教會嗰幾年呢
[00:00:20.680 --> 00:00:23.800]  講完呢,即係我一聽到啦
[00:00:23.800 --> 00:00:26.760]  講完一開講呢,我就開始瞓教
[00:00:26.760 --> 00:00:29.780]  咁跟住呢講完道呢,我就唔知點解呢
[00:00:29.780 --> 00:00:32.720]  就自然呢,差唔多知道會完呢,就會醒嘅
[00:00:32.720 --> 00:00:34.280]  你地唔知可唔可以做到呢樣嘢
[00:00:34.280 --> 00:00:38.360]  又瞓到好淋,但又可以起返身
[00:00:38.360 --> 00:00:41.240]  咁但係呢,到神學嗰陣時好極端嘅
[00:00:41.240 --> 00:00:44.220]  讀神學嗰陣時呢,讀咗啲原文好似好犀利咁樣
[00:00:44.220 --> 00:00:47.240]  咁次次聽到呢,就拿完原文聖經咁樣對一對咁樣
[00:00:47.240 --> 00:00:50.280]  係咪,好驚呢啲咁樣聽道嘅人
[00:00:50.280 --> 00:00:54.080]  咁所以呢
[00:00:54.080 --> 00:00:57.060]  聽道呢個問題呢,係好基本嘅
[00:00:57.060 --> 00:01:00.140]  咁我地今日呢一齊呢,再諗諗點樣聽道
[00:01:00.140 --> 00:01:02.640]  咁我地幾位同工呢
[00:01:02.640 --> 00:01:05.620]  就講緊一個嘅系列啦,叫做
[00:01:05.620 --> 00:01:08.520]  至誠基督門徒嘅七種嘅特質
[00:01:08.520 --> 00:01:11.520]  咁要同大家溫一溫
[00:01:11.520 --> 00:01:14.560]  你一路聽呢,可以留意住呢七種嘅特質啦
[00:01:14.560 --> 00:01:17.560]  咁今日呢就會講
[00:01:17.560 --> 00:01:20.480]  聖經為基礎
[00:01:20.480 --> 00:01:23.380]  咁聖經為基礎咩意思呢,就係對神嘅話語深切嘅愛
[00:01:23.380 --> 00:01:26.320]  同埋深究,背誦聖經
[00:01:26.320 --> 00:01:29.080]  原則內在化,徹底
