
[00:00:00.000 --> 00:00:01.780]  各位親愛的兄弟姊妹 你們好
[00:00:01.780 --> 00:00:05.420]  我們開始我們星期三晚的《柴經》
[00:00:05.420 --> 00:00:08.000]  我們每一個人都犯了不少錯
[00:00:08.000 --> 00:00:11.000]  但是神仍然的愛我們 不要放棄我們
[00:00:11.000 --> 00:00:14.000]  甚至用不同的方法來提醒我們
[00:00:14.000 --> 00:00:17.260]  而我們在承認自己的罪的時候
[00:00:17.260 --> 00:00:19.160]  甚至願意赦免我們的罪
[00:00:19.160 --> 00:00:20.880]  特別在詩篇裡面有句話
[00:00:20.880 --> 00:00:24.600]  天離地有多高 東離西有多遠
[00:00:24.600 --> 00:00:27.800]  大神的慈愛都跟我們這麼深
[00:00:27.800 --> 00:00:29.960]  而將罪惡拋到很遠
[00:00:29.960 --> 00:00:31.800]  那你有沒有留意到
[00:00:31.800 --> 00:00:36.000]  天離地 東離西是一個十字架
[00:00:36.000 --> 00:00:39.580]  所以我們的心又說要歌頌讚美
[00:00:39.580 --> 00:00:42.040]  感謝我們的神
[00:00:42.040 --> 00:00:44.460]  但是在這一刻裡面
[00:00:44.460 --> 00:00:47.920]  特別有一個更加觸動我
[00:00:47.920 --> 00:00:49.960]  是比以往更加觸動
[00:00:49.960 --> 00:00:54.040]  就是耶和華為受屈的人伸冤
[00:00:54.040 --> 00:00:57.720]  你看到特別在這兩天裡面
[00:00:57.720 --> 00:01:02.420]  有一些判決 我不知道大家的看法會怎樣
[00:01:02.420 --> 00:01:04.960]  會不會覺得有些人是受屈呢
[00:01:04.960 --> 00:01:06.760]  我們只有懇求神
[00:01:06.760 --> 00:01:10.580]  去憐憫保守一些受屈的人
[00:01:10.580 --> 00:01:12.220]  為他們伸冤
[00:01:12.220 --> 00:01:16.080]  更加要彰顯他自己的公義
[00:01:16.080 --> 00:01:18.380]  那我們可以做些什麼呢?
[00:01:18.380 --> 00:01:21.920]  你也看到最近國內很多的問題
[00:01:21.920 --> 00:01:23.840]  剛剛又有一個人
[00:01:23.840 --> 00:01:26.720]  進去學校裡面刺傷了一些人
[00:01:26.720 --> 00:01:29.340]  還有剛剛早一天好像有一個伯伯
[00:01:29.340 --> 00:01:30.760]  好像網上有圖片
[00:01:30.760 --> 00:01:32.960]  就是有影片看到 我沒有看到
[00:01:32.960 --> 00:01:34.580]  就是一個老人家
[00:01:34.580 --> 00:01:37.960]  都是拿刀預備去插一些人
[00:01:37.960 --> 00:01:40.120]  就被警察開槍打死了
[00:01:40.120 --> 00:01:43.000]  國內似乎這幾天裡面
[00:01:43.000 --> 00:01:44.420]  或者這段日子裡面
[00:01:44.420 --> 00:01:46.960]  都有很多這些事情發生
[00:01:46.960 --> 00:01:48.460]  為什麼呢?
