
[00:00:00.000 --> 00:00:01.640]  好,大家晚安
[00:00:01.640 --> 00:00:04.480]  讓我們先同心禱告
[00:00:04.480 --> 00:00:11.080]  親愛的主,求祢的靈引導我們進入真理
[00:00:11.080 --> 00:00:15.280]  讓我們聽到明道、行道
[00:00:15.280 --> 00:00:19.000]  讓我們的生命被祢更新、改變
[00:00:19.000 --> 00:00:22.680]  同心禱告,奉主明求,阿們
[00:00:22.680 --> 00:00:27.680]  有一個人有很多問題
[00:00:28.280 --> 00:00:31.880]  這個人經常大叫大喊
[00:00:31.880 --> 00:00:35.080]  整天都在叫喊
[00:00:35.080 --> 00:00:36.680]  他又失控
[00:00:36.680 --> 00:00:40.280]  他有時會自殘身體
[00:00:40.280 --> 00:00:42.280]  他又不穿衣服
[00:00:42.280 --> 00:00:44.880]  所以癲癲喪喪
[00:00:44.880 --> 00:00:47.480]  家人就趕他走
[00:00:47.480 --> 00:00:49.880]  他就流浪在外面
[00:00:49.880 --> 00:00:52.280]  沒有人敢接近他
[00:00:52.280 --> 00:00:56.680]  後來他被治好,他信了耶穌
[00:00:57.880 --> 00:01:02.680]  我想問,這個人可不可以傳福音呢?
[00:01:02.680 --> 00:01:06.880]  他沒有崇拜
[00:01:06.880 --> 00:01:09.480]  沒有上主一學
[00:01:09.480 --> 00:01:12.080]  沒有去過EBS
[00:01:12.080 --> 00:01:15.480]  沒有受過報道訓練,什麼都沒有
[00:01:15.480 --> 00:01:17.480]  他可不可以傳福音呢?
[00:01:17.480 --> 00:01:20.480]  可以,很堅定可以
[00:01:20.480 --> 00:01:22.880]  他怎樣傳呢?
[00:01:27.080 --> 00:01:29.080]  他講自己的見證
[00:01:29.080 --> 00:01:31.880]  所以大家都很好
[00:01:31.880 --> 00:01:34.080]  雖然他什麼都沒有
[00:01:34.080 --> 00:01:36.880]  又沒有教會會籍,還沒有洗禮
[00:01:36.880 --> 00:01:40.880]  但是他依然可以傳福音
[00:01:40.880 --> 00:01:42.480]  因為耶穌說可以
[00:01:42.480 --> 00:01:44.880]  耶穌怎樣跟這個人說呢?
[00:01:44.880 --> 00:01:48.880]  祂說:你回家去到你的親友那裡
[00:01:48.880 --> 00:01:53.280]  將主為你所做多大的事
[00:01:53.480 --> 00:01:57.080]  是怎樣憐憫你都告訴他們
[00:01:57.080 --> 00:02:00.680]  這就是《馬可福音》第五章
[00:02:00.680 --> 00:02:03.680]  在加拉森被鬼附的人
[00:02:03.680 --> 00:02:05.680]  所以
[00:02:05.680 --> 00:02:07.480]  有些弟兄姊妹
[00:02:07.480 --> 00:02:09.480]  我估摩訶福堂可能真的少一點
[00:02:09.480 --> 00:02:12.280]  但是有些弟兄姊妹有些迷思
[00:02:12.280 --> 00:02:14.680]  他們說要信得好
[00:02:14.680 --> 00:02:16.880]  才可以傳福音
[00:02:16.880 --> 00:02:19.080]  即是相反地說
[00:02:19.080 --> 00:02:21.480]  如果我還不夠班
[00:02:21.480 --> 00:02:23.080]  我信得一般般
[00:02:23.280 --> 00:02:24.880]  那我怎樣傳呢?
[00:02:24.880 --> 00:02:30.280]  我們當然應該很努力去信得好一點
[00:02:30.280 --> 00:02:34.080]  但是同時又熱心去傳福音
[00:02:34.080 --> 00:02:36.480]  大家都知道這是沒有衝突
[00:02:36.480 --> 00:02:39.680]  因為你活出信仰
[00:02:39.680 --> 00:02:41.880]  就是傳揚信仰
[00:02:41.880 --> 00:02:44.480]  沒有一個人我活出信仰
[00:02:44.480 --> 00:02:47.080]  而不去傳揚這個信仰
[00:02:47.080 --> 00:02:49.880]  你可以思考一下
[00:02:50.080 --> 00:02:53.480]  如果我是一個很想活出信仰的人
[00:02:53.480 --> 00:02:55.480]  但是我不去傳揚這個信仰
[00:02:55.480 --> 00:02:58.280]  這是有一點點荒謬
[00:02:58.280 --> 00:03:03.880]  傳福音主要不是看報道者的能力
[00:03:03.880 --> 00:03:06.280]  福音本是什麼?
[00:03:06.280 --> 00:03:08.280]  上帝的大能
[00:03:08.280 --> 00:03:10.880]  所以不是報道那個有多厲害
[00:03:10.880 --> 00:03:12.280]  他有多少裝備
