
[00:00:00.000 --> 00:00:03.000]  《羅馬書》的第三講
[00:00:03.000 --> 00:00:07.000]  《羅馬書》的一章八至到十七節
[00:00:07.000 --> 00:00:09.000]  上一次跟大家講了
[00:00:09.000 --> 00:00:12.000]  《羅馬書》的一章一至到七節
[00:00:12.000 --> 00:00:15.000]  就是好像一個 abstract 一樣
[00:00:15.000 --> 00:00:18.000]  將整部《羅馬書》的撮要
[00:00:18.000 --> 00:00:20.000]  寫在頭七節的經文
[00:00:20.000 --> 00:00:23.000]  今天要講一個訊息
[00:00:23.000 --> 00:00:28.000]  就是怎樣用心靈誠實來侍奉神
[00:00:28.000 --> 00:00:31.000]  你說感恩節
[00:00:31.000 --> 00:00:34.000]  是不是應該講一個感恩節的訊息呢?
[00:00:34.000 --> 00:00:36.000]  其實今天的訊息
[00:00:36.000 --> 00:00:39.000]  和感恩都有很大的連帶關係
[00:00:39.000 --> 00:00:41.000]  我覺得很有意思
[00:00:41.000 --> 00:00:43.000]  就是很多時候
[00:00:43.000 --> 00:00:47.000]  我講到都會和節日很應節
[00:00:47.000 --> 00:00:50.000]  這個絕對不是我的策劃
[00:00:50.000 --> 00:00:54.000]  而是神的策劃
[00:00:54.000 --> 00:00:56.000]  剛才我們讀的經文
[00:00:56.000 --> 00:00:59.000]  我們見到《羅馬書》的一章九節
[00:00:59.000 --> 00:01:02.000]  是一節非常重要的經文
[00:01:02.000 --> 00:01:06.000]  保羅說 我在他兒子福音上
[00:01:06.000 --> 00:01:09.000]  用心靈侍奉的神
[00:01:09.000 --> 00:01:13.000]  我們見到保羅是用心靈來侍奉神
[00:01:13.000 --> 00:01:16.000]  是傳達神的好消息
[00:01:16.000 --> 00:01:19.000]  傳達福音的訊息
[00:01:19.000 --> 00:01:21.000]  侍奉這個字
[00:01:21.000 --> 00:01:23.000]  原文的希臘文
[00:01:23.000 --> 00:01:26.000]  是Latrio這個字
[00:01:26.000 --> 00:01:28.000]  在新約的用途
[00:01:28.000 --> 00:01:32.000]  是用在宗教上的侍奉和敬拜
[00:01:32.000 --> 00:01:33.000]  很有趣
[00:01:33.000 --> 00:01:36.000]  同一個字用在侍奉和敬拜
[00:01:36.000 --> 00:01:39.000]  在今天的經文《羅馬書》的一章九節
[00:01:39.000 --> 00:01:41.000]  是用在侍奉上
[00:01:41.000 --> 00:01:44.000]  但是在《羅馬書》的十二章一節
[00:01:44.000 --> 00:01:47.000]  就是用在敬拜上
[00:01:47.000 --> 00:01:49.000]  所以對保羅來說
[00:01:49.000 --> 00:01:51.000]  侍奉就是敬拜
[00:01:51.000 --> 00:01:54.000]  敬拜就是侍奉
[00:01:54.000 --> 00:01:57.000]  其實我們今天的主題
[00:01:57.000 --> 00:01:59.000]  大家應該熟口熟面
[00:01:59.000 --> 00:02:02.000]  在《新約幸福音》的四章二十四節
[00:02:02.000 --> 00:02:05.000]  耶穌基督說 神是靈
[00:02:05.000 --> 00:02:07.000]  所以拜他的
[00:02:07.000 --> 00:02:10.000]  必須用心靈誠實拜他
[00:02:10.000 --> 00:02:13.000]  很熟悉的經文
[00:02:13.000 --> 00:02:15.000]  對保羅來說
[00:02:15.000 --> 00:02:18.000]  侍奉就是敬拜 敬拜就是侍奉
[00:02:18.000 --> 00:02:20.000]  所以我們都很需要
[00:02:20.000 --> 00:02:23.000]  用心靈誠實來侍奉神
[00:02:23.000 --> 00:02:27.000]  這個也是用在敬拜上
[00:02:27.000 --> 00:02:30.000]  有很多人會覺得
[00:02:30.000 --> 00:02:34.000]  這個敬拜似乎和我們所熟悉的敬拜
[00:02:34.000 --> 00:02:36.000]  不是很相似
[00:02:36.000 --> 00:02:39.000]  我們熟悉的敬拜是怎樣
[00:02:39.000 --> 00:02:42.000]  回到教會坐在那裡
[00:02:42.000 --> 00:02:44.000]  聽聖詩
[00:02:44.000 --> 00:02:46.000]  聽講道
[00:02:46.000 --> 00:02:50.000]  然後呢 聽完之後就怎樣
[00:02:50.000 --> 00:02:51.000]  回家
[00:02:51.000 --> 00:02:54.000]  這個就是我們平時敬拜
[00:02:54.000 --> 00:02:56.000]  但是怎樣 保羅說
[00:02:56.000 --> 00:02:58.000]  敬拜是甚麼 是侍奉
[00:02:58.000 --> 00:03:01.000]  敬拜不單單是接受
[00:03:01.000 --> 00:03:04.000]  敬拜也是付出的
[00:03:04.000 --> 00:03:06.000]  所以保羅說
[00:03:06.000 --> 00:03:08.000]  我們要用心靈誠實
[00:03:08.000 --> 00:03:10.000]  來侍奉神
[00:03:10.000 --> 00:03:12.000]  來敬拜神
[00:03:12.000 --> 00:03:13.000]  我們看看保羅
[00:03:13.000 --> 00:03:16.000]  怎樣用心靈來侍奉神
[00:03:16.000 --> 00:03:20.000]  他講出了一共是有五點
[00:03:20.000 --> 00:03:22.000]  第一點就是甚麼
[00:03:22.000 --> 00:03:25.000]  是要感恩 有感恩的心
[00:03:25.000 --> 00:03:28.000]  我剛才說這個週末是感恩節
[00:03:28.000 --> 00:03:30.000]  侍奉神
