
[00:00:00.000 --> 00:00:03.600]  那麼今天隨著總統美國總統大選的落幕
[00:00:03.600 --> 00:00:07.100]  我們上一個的系列也從此也結束
[00:00:07.100 --> 00:00:08.600]  那今天來到一個新的系列
[00:00:08.600 --> 00:00:11.000]  因為正式進入感恩節的假期了
[00:00:11.000 --> 00:00:14.400]  所以我們就開始要講感恩的事情
[00:00:14.400 --> 00:00:15.900]  那麼在美國而言
[00:00:15.900 --> 00:00:18.300]  如果你第一年來美國過感恩節
[00:00:18.300 --> 00:00:22.600]  你知道在美國而言感恩節是一個shopping的假期
[00:00:22.600 --> 00:00:26.700]  就是特別是今年都特別多的好消息
[00:00:26.700 --> 00:00:29.600]  比方說有些人不知道就最近這邊開了一個
[00:00:29.600 --> 00:00:32.800]  很新的outlet很大的outlet
[00:00:32.800 --> 00:00:36.700]  聽說outlet中文翻成是奧特雷斯對不對
[00:00:36.700 --> 00:00:40.200]  對有一間很大的奧特雷斯
[00:00:40.200 --> 00:00:44.200]  對grey mall翻成中文就是偉大的商場
[00:00:44.200 --> 00:00:50.600]  對最近在這裡有一間偉大的奧特雷斯開張
[00:00:50.600 --> 00:00:53.200]  那名字叫paragon outlet
[00:00:53.200 --> 00:00:56.600]  大家知道我們在三股開了一間教會
[00:00:56.600 --> 00:00:59.000]  那間outlet其實在我們三股的教會
[00:00:59.000 --> 00:01:00.800]  再過幾個exit就到
[00:01:00.800 --> 00:01:03.200]  那麼這個weekend是第一天開張
[00:01:03.200 --> 00:01:04.200]  對第一天開張
[00:01:04.200 --> 00:01:06.400]  有很多很便宜的東西
[00:01:06.400 --> 00:01:08.000]  所以大家可以去看看
[00:01:08.000 --> 00:01:11.200]  他們號稱是全加州北加州最大的一間outlet
[00:01:11.200 --> 00:01:14.000]  也是最多名牌最high end
[00:01:14.000 --> 00:01:15.200]  那麼今天還有很特別
[00:01:15.200 --> 00:01:18.200]  今天很多的商店我看新聞都說
[00:01:18.200 --> 00:01:20.700]  你知道以往都是你要去排隊
[00:01:20.700 --> 00:01:23.200]  比方說best buy六點鐘開門
[00:01:23.200 --> 00:01:25.200]  然後有些是十二點開門
[00:01:25.200 --> 00:01:29.200]  我們今天他們都提早開門8點鐘就開了
[00:01:29.200 --> 00:01:31.200]  所以我們就說不如我們就感恩節
[00:01:31.200 --> 00:01:32.200]  我們就在這邊吃個火鍋
[00:01:32.200 --> 00:01:34.200]  然後就一起去shopping
[00:01:34.200 --> 00:01:36.200]  對對美國人而言
[00:01:36.200 --> 00:01:39.200]  thanksgiving只是一個shopping的季節
[00:01:39.200 --> 00:01:41.200]  就是有很多東西
[00:01:41.200 --> 00:01:44.200]  很多減價的東西我們可以買很開心
[00:01:44.200 --> 00:01:47.200]  可是對當初建立thanksgiving
[00:01:47.200 --> 00:01:50.200]  就感恩節假期的那群人來說
[00:01:50.200 --> 00:01:53.200]  那群清教徒就大概在17世紀的那群
[00:01:53.200 --> 00:01:55.200]  剛剛從英國過來的清教徒
[00:01:55.200 --> 00:01:59.200]  當時那群清教徒受到當時英國國教的迫害
[00:01:59.200 --> 00:02:00.200]  他們想要找一個地方
[00:02:00.200 --> 00:02:04.200]  可以讓他們可以很自由的敬拜神
[00:02:04.200 --> 00:02:05.200]  所以他們就
[00:02:05.200 --> 00:02:08.200]  後來他們就一群人離開英國坐船
[00:02:08.200 --> 00:02:10.200]  坐了一艘船
[00:02:10.200 --> 00:02:12.200]  他的那個名字叫做五月花
[00:02:12.200 --> 00:02:13.200]  這次沒弄錯
[00:02:13.200 --> 00:02:14.200]  真的是五月花
[00:02:14.200 --> 00:02:16.200]  上次我弄錯了
[00:02:16.200 --> 00:02:18.200]  上次是茉莉花革命
[00:02:18.200 --> 00:02:20.200]  我說了五月花革命
[00:02:20.200 --> 00:02:23.200]  其實五月花是一個餐館
[00:02:23.200 --> 00:02:24.200]  是個餐館
[00:02:24.200 --> 00:02:25.200]  我把它弄錯了
[00:02:25.200 --> 00:02:27.200]  對我們一起參加五月花革命
[00:02:27.200 --> 00:02:30.200]  完事之後一起去茉莉花喝茶
[00:02:30.200 --> 00:02:31.200]  我說錯了
[00:02:31.200 --> 00:02:32.200]  所以五月花這次沒錯
[00:02:32.200 --> 00:02:34.200]  他們坐五月花來到美國
[00:02:34.200 --> 00:02:36.200]  可是當他們來美國的時候
[00:02:36.200 --> 00:02:37.200]  他們是很艱難
[00:02:37.200 --> 00:02:39.200]  因為他們在船上
[00:02:39.200 --> 00:02:40.200]  因為衛生不好的緣故
[00:02:40.200 --> 00:02:41.200]  因為瘟疫的緣故
[00:02:41.200 --> 00:02:43.200]  他們死了很多的人
[00:02:43.200 --> 00:02:46.200]  他們大概只有三分之二的人能夠來到這邊
[00:02:46.200 --> 00:02:47.200]  來到這邊之後
[00:02:47.200 --> 00:02:49.200]  他們不熟悉美國的環境
[00:02:49.200 --> 00:02:51.200]  他們不知道應該種什麼可以長
[00:02:51.200 --> 00:02:53.200]  種什麼不長
