
[00:00:00.000 --> 00:00:03.280]  主啊!多謝祢!多謝祢!
[00:00:03.280 --> 00:00:07.600]  我們見到榮耀的主坐在寶座上
[00:00:07.600 --> 00:00:09.400]  聖潔的主
[00:00:09.400 --> 00:00:15.080]  主啊!祢是本來在人不能夠靠近的光裡面
[00:00:15.080 --> 00:00:19.080]  但今日祢卻叫我們一班兒女
[00:00:19.080 --> 00:00:23.280]  似乎真的可以去到天堂的面前
[00:00:23.280 --> 00:00:25.480]  見到祢榮美的面
[00:00:25.480 --> 00:00:28.080]  沾養祢的榮美
[00:00:28.080 --> 00:00:31.080]  主啊!我們也透過詩歌
[00:00:31.080 --> 00:00:34.680]  我們看見我們的罪
[00:00:34.680 --> 00:00:38.280]  真的曾經叫祢掩面不寒
[00:00:38.280 --> 00:00:44.880]  我們的罪阻礙了我們與祢之間的溝通
[00:00:44.880 --> 00:00:48.280]  主啊!祢藉著大衛的詩
[00:00:48.280 --> 00:00:50.480]  他在犯罪之後
[00:00:50.480 --> 00:00:55.280]  真的經歷到他很需要有一個正直的靈
[00:00:55.280 --> 00:00:59.680]  很需要求祢做一個清潔的心在他裡面
[00:00:59.680 --> 00:01:01.480]  主啊!今日我們一班的兒女
[00:01:01.480 --> 00:01:04.080]  我們都是在祢面前仰望祢
[00:01:04.080 --> 00:01:07.280]  求祢為我們做一個清潔的心
[00:01:07.280 --> 00:01:08.880]  正直的靈
[00:01:08.880 --> 00:01:13.080]  主啊!讓我們真的可以到達祢的面前
[00:01:13.080 --> 00:01:15.280]  多謝祢用祢的補血
[00:01:15.280 --> 00:01:17.680]  遮蓋我們一切的過犯
[00:01:17.680 --> 00:01:22.880]  讓我們可以重新享受作祢兒女的喜樂
[00:01:22.880 --> 00:01:25.480]  主啊!求祢今日也透過聖言
[00:01:25.480 --> 00:01:26.680]  祢的話語
[00:01:26.680 --> 00:01:30.680]  再一次將祢的兒女帶到祢的庚前
[00:01:30.680 --> 00:01:32.480]  聆聽祢的說話
[00:01:32.480 --> 00:01:34.080]  讓我們跟從
[00:01:34.080 --> 00:01:37.080]  讓我們真的行在祢的心意裡面
[00:01:37.080 --> 00:01:38.880]  禱告奉基督耶穌的聖名
[00:01:38.880 --> 00:01:42.080]  阿門
[00:01:42.080 --> 00:01:46.480]  最近我們有一個很龐大的工程
[00:01:46.480 --> 00:01:48.880]  郵輪碼頭落成了
[00:01:48.880 --> 00:01:54.280]  我不是說這個碼頭的工程有多大
