
[00:00:00.000 --> 00:00:04.000]  我們今天要分享的信息的題目是
[00:00:04.000 --> 00:00:06.280]  與神同在的人
[00:00:06.280 --> 00:00:13.240]  想從保羅的身上看到一個是與神同在的人
[00:00:13.240 --> 00:00:17.600]  這兩張是師父經中的最後的兩張
[00:00:17.600 --> 00:00:22.240]  我們就因爲這裏面記載的有很多事情
[00:00:22.240 --> 00:00:25.920]  所以我們很難說講一段以後又跳到另外一段
[00:00:25.920 --> 00:00:30.440]  就想連續的簡略的來看一看
[00:00:30.440 --> 00:00:33.440]  我們先從第27章一開始的話
[00:00:33.440 --> 00:00:40.200]  是講到保羅經過五次的做見證以後
[00:00:40.200 --> 00:00:44.600]  現在是因爲他要查不出他有什麼罪
[00:00:44.600 --> 00:00:52.920]  所以他就說那我要上告到這個羅馬皇帝的臺下面前
[00:00:52.920 --> 00:00:54.440]  那麼就這樣的話
[00:00:54.440 --> 00:00:59.440]  27章已經開始了
[00:00:59.440 --> 00:01:06.720]  從蓋撒利亞他所囚禁的地方要到羅馬這個地方去
[00:01:06.720 --> 00:01:12.720]  我們先看第一段的路是從蓋撒利亞到加奧
[00:01:12.720 --> 00:01:16.560]  是從第一節到第八節這一段
[00:01:16.560 --> 00:01:20.960]  保羅就跟一些囚犯
[00:01:20.960 --> 00:01:26.440]  就有個白骨掌的押送坐船到羅馬去
[00:01:26.440 --> 00:01:30.040]  那麼他們一塊去的除了保羅以外
[00:01:30.040 --> 00:01:37.040]  還有他的從宮寫《十讀行傳》的陸迦
[00:01:37.040 --> 00:01:40.400]  然後還有一個從宮的亞歷達古
[00:01:40.400 --> 00:01:45.800]  他們就從蓋撒利亞開始船出去到西頓
[00:01:45.800 --> 00:01:48.680]  就不太遠的一個港口
[00:01:48.680 --> 00:01:54.240]  然後就往西走的話
[00:01:54.240 --> 00:01:57.560]  就到經過居比路島
[00:01:57.560 --> 00:01:59.840]  然後到了梅拉
[00:01:59.840 --> 00:02:04.640]  那麼就從這個地方是一個大的港口
[00:02:04.640 --> 00:02:09.400]  然後他就換成一個運脈式的船
[00:02:09.400 --> 00:02:11.240]  這個船很大
[00:02:11.240 --> 00:02:13.960]  在當時可以說是一個大船
[00:02:13.960 --> 00:02:18.240]  差不多有180尺長的一個船
[00:02:18.240 --> 00:02:23.080]  那個時候因爲沒有什麼貨輪跟這個客人分開
[00:02:23.080 --> 00:02:28.000]  多半是在貨輪上面可以乘上一些乘客
[00:02:28.000 --> 00:02:34.560]  所以他們就坐上這一個運脈式的大船
[00:02:34.560 --> 00:02:39.320]  就要一路就可以要到羅馬去
[00:02:39.320 --> 00:02:41.440]  因爲羅馬地圖很大
[00:02:41.440 --> 00:02:44.680]  埃及也是屬於他所征服的地方
[00:02:44.680 --> 00:02:48.240]  所以埃及所出產的麥子
[00:02:48.240 --> 00:02:53.520]  常常是要用船運到羅馬供給他們用
[00:02:53.520 --> 00:02:59.480]  那麼從梅拉到了梅拉以後
[00:02:59.480 --> 00:03:01.000]  坐了這個船以後
