
[00:00:00.000 --> 00:00:08.760]  三個月跟師母剛好我們就進入了我們第十九年的結婚紀念
[00:00:08.760 --> 00:00:13.280]  上個禮拜就跟師母經歷了我們十九年來的結婚紀念
[00:00:13.280 --> 00:00:17.180]  沒有慶祝 因為我在新加坡 她在這邊
[00:00:17.180 --> 00:00:19.440]  沒得慶祝 因為我在新加坡 太太在這邊
[00:00:19.440 --> 00:00:25.000]  不過每一年的時候 我們到達我們週年紀念的時候
[00:00:25.000 --> 00:00:30.840]  就給我每次回想 我們的婚姻所走的這一條路
[00:00:30.840 --> 00:00:33.940]  每一年我們經歷這個婚姻紀念的時候
[00:00:33.940 --> 00:00:37.800]  我就想起我們一路以來這個婚姻這條路 怎樣走
[00:00:37.800 --> 00:00:41.480]  在我思想過去十九年裡面
[00:00:41.480 --> 00:00:47.480]  特別是我們十四年是在國外
[00:00:47.480 --> 00:00:52.880]  所以我們有很多的性格上的一些磨合
[00:00:52.880 --> 00:00:55.380]  所以我們有很多機會去磨合我們的性格
[00:00:55.380 --> 00:00:58.360]  特別是在教養孩子方面
[00:00:58.360 --> 00:01:00.060]  特別是在教養孩子方面
[00:01:00.060 --> 00:01:04.220]  我主張是用比較嚴厲的方式
[00:01:04.220 --> 00:01:06.060]  我是主張比較嚴厲的方法
[00:01:06.060 --> 00:01:09.380]  開始九點半 你九點半一定要睡覺
[00:01:09.380 --> 00:01:11.660]  我就說九點半要睡覺 九點半就要睡覺
[00:01:11.660 --> 00:01:15.640]  我會去檢查他們有沒有在房間睡覺的
[00:01:15.640 --> 00:01:17.640]  我每天都去檢查他們有沒有在房間睡覺
[00:01:17.640 --> 00:01:23.000]  我會等到十二點 我可以很持續的
[00:01:23.000 --> 00:01:26.440]  一定要他們在那個時候真的照著我的規矩去做
[00:01:26.440 --> 00:01:30.400]  我可以很遲睡 所以我就一定要他們跟我的規矩去做
[00:01:30.400 --> 00:01:32.400]  需要罰的時候我就罰
[00:01:32.400 --> 00:01:33.700]  需要罰他們的時候我就罰他們
[00:01:33.700 --> 00:01:35.360]  可是師母她不一樣
[00:01:35.360 --> 00:01:36.480]  但師母就不一樣了
[00:01:36.480 --> 00:01:41.740]  師母覺得每一樣東西都要很好的對他們說
[00:01:41.740 --> 00:01:44.980]  師母就比較溫柔 覺得每一樣東西好好跟他們說
[00:01:44.980 --> 00:01:49.240]  可以的話就盡量滿足孩子們的需要
[00:01:49.240 --> 00:01:52.220]  可以的話就盡量滿足孩子的需要
[00:01:52.220 --> 00:01:55.020]  主要是因為我們是從不同的家庭背景來
[00:01:55.020 --> 00:01:57.240]  主要是因為我們是從不同的家庭背景而來
[00:01:57.240 --> 00:02:00.200]  我的家就這樣教我 你看這樣好
[00:02:00.200 --> 00:02:02.200]  我的家也是這樣教我 我覺得這樣就好了
[00:02:02.200 --> 00:02:06.000]  我的家也是這樣教我 你看我的兄弟姐妹也這樣好
[00:02:06.000 --> 00:02:08.000]  你看我的家長這樣教我 我的兄弟姐妹這樣教我
[00:02:08.000 --> 00:02:10.460]  我說我們各說各話
[00:02:10.460 --> 00:02:15.020]  所以師母一邊說 我就一邊說
[00:02:15.020 --> 00:02:16.520]  到底是誰對誰錯呢?
[00:02:16.520 --> 00:02:17.720]  究竟是誰對誰錯呢?
[00:02:17.720 --> 00:02:19.140]  你們說是誰對誰錯呢?
[00:02:19.140 --> 00:02:20.640]  你覺得是誰對誰錯呢?
[00:02:20.640 --> 00:02:24.200]  應該跟誰啊?你們怎樣教孩子的?
[00:02:24.200 --> 00:02:26.200]  你們有沒有這樣的矛盾?
[00:02:26.200 --> 00:02:28.200]  你們家裡有沒有這樣的矛盾?
[00:02:28.200 --> 00:02:33.300]  其實我們在我們的生活當中
[00:02:33.300 --> 00:02:36.100]  其實有很多一些矛盾的事情的
