
[00:00:00.000 --> 00:00:03.200]  鄭書培 早晨 讓我們在聆聽主的說話以先
[00:00:03.200 --> 00:00:07.960]  我們一起再次同心低頭禱告
[00:00:07.960 --> 00:00:12.480]  父神多謝祢 讓我們再次回到祢的啟示當中
[00:00:12.480 --> 00:00:16.160]  讓我們去明白 作為一個肅神的子民
[00:00:16.160 --> 00:00:18.800]  應該怎樣與祢同行
[00:00:18.800 --> 00:00:22.000]  怎樣在上主祢的當中去尋求
[00:00:22.000 --> 00:00:26.080]  並且去一步一驚心地去到
[00:00:26.080 --> 00:00:30.240]  隨著上帝祢給我們面對的周遭的日子
[00:00:30.240 --> 00:00:32.360]  去看到上帝祢的信實
[00:00:32.360 --> 00:00:35.120]  多謝祢給我們在這段聖經裡面的
[00:00:35.120 --> 00:00:38.320]  再一次的經驗和理解
[00:00:38.320 --> 00:00:39.600]  求祢的帶領
[00:00:39.600 --> 00:00:43.760]  讓屬祢的每一個追求真道的信徒
[00:00:43.760 --> 00:00:46.080]  都能夠透過這段聖經
[00:00:46.080 --> 00:00:48.760]  藉著這個時間的講道
[00:00:48.760 --> 00:00:52.400]  能夠幫助我們 能夠更靠近祢
[00:00:52.400 --> 00:00:55.600]  禱告奉靠主耶穌基督
[00:00:55.600 --> 00:00:58.960]  得勝的明智而求 阿們
[00:01:26.160 --> 00:01:31.240]  找一些抱著可以依靠的東西
[00:01:31.240 --> 00:01:36.800]  所以有些人去看回
[00:01:36.800 --> 00:01:38.920]  在聖經裡面有一個用詞
[00:01:38.920 --> 00:01:43.280]  都很常有的 叫做surety
[00:01:43.280 --> 00:01:46.200]  就是一些當頭
[00:01:46.200 --> 00:01:48.080]  即是有些東西要拿著
[00:01:48.080 --> 00:01:53.280]  等到你可以有些安全感
[00:01:53.280 --> 00:01:57.240]  其實行走在一條屬靈的道路上面
[00:01:57.240 --> 00:02:01.960]  很多時候我們都會有這個猶豫
[00:02:01.960 --> 00:02:05.520]  就是我們因為面對著人生的路
[00:02:05.520 --> 00:02:08.040]  以及這條天路的過程當中
[00:02:08.040 --> 00:02:10.080]  我們發現到兩者之間
[00:02:10.080 --> 00:02:12.560]  有很多的地方不銜接
[00:02:12.560 --> 00:02:16.480]  甚至有些叫做脫勾的現象
[00:02:16.480 --> 00:02:20.400]  究竟我是不是繼續要走在天路的裡面呢?
[00:02:20.400 --> 00:02:23.360]  按照神的說話來做事
[00:02:23.360 --> 00:02:26.880]  還是我要回到世界裡面
[00:02:26.880 --> 00:02:28.760]  找一些渣拿呢?
[00:02:28.760 --> 00:02:32.040]  有些靠山呢?
[00:02:32.040 --> 00:02:36.680]  所以當我們面對很多不穩定的時候
[00:02:36.680 --> 00:02:39.680]  我們就會有很多的猶豫
[00:02:39.680 --> 00:02:48.960]  尤其是今天我們會進入2020年這個時代
[00:02:48.960 --> 00:02:53.560]  正式來說應該是2019年
[00:02:53.560 --> 00:02:58.320]  開始有很多我們從來沒遇過的
[00:02:58.320 --> 00:03:02.080]  一些世紀的傳染病
[00:03:02.080 --> 00:03:05.960]  COVID-19或者武漢肺炎
[00:03:05.960 --> 00:03:09.320]  這些病症傳遍全世界之後
[00:03:09.320 --> 00:03:10.600]  我們會發覺到
[00:03:10.600 --> 00:03:15.080]  我們活在一個其實極度不穩定的世界裡面
[00:03:15.080 --> 00:03:18.160]  無論是你說天災也好
