
[00:00:00.000 --> 00:00:04.800]  今天是十二月廿七日
[00:00:04.800 --> 00:00:08.900]  聖誕節過了兩天
[00:00:08.900 --> 00:00:10.600]  無論如何都祝福大家
[00:00:10.600 --> 00:00:15.900]  我想在敬拜裏面都有很多感受和體會
[00:00:15.900 --> 00:00:18.900]  多謝主讓我們這樣去
[00:00:18.900 --> 00:00:23.800]  度過今年這麼特別的聖誕節
[00:00:23.800 --> 00:00:28.100]  聖誕是紀念耶穌降生
[00:00:28.100 --> 00:00:34.400]  耶穌降生之後其實是帶來了歷史的新一頁
[00:00:34.400 --> 00:00:36.400]  在舊恩歷史裏面
[00:00:36.400 --> 00:00:41.200]  在人類歷史甚至是整個宇宙的舊恩歷史裏面
[00:00:41.200 --> 00:00:43.300]  聖誕是一個很重要的標誌
[00:00:43.300 --> 00:00:45.300]  因為耶穌來了
[00:00:45.300 --> 00:00:50.900]  耶穌來了是表示這個世界有一個很大的更新
[00:00:50.900 --> 00:00:53.500]  嶄新 好像見一版新一樣
[00:00:53.500 --> 00:00:56.300]  因為耶穌的來到
[00:00:56.300 --> 00:01:01.100]  所以今天是2020年最後的一個主日
[00:01:01.100 --> 00:01:03.100]  我們又面對一個未來
[00:01:03.100 --> 00:01:04.900]  一個新的未來
[00:01:04.900 --> 00:01:10.700]  2020年的確是一年相當不好過的日子
[00:01:10.700 --> 00:01:13.700]  怎樣可以面對未來呢
[00:01:13.700 --> 00:01:19.700]  面對未來新的一年 新的世界
[00:01:19.700 --> 00:01:23.100]  耶穌的出生帶給人很大的盼望
[00:01:23.100 --> 00:01:27.900]  帶給人很遠的憧憬 遠像
[00:01:27.900 --> 00:01:31.100]  帶給人一個新的時代
[00:01:31.100 --> 00:01:34.300]  我們經常說我們要有新常態
[00:01:34.300 --> 00:01:36.500]  當然這個新常態是在說
[00:01:36.500 --> 00:01:39.500]  因為面對耶穌快要回來的日子
[00:01:39.500 --> 00:01:41.500]  我們這樣去說
[00:01:41.500 --> 00:01:45.500]  新的常態背後是反映舊的東西
[00:01:45.500 --> 00:01:47.500]  都要變新
[00:01:47.500 --> 00:01:50.300]  在預備主的回來
[00:01:50.300 --> 00:01:53.700]  不過我們都知道我們這些年紀越來越大的人
[00:01:53.700 --> 00:01:55.500]  要變新是很不容易的
[00:01:55.500 --> 00:01:58.900]  要變自己是很不容易的
[00:01:58.900 --> 00:02:03.100]  我自己也是一個很喜歡穿舊衣服的人
[00:02:03.100 --> 00:02:05.300]  要穿新衣服其實是很不容易的
[00:02:05.300 --> 00:02:09.500]  我老婆昨天特意叫我穿一件新衣服
[00:02:09.500 --> 00:02:12.300]  年輕一點的 不用像阿伯那樣
[00:02:12.300 --> 00:02:13.900]  我就說好啊 好啊
[00:02:13.900 --> 00:02:16.500]  其實我也是阿伯 差不多這個年紀
[00:02:16.500 --> 00:02:19.100]  阿伯也可以新的
[00:02:19.100 --> 00:02:22.100]  所以穿了這件衣服是新的
[00:02:22.100 --> 00:02:26.500]  我想面對過去的一年
[00:02:26.500 --> 00:02:27.900]  快要過去了
[00:02:27.900 --> 00:02:29.700]  剛剛這一年快要過去了
[00:02:29.700 --> 00:02:31.300]  面對新的一年
[00:02:31.300 --> 00:02:36.900]  我想這一年是橫掃世界的疫情
[00:02:36.900 --> 00:02:39.700]  令人沮喪 令人失望
[00:02:39.700 --> 00:02:43.500]  令人抑鬱的社會環境
[00:02:43.500 --> 00:02:46.300]  我們怎樣面對新的一年呢
[00:02:46.300 --> 00:02:49.700]  這個星期我就選了一個經文
[00:02:49.700 --> 00:02:51.900]  這個經文是來自
[00:02:51.900 --> 00:02:53.300]  當然這個經文的源起
[00:02:53.300 --> 00:02:55.500]  也是《尋求認知》裡面其中一點
[00:02:55.500 --> 00:02:56.900]  我就選了這段經文
[00:02:56.900 --> 00:02:58.900]  嘗試透過聖經的了解
[00:02:58.900 --> 00:03:01.700]  這一點其實是在說什麼呢
[00:03:01.700 --> 00:03:06.300]  就是關於新酒和新皮袋的教導
[00:03:06.300 --> 00:03:07.900]  耶穌的吩咐
[00:03:07.900 --> 00:03:11.100]  新的酒和新的皮袋
[00:03:11.100 --> 00:03:13.900]  新的酒要裝在新的皮袋裡面
[00:03:13.900 --> 00:03:15.700]  其實《尋求認知》只有這麼多
[00:03:15.700 --> 00:03:18.300]  但其實背後是什麼含義呢
[00:03:18.300 --> 00:03:20.300]  我們回到聖經看看怎樣說
[00:03:20.300 --> 00:03:23.500]  耶穌怎樣演繹這一段說話
[00:03:23.500 --> 00:03:27.100]  為什麼新的酒要裝在新的皮袋裡面呢
[00:03:27.100 --> 00:03:29.300]  酒代表什麼意思呢
[00:03:29.300 --> 00:03:31.500]  皮袋又代表什麼意思呢
[00:03:31.500 --> 00:03:32.700]  這是一個比喻
[00:03:32.700 --> 00:03:35.700]  這個比喻是指向一個什麼
[00:03:35.700 --> 00:03:37.700]  要說些什麼呢
[00:03:37.700 --> 00:03:39.700]  我想在四方裡面
[00:03:39.700 --> 00:03:41.700]  曼太、馬可、路加都有說這件事
[00:03:41.700 --> 00:03:44.300]  都有記載耶穌的這個教導
[00:03:44.300 --> 00:03:47.100]  相對來說路加稍為詳細一點
[00:03:47.100 --> 00:03:48.500]  所以我們選擇了路加
[00:03:48.500 --> 00:03:55.700]  在我這次思考的過程中
[00:03:55.700 --> 00:04:00.500]  我也想將我自己思考這段經文的過程跟大家分享
[00:04:00.500 --> 00:04:02.900]  讓大家知道我怎樣想
[00:04:02.900 --> 00:04:06.300]  以及怎樣得到這些跟大家分享的訊息
[00:04:06.300 --> 00:04:09.700]  希望能夠共度一起思考
[00:04:09.700 --> 00:04:12.100]  以及進入這段經文
[00:04:12.100 --> 00:04:16.100]  我們先看看經文
[00:04:16.100 --> 00:04:19.100]  路加福音第五章三十三至三十九
[00:04:19.100 --> 00:04:20.100]  今天的經文會多一點
[00:04:20.100 --> 00:04:21.100]  除了這段之外
[00:04:21.100 --> 00:04:22.700]  還有一些延伸的
[00:04:22.700 --> 00:04:24.700]  五章三十三到三十九
[00:04:24.700 --> 00:04:28.100]  我們先看看這段經文說什麼
[00:04:28.100 --> 00:04:31.100]  大家聽我讀出來
[00:04:31.100 --> 00:04:32.100]  一邊看一邊聽
[00:04:32.100 --> 00:04:34.100]  因為家裡有很多的弟兄姊妹
[00:04:34.100 --> 00:04:37.100]  所以如果大家讀他們是聽不到的
[00:04:37.100 --> 00:04:40.700]  我用麥克風跟大家一起讀出這段經文
[00:04:40.700 --> 00:04:43.100]  三十三節路加福音五章
[00:04:43.100 --> 00:04:44.300]  他們說
[00:04:44.300 --> 00:04:47.700]  據約翰的門徒屢次禁食祈禱
[00:04:47.700 --> 00:04:50.100]  法利塞人的門徒都是這樣
[00:04:50.100 --> 00:04:53.300]  唯獨你的門徒又吃又喝
[00:04:53.300 --> 00:04:54.900]  耶穌對他們說
[00:04:54.900 --> 00:04:58.100]  新郎和陪伴之人同在的時候
