
[00:00:00.000 --> 00:00:03.600]  我們在想,如果讓我設計一個遊戲
[00:00:03.600 --> 00:00:06.700]  可能手機遊戲叫《基督徒高》也不錯
[00:00:06.700 --> 00:00:09.200]  就是去到不同的地方,我們要出去的
[00:00:09.200 --> 00:00:12.200]  走走走嘛,去到呢,不要說捉啦
[00:00:12.200 --> 00:00:14.000]  去到找人,有些未信主的
[00:00:14.000 --> 00:00:17.700]  可以,有些容易信主,有些沒那麼容易信主的
[00:00:17.700 --> 00:00:19.700]  然後跟着就可以栽培他啦
[00:00:19.700 --> 00:00:23.300]  然後讓他也可以成爲一個福音的使者
[00:00:23.300 --> 00:00:25.900]  出去呢,來到去到,又找其他人來到
[00:00:25.900 --> 00:00:27.900]  去到信耶穌,不錯哦
[00:00:27.900 --> 00:00:30.900]  一齊用我們的心底讀稿
[00:00:30.900 --> 00:00:32.900]  慈悲人類阿爸阿婆我們讚美多謝你
[00:00:32.900 --> 00:00:36.900]  在主耶穌的清晨,求你繼續來帶領我們
[00:00:36.900 --> 00:00:38.900]  去到以心靈誠實來敬拜你
[00:00:38.900 --> 00:00:40.900]  求你讓我們進入真理
[00:00:40.900 --> 00:00:42.900]  求聖靈去引導我們,使我們明白
[00:00:42.900 --> 00:00:44.900]  你話語做個聽到又行到的人
[00:00:44.900 --> 00:00:46.900]  奉救主耶穌基督,聖靈而求,阿盟
[00:00:46.900 --> 00:00:51.900]  有三個人就遇到很不幸,遇到交通意外就去到離世
[00:00:51.900 --> 00:00:54.900]  上到天堂,三個都去到見到天使
[00:00:54.900 --> 00:00:59.900]  天使就問第一個人,你想人們如何在安息禮拜裏紀念你
[00:00:59.900 --> 00:01:03.900]  這個人就說,我想人們形容我是一個很厲害的人
[00:01:03.900 --> 00:01:07.900]  我讀書很厲害,做事很厲害,賺到很多錢,很有成就
[00:01:07.900 --> 00:01:09.900]  第二個人,去到這個天使面前
[00:01:09.900 --> 00:01:13.900]  天使就說,你想人們如何在安息禮拜裏紀念你
[00:01:13.900 --> 00:01:16.900]  我想人們說,我是一個很好的人
[00:01:16.900 --> 00:01:21.900]  對家人也好,對朋友也好,對社會也有貢獻
[00:01:21.900 --> 00:01:25.900]  做很多好事,不錯
[00:01:25.900 --> 00:01:27.900]  第三個人來到這個天使面前
[00:01:27.900 --> 00:01:31.900]  天使就說,你想人們如何在安息禮拜裏紀念你
[00:01:31.900 --> 00:01:38.900]  這個人就想,我想那些人說,你看,他懂得動
[00:01:38.900 --> 00:01:49.900]  你會覺得你是一個很厲害的人,你是一個好人
[00:01:49.900 --> 00:01:57.900]  還是你會覺得你是一個活的人
[00:01:57.900 --> 00:02:02.900]  究竟我們是不是一個活人呢?
[00:02:02.900 --> 00:02:10.900]  有些人,你跟他說,最近怎麼樣?死了
[00:02:10.900 --> 00:02:14.900]  今天跟大家思想,在《已忽所書》二章一席十節
[00:02:14.900 --> 00:02:18.900]  本來要提醒我們,我們是一個很活潑的生命
[00:02:18.900 --> 00:02:22.900]  我跟大家去看一看,《已忽所書》是一個什麼地方
[00:02:22.900 --> 00:02:27.900]  其實在講《已忽所書》之前,我剛剛去了美國旅行
[00:02:27.900 --> 00:02:31.900]  去探親,其實我在美國很多地方都去過,這裏是東岸
[00:02:31.900 --> 00:02:35.900]  但是有一個地方,我在東岸離開了十年沒有去過
[00:02:35.900 --> 00:02:39.900]  這十年裏面有一個地方我是沒有去過的
[00:02:39.900 --> 00:02:43.900]  就是這個叫911的紀念館或者博物館
[00:02:43.900 --> 00:02:47.900]  因爲這個地方,我記得十幾年前我在芝加哥讀神學的時間
[00:02:47.900 --> 00:02:56.900]  看着電視,就是911發生,兩等的紐約的地標叫世貿大廈
[00:02:56.900 --> 00:03:00.900]  因爲那個恐雜就慢慢的消失
[00:03:00.900 --> 00:03:06.900]  當時很多人在兩棟大廈裏面的人叫死裏逃生
[00:03:06.900 --> 00:03:16.900]  有些人是能夠逃走,有些人不能夠葬身在這個地方
[00:03:16.900 --> 00:03:22.900]  但是另外有些人選擇出生入死,知道是什麼人嗎?
[00:03:22.900 --> 00:03:26.900]  消防員或者警察那些人
[00:03:26.900 --> 00:03:32.900]  當時在美國最推崇的人,這些人叫做Heroes
[00:03:32.900 --> 00:03:37.900]  但是今天不知道爲什麼那麼多人很憎警察
[00:03:37.900 --> 00:03:45.900]  香港也是,有些人很憎警察,始終有好有不好
[00:03:45.900 --> 00:03:49.900]  但是很有趣的,在生死存亡之間
[00:03:49.900 --> 00:03:53.900]  往往有些人會想到生命的問題
[00:03:53.900 --> 00:03:58.900]  甚至是和上帝有關
[00:03:58.900 --> 00:04:02.900]  給個圖給你看,在這個博物館裏面有個展品
[00:04:02.900 --> 00:04:04.900]  The Cross at Ground Zero
[00:04:04.900 --> 00:04:09.900]  就是兩棟大廈倒塌了,但是還有很多遺蹟
[00:04:09.900 --> 00:04:13.900]  有個槓根,兩條槓根組成一個十字架
[00:04:13.900 --> 00:04:16.900]  很多人就在這裏找到上帝
[00:04:16.900 --> 00:04:23.900]  或者去找到生命的依靠,生命的位置
[00:04:23.900 --> 00:04:25.900]  而今天很多人回頭看就會記得
[00:04:25.900 --> 00:04:32.900]  是上帝的憐憫恩典,可能讓他們繼續生存
[00:04:32.900 --> 00:04:35.900]  或者我們不是經歷過這個事件
[00:04:35.900 --> 00:04:38.900]  但是我想大家想一想,在你的生命裏面
[00:04:38.900 --> 00:04:40.900]  有沒有經歷過一些事件
[00:04:40.900 --> 00:04:45.900]  是生死存亡,往往那件事件
[00:04:45.900 --> 00:04:47.900]  就會成爲你人生的一個轉捩點
[00:04:47.900 --> 00:04:54.900]  或者你人生活下去的一個目標
[00:04:54.900 --> 00:05:03.900]  你想一想,如果你經歷過一些生死存亡的關頭
[00:05:03.900 --> 00:05:06.900]  可能人生裏面最深刻的就是那件事件
[00:05:06.900 --> 00:05:09.900]  因爲那件事件會扭轉了你的人生
[00:05:09.900 --> 00:05:13.900]  以弗所的信徒同樣是差不多
[00:05:13.900 --> 00:05:15.900]  今天以弗所出現的十字架
[00:05:15.900 --> 00:05:17.900]  本來要讓我們看到一個
[00:05:17.900 --> 00:05:23.900]  信主前後生命很不同的一種狀態
[00:05:23.900 --> 00:05:26.900]  我和大家看看以弗所的地方
[00:05:26.900 --> 00:05:30.900]  以弗所其實就是在當時的羅馬帝國裏面
[00:05:30.900 --> 00:05:32.900]  第三大重要的城市
[00:05:32.900 --> 00:05:37.900]  你見到這個地圖,現在是現代土耳其的地方
[00:05:37.900 --> 00:05:41.900]  有些人去過聖地,以色列
[00:05:41.900 --> 00:05:44.900]  有些人很想去土耳其,希臘
[00:05:44.900 --> 00:05:47.900]  去尋根,尋索七教會
[00:05:47.900 --> 00:05:49.900]  或者就算你不是基督徒
[00:05:49.900 --> 00:05:51.900]  有些人很喜歡去看一些遺蹟
[00:05:51.900 --> 00:05:55.900]  因爲在希羅時代最多最豐富的遺蹟
[00:05:55.900 --> 00:05:58.900]  就在這個以弗所的地方
[00:05:58.900 --> 00:06:00.900]  以弗所是保羅第二次宣教旅程裏面
[00:06:00.900 --> 00:06:02.900]  他去到建立這個教會
[00:06:02.900 --> 00:06:07.900]  而第三次宣教旅程再去這個地方停留最久的地方
[00:06:07.900 --> 00:06:09.900]  他有兩年至三年的時間
[00:06:09.900 --> 00:06:12.900]  停留在那裏做就建立教會
[00:06:12.900 --> 00:06:14.900]  和這羣以弗所的信徒有很深厚的感情
[00:06:14.900 --> 00:06:16.900]  而在以弗所這個地方
[00:06:16.900 --> 00:06:19.900]  其實在當時古代希羅時代
[00:06:19.900 --> 00:06:21.900]  也是一個很重要的城市
[00:06:21.900 --> 00:06:28.900]  文化、商業、宗教都是集於一身的一個重鎮
[00:06:28.900 --> 00:06:30.900]  所以當時的信徒
