
[00:00:00.000 --> 00:00:02.600]  我們說說水深火熱
[00:00:02.600 --> 00:00:07.240]  不知道大家是否覺得我們處於水深火熱的處境當中
[00:00:07.240 --> 00:00:09.000]  上星期一剛剛過了
[00:00:09.000 --> 00:00:10.320]  8月17日
[00:00:10.320 --> 00:00:12.040]  大家可能有留意的話
[00:00:12.040 --> 00:00:13.640]  知道在Kentucky
[00:00:13.640 --> 00:00:15.360]  Rowan County
[00:00:15.360 --> 00:00:16.680]  有一個Clerk
[00:00:16.680 --> 00:00:18.680]  叫做Kim Davis
[00:00:18.680 --> 00:00:21.000]  Kim Davis因為拒絕
[00:00:21.000 --> 00:00:24.520]  在結婚證書上
[00:00:24.520 --> 00:00:27.560]  和同性婚姻的人簽署結婚證書
[00:00:27.560 --> 00:00:29.560]  即是拒絕發出這個證書
[00:00:29.560 --> 00:00:32.600]  於是被人告上法庭
[00:00:32.600 --> 00:00:34.600]  星期一是很特別的
[00:00:34.600 --> 00:00:36.600]  因為事件不是剛剛開始
[00:00:36.600 --> 00:00:38.600]  因為法庭的法官
[00:00:38.600 --> 00:00:40.600]  David Browning的裁決
[00:00:40.600 --> 00:00:42.600]  拗了頭
[00:00:42.600 --> 00:00:44.600]  他說不行,你在裏面打工
[00:00:44.600 --> 00:00:46.600]  你要簽署這個證書
[00:00:46.600 --> 00:00:48.600]  不過我這個裁決
[00:00:48.600 --> 00:00:50.600]  可以延遲執行
[00:00:50.600 --> 00:00:53.160]  即是甚麼意思呢?即是可以暫時不發
[00:00:53.160 --> 00:00:55.160]  我相信這個法官
[00:00:55.160 --> 00:00:57.160]  基督徒也未定
[00:00:57.160 --> 00:00:59.160]  他在當中找了一些方法
[00:00:59.160 --> 00:01:01.160]  可以讓姐妹
[00:01:01.160 --> 00:01:03.160]  能夠暫時不發這個證書
[00:01:03.160 --> 00:01:05.160]  但案件
[00:01:05.160 --> 00:01:07.160]  還未結束
[00:01:07.160 --> 00:01:09.160]  我相信以後
[00:01:09.160 --> 00:01:11.160]  還有很多類似的情況
[00:01:11.160 --> 00:01:13.160]  是會出現的
[00:01:13.160 --> 00:01:15.160]  由於這個事的緣故
[00:01:15.160 --> 00:01:17.160]  我就上網看看
[00:01:17.160 --> 00:01:19.160]  多了解一些細節
[00:01:19.160 --> 00:01:21.160]  Kim Davis被控告的
[00:01:21.160 --> 00:01:23.160]  County Clerk
[00:01:23.160 --> 00:01:25.160]  他在法庭層面
[00:01:25.160 --> 00:01:27.160]  曾經作證
[00:01:27.160 --> 00:01:29.160]  其實我拒絕
[00:01:29.160 --> 00:01:31.160]  簽結婚證書的行動
[00:01:31.160 --> 00:01:33.160]  不是一時的衝動
[00:01:33.160 --> 00:01:35.160]  我是經過禁食、禱告
[00:01:35.160 --> 00:01:37.160]  然後才做了
[00:01:37.160 --> 00:01:39.160]  這個抉擇
[00:01:39.160 --> 00:01:41.160]  因為他認為
[00:01:41.160 --> 00:01:43.160]  他相信根據憲法
[00:01:43.160 --> 00:01:45.160]  他有這個權利可以做這件事
[00:01:45.160 --> 00:01:47.160]  可以維護他自己在憲法上
[00:01:47.160 --> 00:01:49.160]  宣誓就職的時候
[00:01:49.160 --> 00:01:51.160]  的誓言
[00:01:51.160 --> 00:01:53.160]  因為
[00:01:53.160 --> 00:01:55.160]  如果要在證書上簽名
[00:01:55.160 --> 00:01:57.160]  簽名的時候
[00:01:57.160 --> 00:01:59.160]  等於他認同
[00:01:59.160 --> 00:02:01.160]  同性的婚姻
[00:02:01.160 --> 00:02:03.160]  很明顯他覺得是
[00:02:03.160 --> 00:02:05.160]  觸犯了、違背了
[00:02:05.160 --> 00:02:07.160]  他自己的信仰
[00:02:07.160 --> 00:02:09.160]  不知道大家有沒有留意新聞
[00:02:09.160 --> 00:02:11.160]  可能你聽過的
[00:02:11.160 --> 00:02:13.160]  都未必
[00:02:13.160 --> 00:02:15.160]  不過當你聽到的時候
[00:02:15.160 --> 00:02:17.160]  我不知道你心裏
[00:02:17.160 --> 00:02:19.160]  有什麼想法
[00:02:19.160 --> 00:02:21.160]  會不會有人覺得
[00:02:21.160 --> 00:02:23.160]  信耶穌就信耶穌
[00:02:23.160 --> 00:02:25.160]  為什麼這麼認真
