
[00:00:00.000 --> 00:00:02.800]  大家好 我是劉少康牧師
[00:00:02.800 --> 00:00:05.400]  今天想跟大家思想的題目
[00:00:05.400 --> 00:00:09.900]  就是你有沒有期待看見神的作為呢?
[00:00:09.900 --> 00:00:15.300]  我們要讀的經文就是約書亞記第三章1-6
[00:00:15.300 --> 00:00:18.900]  到底今天還有沒有神跡呢?
[00:00:18.900 --> 00:00:21.700]  我不知道你說的神跡是指什麼
[00:00:21.700 --> 00:00:24.400]  是不是跛腳突然間康復
[00:00:24.400 --> 00:00:28.500]  有病的一聲「沙」的癌症就不見了
[00:00:28.500 --> 00:00:31.000]  還是我們所指的神跡
[00:00:31.000 --> 00:00:34.500]  就是神聽穩我們的祈禱
[00:00:34.500 --> 00:00:38.500]  神對我們的生命有一個很大的扭轉
[00:00:38.500 --> 00:00:41.100]  我們整個人改變了
[00:00:41.100 --> 00:00:46.300]  我自己相信神跡仍然今天不斷發生
[00:00:46.300 --> 00:00:50.300]  因為神是一位有作為的神
[00:00:50.300 --> 00:00:53.000]  在約書亞記第三章就記載
[00:00:53.000 --> 00:00:57.900]  他們在等預備過約旦河
[00:00:57.900 --> 00:01:00.400]  首先約書亞吩咐他們
[00:01:00.400 --> 00:01:02.700]  你們要自潔
[00:01:02.700 --> 00:01:04.300]  要潔淨自己
[00:01:04.300 --> 00:01:05.900]  當你們潔淨的時候
[00:01:05.900 --> 00:01:08.100]  你就會看見神的作為
[00:01:08.100 --> 00:01:11.600]  在第一章第五節是這樣說的
[00:01:11.600 --> 00:01:14.200]  約書亞吩咐百姓說
[00:01:14.200 --> 00:01:15.900]  你們要自潔
[00:01:15.900 --> 00:01:23.000]  因為明天耶和華必在你們中間行奇事
[00:01:23.000 --> 00:01:24.400]  多肯定
[00:01:24.400 --> 00:01:28.200]  明天你們就會見到神在我們中間
[00:01:28.200 --> 00:01:31.000]  做一件大奇事
[00:01:31.000 --> 00:01:33.800]  各位你今天有沒有這樣的期待
[00:01:33.800 --> 00:01:35.800]  今天或者明天
[00:01:35.800 --> 00:01:37.600]  或者在很近的將來
[00:01:37.600 --> 00:01:40.300]  神就要在你的生命當中
[00:01:40.300 --> 00:01:43.000]  做一些很奇妙的事
[00:01:43.000 --> 00:01:45.600]  因為神要觸摸我們的生命
[00:01:45.600 --> 00:01:49.000]  神要改變我們整個人
[00:01:49.000 --> 00:01:50.000]  第二
[00:01:50.000 --> 00:01:54.100]  他們要讓約櫃走在前面
[00:01:54.100 --> 00:01:57.200]  當約櫃起行的時候
[00:01:57.200 --> 00:02:01.500]  一大群百姓就跟在後頭
[00:02:01.500 --> 00:02:06.500]  這個象徵神走在你和我的前面
[00:02:06.500 --> 00:02:11.100]  我們需要緊緊跟著神走
[00:02:11.100 --> 00:02:13.000]  今天有很多人很心急
[00:02:13.000 --> 00:02:14.700]  自己做了主意
[00:02:14.700 --> 00:02:18.300]  今天有很多人自己喜歡怎樣就怎樣
[00:02:18.300 --> 00:02:21.100]  我們沒有聽到神的帶領
[00:02:21.100 --> 00:02:23.600]  所以很多時候我們就裝扮
[00:02:23.600 --> 00:02:27.500]  所以很多時候我們就碰到很多問題
[00:02:27.500 --> 00:02:30.800]  如果你想見到神
[00:02:30.800 --> 00:02:33.300]  在我們生命裡面有作為
[00:02:33.300 --> 00:02:35.200]  我們必須要學習
[00:02:35.200 --> 00:02:36.400]  自潔
[00:02:36.400 --> 00:02:37.800]  潔淨自己
[00:02:37.800 --> 00:02:39.300]  離開罪惡
[00:02:39.300 --> 00:02:40.000]  第二
[00:02:40.000 --> 00:02:43.900]  我們認定我們是跟神走的
[00:02:43.900 --> 00:02:45.900]  不是我在這裡帶頭
[00:02:45.900 --> 00:02:48.200]  不是我自己喜歡怎樣就怎樣
[00:02:48.200 --> 00:02:50.700]  不是我自己去作主
[00:02:50.700 --> 00:02:52.000]  這個功課
[00:02:52.000 --> 00:02:54.300]  我們必須要學會
[00:02:54.300 --> 00:02:57.300]  所以我也很想鼓勵在座每一位
[00:02:57.300 --> 00:03:01.600]  希望你的生命是願意見到
[00:03:01.600 --> 00:03:06.200]  神在我的人生當中是有工作的
[00:03:06.200 --> 00:03:08.300]  讓我們願意信服神
[00:03:08.300 --> 00:03:12.800]  讓我們一起都期待神的作為
