
[00:00:00.000 --> 00:00:05.000]  在今日宣導之先 我要有少少介紹
[00:00:05.000 --> 00:00:08.000]  原因是今日我宣導的方式
[00:00:08.000 --> 00:00:11.000]  會跟大家平日聽到的習慣有些不同
[00:00:11.000 --> 00:00:14.000]  因為我會用一種方法
[00:00:14.000 --> 00:00:18.000]  來跟大家理解這段馬可福音
[00:00:18.000 --> 00:00:20.000]  我們很熟悉的經文
[00:00:20.000 --> 00:00:23.000]  因為我會在這段經文裏面
[00:00:23.000 --> 00:00:27.000]  尋找其中這段經文裏面的一個人物
[00:00:27.000 --> 00:00:29.000]  作為一個第一身
[00:00:29.000 --> 00:00:34.000]  好像我們當日去到這個現場
[00:00:34.000 --> 00:00:38.000]  去看著整個見證基督復活的過程
[00:00:38.000 --> 00:00:41.000]  所以一會兒那個不是黃牧師
[00:00:41.000 --> 00:00:42.000]  大家記得
[00:00:42.000 --> 00:00:45.000]  就是在聖經裏面其中一個角色
[00:00:45.000 --> 00:00:48.000]  是誰呢?一會兒大家就會知道
[00:00:48.000 --> 00:00:51.000]  我們希望透過這樣的方法
[00:00:51.000 --> 00:00:55.000]  可以去發現平日我們讀聖經的時候
[00:00:55.000 --> 00:00:57.000]  有些地方我們遺忘了
[00:00:57.000 --> 00:00:59.000]  或者是沒有留意到
[00:00:59.000 --> 00:01:03.000]  使我們可以從一個不同的角度
[00:01:03.000 --> 00:01:05.000]  去理解這段經文
[00:01:05.000 --> 00:01:07.000]  同時也可以去知道
[00:01:07.000 --> 00:01:11.000]  這段經文在寫作的時候
[00:01:11.000 --> 00:01:13.000]  和在當日第一班的人
[00:01:13.000 --> 00:01:15.000]  去讀到這段經文的時候
[00:01:15.000 --> 00:01:18.000]  對他們來說是有什麼意思呢?
[00:01:18.000 --> 00:01:21.000]  而今日當我們再讀再聽的時候
[00:01:21.000 --> 00:01:23.000]  有什麼意思呢?
[00:01:23.000 --> 00:01:27.000]  讓我們先來同心祈禱
[00:01:27.000 --> 00:01:36.000]  聖靈啊!求祢指教我們
[00:01:36.000 --> 00:01:40.000]  讓我們有基督的心懷
[00:01:40.000 --> 00:01:43.000]  有主的眼光
[00:01:43.000 --> 00:01:46.000]  也都讓我們能夠每一個
[00:01:46.000 --> 00:01:49.000]  成為復活基督的見證人
[00:01:49.000 --> 00:01:51.000]  求主指教幫助
[00:01:51.000 --> 00:01:53.000]  禱告職責
[00:01:53.000 --> 00:01:55.000]  我主耶穌基督聖名而求
[00:01:55.000 --> 00:01:57.000]  阿門
[00:01:57.000 --> 00:02:03.000]  各位首先我要自我介紹
[00:02:03.000 --> 00:02:05.000]  我是一位年輕人
[00:02:05.000 --> 00:02:09.000]  大家剛才在經文的第五節裏面
[00:02:09.000 --> 00:02:11.000]  提到我
[00:02:11.000 --> 00:02:15.000]  但其實我並不是在這裏才出現
[00:02:15.000 --> 00:02:17.000]  你們手上有聖經
[00:02:17.000 --> 00:02:19.000]  可以去看看
[00:02:19.000 --> 00:02:23.000]  在《馬可福音》第十四章第五十一節
[00:02:23.000 --> 00:02:26.000]  其實我已經出現過了
[00:02:26.000 --> 00:02:29.000]  不過當大家看中文聖經的時候
[00:02:29.000 --> 00:02:31.000]  你是發現不到的
[00:02:31.000 --> 00:02:34.000]  如果你能夠看到希臘文的聖經
[00:02:34.000 --> 00:02:36.000]  你就知道
[00:02:36.000 --> 00:02:38.000]  其實我在第十四章已經出現了
[00:02:38.000 --> 00:02:43.000]  我一直都在見證著整個的過程
[00:02:43.000 --> 00:02:47.000]  當時我見到出賣耶穌的猶大
[00:02:47.000 --> 00:02:49.000]  他用很親切的態度
[00:02:49.000 --> 00:02:51.000]  來和耶穌打招呼
[00:02:51.000 --> 00:02:53.000]  他還親吻了耶穌一下
[00:02:53.000 --> 00:02:55.000]  誰知在這個時候
[00:02:55.000 --> 00:02:58.000]  祭司長、文士和長老
[00:02:58.000 --> 00:03:00.000]  還有一群人
[00:03:00.000 --> 00:03:02.000]  帶著刀棒
[00:03:02.000 --> 00:03:04.000]  去到耶穌的面前
[00:03:04.000 --> 00:03:07.000]  捉住了耶穌
[00:03:07.000 --> 00:03:09.000]  我見到那個時候
[00:03:09.000 --> 00:03:11.000]  非常非常的緊張
[00:03:11.000 --> 00:03:13.000]  周圍的氣氛
[00:03:13.000 --> 00:03:15.000]  都令人很不安
[00:03:15.000 --> 00:03:17.000]  突然之間
[00:03:17.000 --> 00:03:19.000]  有一個人拿了一把刀出來
[00:03:19.000 --> 00:03:22.000]  向著大祭司的僕人斬了一刀
[00:03:22.000 --> 00:03:25.000]  連他的耳朵都斬了
[00:03:25.000 --> 00:03:29.000]  非常非常的令人害怕
[00:03:29.000 --> 00:03:32.000]  耶穌在這個時候
[00:03:32.000 --> 00:03:34.000]  質問捉住祂的人
[00:03:34.000 --> 00:03:36.000]  問他們為什麼
[00:03:36.000 --> 00:03:38.000]  當祂好像強盜一樣
