
[00:00:00.000 --> 00:00:04.240]  我們讀一節聖經在約瑟雅基第三章第四節
[00:00:04.240 --> 00:00:06.320]  約瑟雅基第三章第四節
[00:00:06.320 --> 00:00:08.720]  這裏說只是你們和約貴相離
[00:00:08.720 --> 00:00:10.360]  要兩兩千軸
[00:00:10.360 --> 00:00:11.600]  不可以與約貴相近
[00:00:11.600 --> 00:00:13.480]  使你們知道所當走的路
[00:00:13.480 --> 00:00:14.880]  最後我們一同來唸
[00:00:14.880 --> 00:00:18.320]  因爲這條路你們向來沒有走過
[00:00:18.320 --> 00:00:20.000]  我們就讀到這裏
[00:00:20.000 --> 00:00:22.560]  上個禮拜天我們在歐蘭多
[00:00:22.560 --> 00:00:26.840]  我們慶祝歐蘭多靈良堂成立二十週年
[00:00:26.840 --> 00:00:30.280]  那真是一個歡喜快樂的日子
[00:00:30.280 --> 00:00:32.800]  我就回想二十年前
[00:00:32.800 --> 00:00:35.120]  這個分堂怎麼開始的呢
[00:00:35.120 --> 00:00:38.040]  1997年6月的時候我們全家
[00:00:38.040 --> 00:00:40.160]  去歐蘭多度假
[00:00:40.160 --> 00:00:44.080]  下了飛機就被一批弟兄姐妹攔截下來
[00:00:44.080 --> 00:00:45.880]  要跟我交通
[00:00:45.880 --> 00:00:49.120]  就在機場一談談了幾個鐘頭
[00:00:49.120 --> 00:00:54.840]  你可以想象我兩個小女兒在那時候臉子臭
[00:00:54.840 --> 00:00:56.840]  然後不只是談完了
[00:00:56.840 --> 00:00:58.480]  開始就帶聚會
[00:00:58.480 --> 00:01:00.560]  一場一場帶
[00:01:00.560 --> 00:01:02.680]  到了禮拜天結束了
[00:01:02.680 --> 00:01:03.840]  他們拉着我的手說
[00:01:03.840 --> 00:01:08.600]  劉牧師這裏非常需要一個生命和分堂在這裏
[00:01:08.600 --> 00:01:10.000]  所以就這樣
[00:01:10.000 --> 00:01:13.040]  我們第一間分堂就產生了
[00:01:13.040 --> 00:01:16.680]  從那一天開始
[00:01:16.680 --> 00:01:21.360]  神就帶領我們走上一條向來沒走過的道路
[00:01:21.360 --> 00:01:22.640]  事實上從那時候開始
[00:01:22.640 --> 00:01:26.640]  神的手也從來沒有停止做新的工作
[00:01:26.640 --> 00:01:31.080]  這二十年間神一直持續帶領我們向前
[00:01:31.080 --> 00:01:36.520]  其實好像我們永遠在走一條新的道路不是嗎
[00:01:36.520 --> 00:01:39.480]  好不容易走上了一條新的道路
[00:01:39.480 --> 00:01:40.920]  向前一看
[00:01:40.920 --> 00:01:45.240]  擺在我面前又是另外一條新的道路
[00:01:45.240 --> 00:01:48.800]  所以今天早上從三方面來分享宣教的新道路
[00:01:48.800 --> 00:01:53.080]  第一個新的道路帶我們進入神的命定
[00:01:53.080 --> 00:01:55.960]  給你們說新的道路帶我們進入神的命定
[00:01:55.960 --> 00:02:03.000]  回想過去二十年每次神帶領我們到一條新的道路的時候
[00:02:03.000 --> 00:02:04.960]  其實我告訴你
[00:02:04.960 --> 00:02:10.320]  神都在帶領我們進入到一個命定的地界裏面
[00:02:10.320 --> 00:02:11.840]  當我們開始走的時候
[00:02:11.840 --> 00:02:15.600]  我們還不清楚爲什麼要這樣走呢
[00:02:15.600 --> 00:02:19.000]  但好像神卻早已經知道
[00:02:19.000 --> 00:02:23.600]  而且他也定義要如此帶領我們呢
[00:02:23.600 --> 00:02:25.600]  就好像耶穌基督的四章二十三句
[00:02:25.600 --> 00:02:26.880]  我非常喜歡這節聖經
[00:02:26.880 --> 00:02:28.080]  我們一同來唸來
[00:02:28.080 --> 00:02:32.600]  因爲耶和華你們的神在你們前面使約旦河的水乾了
[00:02:32.600 --> 00:02:34.080]  等着你們過來
[00:02:34.080 --> 00:02:38.880]  就如耶和華你們的神從前在我們前面使紅海乾了
[00:02:38.880 --> 00:02:41.720]  等着我們過來一樣
[00:02:41.720 --> 00:02:43.480]  這裏說得很清楚
[00:02:43.480 --> 00:02:45.480]  神早就已經預備好了
[00:02:45.480 --> 00:02:49.200]  神說我早在對面等着你們過來
[00:02:49.200 --> 00:02:51.480]  對我們來講是新的道路
