
[00:00:00.000 --> 00:00:02.000]  各位親愛的丁兄姊妹 祝你平安
[00:00:02.000 --> 00:00:09.000]  我在北京服事的時候曾經聽一位老弟兄做見證
[00:00:09.000 --> 00:00:13.000]  他的父親本身就是民國時期非常有名的一位牧師
[00:00:13.000 --> 00:00:18.000]  抗日戰爭時間他正是處在幼年 少年
[00:00:18.000 --> 00:00:20.000]  他們一家生活在北京
[00:00:20.000 --> 00:00:22.000]  一天的晚飯之後
[00:00:22.000 --> 00:00:25.000]  然後他媽媽就問大家你們吃飽了嗎
[00:00:25.000 --> 00:00:26.000]  大家都說吃飽了
[00:00:26.000 --> 00:00:29.000]  他媽媽說這就是我們最後一頓飯了
[00:00:29.000 --> 00:00:31.000]  家裡斷糧了
[00:00:31.000 --> 00:00:33.000]  那大家都很緊張
[00:00:33.000 --> 00:00:36.000]  說下頓吃什麼正在這想的時候呢
[00:00:36.000 --> 00:00:39.000]  門外就敲門聲就響起來了
[00:00:39.000 --> 00:00:43.000]  這是從北京北郊遠郊外那一位弟兄呢
[00:00:43.000 --> 00:00:45.000]  風風火火的來送糧來了
[00:00:45.000 --> 00:00:47.000]  他問是不是來晚了
[00:00:47.000 --> 00:00:49.000]  孩子們是不是餓著了
[00:00:49.000 --> 00:00:50.000]  原來呢
[00:00:50.000 --> 00:00:54.000]  他說他在昨天晚上禱告的時候呢
[00:00:54.000 --> 00:00:58.000]  神就感動他說要給這位牧師送糧食
[00:00:58.000 --> 00:01:01.000]  他就急忙的連夜沒麵
[00:01:01.000 --> 00:01:02.000]  沒了一袋子麵
[00:01:02.000 --> 00:01:05.000]  第二天一大早就是當天一早出發
[00:01:05.000 --> 00:01:07.000]  到了這牧師家呢
[00:01:07.000 --> 00:01:08.000]  就是當天晚上
[00:01:08.000 --> 00:01:11.000]  就是他們吃完最後那頓晚餐的時候呢
[00:01:11.000 --> 00:01:13.000]  就斷糧那個時刻就來了
[00:01:13.000 --> 00:01:16.000]  他走了一天的路
[00:01:16.000 --> 00:01:18.000]  所以這個牧師的他的見證呢
[00:01:18.000 --> 00:01:21.000]  讓我感覺到神的護理非常的奇妙
[00:01:21.000 --> 00:01:25.000]  他好像是一個居間的這個老爸爸
[00:01:25.000 --> 00:01:27.000]  那邊呢有缺乏
[00:01:27.000 --> 00:01:29.000]  就讓這邊呢送糧
[00:01:29.000 --> 00:01:32.000]  而這兩邊呢其實是沒辦法
[00:01:32.000 --> 00:01:35.000]  當時沒有辦法聯繫的
[00:01:35.000 --> 00:01:37.000]  所以呢我就非常的好奇
[00:01:37.000 --> 00:01:40.000]  神的手如何的在我們中間工作
[00:01:40.000 --> 00:01:43.000]  好在呢我一方面研究歷史
[00:01:43.000 --> 00:01:45.000]  一方面就看聖經
[00:01:45.000 --> 00:01:49.000]  歷史當中當然看仔細的去分辨神的工作
[00:01:49.000 --> 00:01:52.000]  而聖經當中呢就更直接的告訴我們
[00:01:52.000 --> 00:01:56.000]  神在歷史當中是如何的工作的
[00:01:56.000 --> 00:01:58.000]  因為我們看到這段經文比較長
[00:01:58.000 --> 00:02:01.000]  是使徒行傳的第十章
[00:02:01.000 --> 00:02:03.000]  它是其實是在聖經當中呢
[00:02:03.000 --> 00:02:07.000]  非常重要的一個事件
[00:02:07.000 --> 00:02:09.000]  以至於呢路加福音
[00:02:09.000 --> 00:02:12.000]  路加呢就要將這個事件不是路加福音
[00:02:12.000 --> 00:02:14.000]  路加要將這個事件呢
[00:02:14.000 --> 00:02:17.000]  在使徒行傳當中重複三次
[00:02:17.000 --> 00:02:20.000]  這一次呢就第十章直接的是看到
[00:02:20.000 --> 00:02:24.000]  就是這個事件的經過的敘述
[00:02:24.000 --> 00:02:27.000]  而第十一章呢和第十五章都是
[00:02:27.000 --> 00:02:30.000]  使徒彼得他重述和引申
[00:02:30.000 --> 00:02:33.000]  向人教會做報告啊等等
[00:02:33.000 --> 00:02:35.000]  向人做見證啊等等
[00:02:35.000 --> 00:02:38.000]  那這件事情說重複三次
[00:02:38.000 --> 00:02:40.000]  其實是表明了他的重要性
[00:02:40.000 --> 00:02:42.000]  而且呢他也讓我們了解到呢
[00:02:42.000 --> 00:02:45.000]  神是運籌為我調度萬有的那位神
[00:02:45.000 --> 00:02:48.000]  他掌管著我們救恩的歷史
[00:02:48.000 --> 00:02:49.000]  並且引導著歷史呢
[00:02:49.000 --> 00:02:52.000]  向著他的目標向前前進的
[00:02:52.000 --> 00:02:54.000]  而這件事情呢讓我們看到
[00:02:54.000 --> 00:02:58.000]  他的計劃的彰顯是他讓人看見異象
[00:02:58.000 --> 00:03:01.000]  並且引導人去思考
[00:03:01.000 --> 00:03:05.000]  從而引導出這個人回應的行動來
[00:03:05.000 --> 00:03:07.000]  而且在這過程裡面呢
[00:03:07.000 --> 00:03:10.000]  人往往會突破自己原有的一些觀念
[00:03:10.000 --> 00:03:12.000]  固有的觀念
[00:03:12.000 --> 00:03:15.000]  他其實是被神勸服啊
[00:03:15.000 --> 00:03:19.000]  接受他的計劃
[00:03:19.000 --> 00:03:22.000]  就是具體在這張裡面讓我們看到
[00:03:22.000 --> 00:03:24.000]  他勸服彼得接受他什麼樣的福音計劃呢
[00:03:24.000 --> 00:03:27.000]  就是要教會在伊魯撒冷
[00:03:27.000 --> 00:03:29.000]  撒瑪利亞猶太泉地呢
[00:03:29.000 --> 00:03:33.000]  並且持傳到地級做他的見證
[00:03:33.000 --> 00:03:37.000]  好像我們今天聽來這個計劃又清楚
[00:03:37.000 --> 00:03:40.000]  又沒有什麼值得抗拒的
[00:03:40.000 --> 00:03:42.000]  很順理成章
[00:03:42.000 --> 00:03:46.000]  但是你要知道當時卻不是這樣
[00:03:46.000 --> 00:03:49.000]  這之前呢路加福音
[00:03:49.000 --> 00:03:50.000]  路加呢就記載
[00:03:50.000 --> 00:03:51.000]  我老說路加福音啊
[00:03:51.000 --> 00:03:54.000]  路加就記載福音呢就出了伊魯撒冷
[00:03:54.000 --> 00:03:55.000]  到了哪裡呢
[00:03:55.000 --> 00:03:58.000]  到了撒瑪利亞
[00:03:58.000 --> 00:04:03.000]  就是首先突破了猶太人和撒瑪利亞人之間的這種隔閡
[00:04:03.000 --> 00:04:07.000]  又藉著非利傳福音給埃及阿波特太監
[00:04:07.000 --> 00:04:13.000]  就開領了一個外邦人歸向主的一個先例對不對
