
[00:00:00.000 --> 00:00:03.500]  很久沒有在教會見到這麼多朋友了
[00:00:03.500 --> 00:00:05.180]  這麼多的人去記憶堂
[00:00:05.180 --> 00:00:08.080]  因爲今天是一個非常特別的日子
[00:00:08.080 --> 00:00:08.460]  所以呢
[00:00:08.460 --> 00:00:09.560]  我們非常歡迎呢
[00:00:09.560 --> 00:00:13.440]  所有新來的朋友和蜜桐來度過聖誕節
[00:00:13.440 --> 00:00:16.200]  今天呢
[00:00:16.200 --> 00:00:21.160]  我來跟大家分享的其實就是因爲大家看我的年齡呢
[00:00:21.160 --> 00:00:22.780]  就知道呢
[00:00:22.780 --> 00:00:26.040]  我是就是生在新中國了
[00:00:26.040 --> 00:00:27.180]  長在紅旗下了
[00:00:27.180 --> 00:00:29.100]  然後改革開放以後讀書了
[00:00:29.100 --> 00:00:31.060]  無神論教育長大了
[00:00:31.060 --> 00:00:32.520]  所以對我信主呢
[00:00:32.520 --> 00:00:34.200]  很多人會很好奇
[00:00:34.200 --> 00:00:36.060]  就是你怎麼會信主呢
[00:00:36.060 --> 00:00:42.360]  的確我也覺得這是一個很可以跟大家分享的故事
[00:00:42.360 --> 00:00:45.760]  我信主的是在25年前
[00:00:45.760 --> 00:00:52.600]  25年前就是1997年12月21號那一天
[00:00:52.600 --> 00:00:54.280]  北京是那天的冬
[00:00:54.280 --> 00:00:56.840]  那年的冬天的非常的冷
[00:00:56.840 --> 00:00:59.440]  我被一個主內的一個朋友啊
[00:00:59.440 --> 00:01:01.440]  帶去北京西客棧
[00:01:01.440 --> 00:01:06.160]  西樓的一個教會租的一個場地
[00:01:06.160 --> 00:01:08.160]  他們是在那裏過聖誕
[00:01:08.160 --> 00:01:09.900]  其實就是一個主熱崇拜
[00:01:09.900 --> 00:01:11.720]  跟今天非常的相似
[00:01:11.720 --> 00:01:14.180]  那那個程序呢
[00:01:14.180 --> 00:01:15.760]  就是按部就班了
[00:01:15.760 --> 00:01:17.200]  有讀經
[00:01:17.200 --> 00:01:18.820]  有唱詩歌
[00:01:18.820 --> 00:01:20.320]  有正道
[00:01:20.320 --> 00:01:21.160]  而且那天呢
[00:01:21.160 --> 00:01:23.000]  有人受洗
[00:01:23.000 --> 00:01:26.080]  我一直的作爲一個好像宗教研究者
[00:01:26.080 --> 00:01:27.120]  作爲一個旁觀者
[00:01:27.120 --> 00:01:29.480]  我就看着一個一步一步一步
[00:01:29.480 --> 00:01:32.200]  也沒有什麼特別的感受
[00:01:32.200 --> 00:01:37.320]  我是覺得我在觀察一個宗教的活動
[00:01:37.320 --> 00:01:38.020]  僅此而已
[00:01:38.020 --> 00:01:41.800]  但是到了一個聖餐的環節呢
[00:01:41.800 --> 00:01:43.600]  我就突然覺得有點不一樣
[00:01:43.600 --> 00:01:44.840]  剛纔呢
[00:01:44.840 --> 00:01:46.600]  對我個人的介紹裏面提到說
[00:01:46.600 --> 00:01:49.560]  因聖餐信主聽到聖餐掰餅的聲音
[00:01:49.560 --> 00:01:51.200]  的確如此
[00:01:51.200 --> 00:01:52.440]  那位老牧師呢
[00:01:52.440 --> 00:01:55.800]  他拿起餅來按照聖餐的儀節呢
[00:01:55.800 --> 00:01:57.600]  他就會讀一段聖經的話
[00:01:57.600 --> 00:01:58.080]  他說
[00:01:58.080 --> 00:02:01.520]  主耶穌被賣的那一頁拿起餅來就掰開說
[00:02:01.520 --> 00:02:04.720]  這是我的身體爲你們捨得你們也當如此行
[00:02:04.720 --> 00:02:06.320]  爲的是紀念我
[00:02:06.320 --> 00:02:08.200]  內地呢
[00:02:08.200 --> 00:02:11.680]  聖餐餅和香港這邊的聖餐不太一樣
[00:02:11.680 --> 00:02:15.680]  內地聖餐餅真是用沒有發酵的面啊
[00:02:15.680 --> 00:02:19.740]  烙了一張薄薄的硬硬脆脆的餅
[00:02:19.740 --> 00:02:25.380]  所以他掰開的時候會有很大聲音傳出來就卡一聲就掰開了
[00:02:25.380 --> 00:02:29.440]  然後我就很莫名其妙的就淚流滿面了
[00:02:29.440 --> 00:02:32.320]  爲什麼如此呢
[00:02:32.320 --> 00:02:37.760]  就是好像我內心當中有個很深的感觸
[00:02:37.760 --> 00:02:41.160]  就是他們所宣稱的這位主呢
[00:02:41.160 --> 00:02:46.140]  的確是兩千年前死在十字架上那一位
[00:02:46.140 --> 00:02:47.440]  但當時我的感受呢
[00:02:47.440 --> 00:02:48.920]  就是他是爲我死的
[00:02:48.920 --> 00:02:50.700]  而且我還不認識他
[00:02:50.700 --> 00:02:52.160]  這種感動呢
[00:02:52.160 --> 00:02:54.160]  就一直讓我在流淚
[00:02:55.760 --> 00:02:56.640]  好
[00:02:56.640 --> 00:02:58.120]  聚會呢
[00:02:58.120 --> 00:03:00.040]  隨之結束
[00:03:00.040 --> 00:03:02.400]  然後我坐公交車回家
[00:03:02.400 --> 00:03:07.840]  那我一直在回想着剛纔那一幕怎麼這麼特別
[00:03:07.840 --> 00:03:09.800]  我從來沒有經歷過
[00:03:09.800 --> 00:03:15.200]  儘管我研究民間宗教的可以說是越宗教無數了
[00:03:15.200 --> 00:03:17.040]  民間宗教在國內有三百多種
[00:03:17.040 --> 00:03:21.320]  我還經常做田野做考察去觀察
[00:03:21.320 --> 00:03:22.120]  那麼這次呢
[00:03:22.120 --> 00:03:25.400]  我也是以一種觀察宗教活動的心態來
[00:03:25.400 --> 00:03:28.560]  去到這個教會了
[00:03:28.560 --> 00:03:30.880]  怎麼感受這麼特別呢
