
[00:00:00.000 --> 00:00:02.000]  菩提師妹 早晨
[00:00:02.000 --> 00:00:04.000]  讓我們再次在聆聽主導以先
[00:00:04.000 --> 00:00:06.000]  我們一起同心低頭禱告
[00:00:06.000 --> 00:00:08.000]  讓我們的身心靈在聖靈的引導之下
[00:00:08.000 --> 00:00:10.000]  去明白主的說話
[00:00:10.000 --> 00:00:14.000]  慈悲的父神 多謝你
[00:00:14.000 --> 00:00:16.000]  多謝你讓我們能夠再次回來
[00:00:16.000 --> 00:00:18.000]  在你的說話的面前去明白
[00:00:18.000 --> 00:00:20.000]  認識
[00:00:20.000 --> 00:00:22.000]  你是怎樣的一位神
[00:00:22.000 --> 00:00:24.000]  也讓我們去藉著
[00:00:24.000 --> 00:00:26.000]  你的愛子耶穌基督
[00:00:26.000 --> 00:00:28.000]  能夠去更加了解
[00:00:28.000 --> 00:00:30.000]  在我們人生的地上
[00:00:30.000 --> 00:00:32.000]  這條路途當中
[00:00:32.000 --> 00:00:34.000]  我們應該怎樣去憑信而活
[00:00:34.000 --> 00:00:38.000]  求你的幫助
[00:00:38.000 --> 00:00:40.000]  讓我們在
[00:00:40.000 --> 00:00:42.000]  經文再次打開的時候
[00:00:42.000 --> 00:00:44.000]  能夠
[00:00:44.000 --> 00:00:46.000]  使我們再次
[00:00:46.000 --> 00:00:48.000]  貼近主你的心堂
[00:00:48.000 --> 00:00:50.000]  我們同心禱告 感恩 奉教
[00:00:50.000 --> 00:00:52.000]  主耶穌得 聖名自求
[00:00:52.000 --> 00:00:54.000]  阿們
[00:00:54.000 --> 00:00:56.000]  在我第一日
[00:00:56.000 --> 00:00:58.000]  信主開始
[00:00:58.000 --> 00:01:00.000]  在教會
[00:01:00.000 --> 00:01:02.000]  持續地去參加
[00:01:02.000 --> 00:01:04.000]  不同的聚會
[00:01:04.000 --> 00:01:06.000]  在不同的聚會裏面
[00:01:06.000 --> 00:01:08.000]  都有很多的牧者
[00:01:08.000 --> 00:01:10.000]  信徒去分享
[00:01:10.000 --> 00:01:12.000]  聖經的內容
[00:01:12.000 --> 00:01:14.000]  我都很雀躍地去
[00:01:14.000 --> 00:01:16.000]  學習 但是
[00:01:16.000 --> 00:01:18.000]  其中一樣東西 我發覺
[00:01:18.000 --> 00:01:20.000]  我在學習的
[00:01:20.000 --> 00:01:22.000]  過程當中 一直都有一個
[00:01:22.000 --> 00:01:24.000]  疑問
[00:01:24.000 --> 00:01:26.000]  我不敢說懷疑
[00:01:26.000 --> 00:01:28.000]  是一個疑問
[00:01:28.000 --> 00:01:30.000]  我經常聽到很多牧者
[00:01:30.000 --> 00:01:32.000]  傳道人 基督徒
[00:01:32.000 --> 00:01:34.000]  經常都講到 耶穌基督的福音
[00:01:34.000 --> 00:01:36.000]  是能夠滿足
[00:01:36.000 --> 00:01:38.000]  人的屬靈需要
[00:01:38.000 --> 00:01:42.000]  這句說話
[00:01:42.000 --> 00:01:44.000]  我聽了很多次
[00:01:44.000 --> 00:01:46.000]  但我有一個很大的問題
[00:01:46.000 --> 00:01:48.000]  究竟是怎樣
[00:01:48.000 --> 00:01:50.000]  滿足人的屬靈需要呢
[00:01:52.000 --> 00:01:54.000]  於是我就很細心
[00:01:54.000 --> 00:01:56.000]  在教會的生活裏面去看
[00:01:56.000 --> 00:01:58.000]  就發現到
[00:01:58.000 --> 00:02:00.000]  他們所謂的屬靈需要
[00:02:00.000 --> 00:02:02.000]  原來是不止屬靈的需要
[00:02:02.000 --> 00:02:04.000]  他們原來發覺
