
[00:00:00.000 --> 00:00:04.000]  今日好想同大家思想個題目叫「等候實」
[00:00:04.000 --> 00:00:09.000]  忙、快
[00:00:09.000 --> 00:00:13.000]  係我哋今日生活嘅寫照
[00:00:13.000 --> 00:00:21.000]  大家可能你會諗
[00:00:21.000 --> 00:00:24.000]  今日周圍嘅人喺你哋身邊
[00:00:24.000 --> 00:00:28.000]  成日都覺得好忙呀,我好忙呀
[00:00:28.000 --> 00:00:31.000]  到底係一個口頭禪呀?
[00:00:31.000 --> 00:00:35.000]  即係話真係我哋好忙呢?
[00:00:35.000 --> 00:00:41.000]  自從手機面世之後呢
[00:00:41.000 --> 00:00:44.000]  我哋好明白呢乜嘢叫忙
[00:00:44.000 --> 00:00:49.000]  特別呢對於嗰啲咩呢
[00:00:49.000 --> 00:00:51.000]  要積福手機嘅人呢
[00:00:51.000 --> 00:00:54.000]  你發覺你時時刻刻都好忙
[00:00:56.000 --> 00:00:59.000]  有時我都發覺好奇怪
[00:00:59.000 --> 00:01:03.000]  睇嗰時候睇返短訊
[00:01:03.000 --> 00:01:06.000]  點解明明個弟姊妹
[00:01:06.000 --> 00:01:08.000]  我見到佢喺崇拜裏面㗎
[00:01:08.000 --> 00:01:11.000]  點解佢會發出一啲訊息呢?
[00:01:11.000 --> 00:01:13.000]  你知道其實我哋都好忙
[00:01:13.000 --> 00:01:15.000]  雖然我哋可能坐喺度
[00:01:15.000 --> 00:01:18.000]  但我哋會揸住我哋嘅手機
[00:01:18.000 --> 00:01:21.000]  好多人喺崇拜裏面都會點呢?
[00:01:21.000 --> 00:01:24.000]  睇吓有邊個send message俾我啦
[00:01:24.000 --> 00:01:27.000]  有啲乜嘢我哋而家要積福啦
[00:01:27.000 --> 00:01:29.000]  我哋真係好忙
[00:01:29.000 --> 00:01:31.000]  大大細細都係咁忙
[00:01:31.000 --> 00:01:33.000]  喺兒童崇拜都係咁忙
[00:01:33.000 --> 00:01:37.000]  我哋喺地鐵裏面
[00:01:37.000 --> 00:01:40.000]  我哋睇見好多人都係咁樣
[00:01:40.000 --> 00:01:45.000]  好忙好忙咁樣面對我哋嘅手機
[00:01:45.000 --> 00:01:51.000]  有人咁樣講話
[00:01:51.000 --> 00:01:55.000]  退咗休之後我就唔會咁忙
[00:01:55.000 --> 00:01:57.000]  但係你發覺
[00:01:57.000 --> 00:01:59.000]  退咗休之後嘅人
[00:01:59.000 --> 00:02:01.000]  唔知點解我仍然咁忙
[00:02:01.000 --> 00:02:03.000]  我哋有時去搵一啲
[00:02:03.000 --> 00:02:05.000]  邊個邊個退咗休
[00:02:05.000 --> 00:02:07.000]  搵佢做啦
[00:02:07.000 --> 00:02:09.000]  佢跟住話唔得呀我好忙
[00:02:09.000 --> 00:02:11.000]  我哋發覺
[00:02:11.000 --> 00:02:16.000]  我哋都活喺呢一個咁忙碌嘅社會裏面
[00:02:18.000 --> 00:02:21.000]  更加你會發覺你明知
[00:02:21.000 --> 00:02:24.000]  地鐵兩分鐘之後已經有一班
[00:02:24.000 --> 00:02:26.000]  但係你睇住地鐵嚟嘅時候
[00:02:26.000 --> 00:02:28.000]  起步就走啦
[00:02:28.000 --> 00:02:30.000]  就去追啦
[00:02:30.000 --> 00:02:32.000]  巴士又係咁樣
[00:02:32.000 --> 00:02:34.000]  我哋都係習慣咗咁樣
[00:02:34.000 --> 00:02:40.000]  特別香港人我哋自己唔覺
