
[00:00:00.000 --> 00:00:02.480]  我們這次的題目叫一擊即中
[00:00:02.480 --> 00:00:06.200]  上次我們看到在以拉谷戰役裡面的第一部份
[00:00:06.200 --> 00:00:07.560]  就是神聖的憤怒
[00:00:07.560 --> 00:00:10.880]  當大衛被爸爸指令要去探哥哥
[00:00:10.880 --> 00:00:15.280]  當他聽到哥利亞去侮辱那幫神的指紋
[00:00:15.280 --> 00:00:17.200]  但是那幫人是在歸宿的
[00:00:17.200 --> 00:00:18.280]  掃羅很失敗
[00:00:18.280 --> 00:00:19.720]  不敢來帶他去應戰
[00:00:19.720 --> 00:00:20.920]  他就很生氣
[00:00:20.920 --> 00:00:22.640]  但是他不只是生氣
[00:00:22.640 --> 00:00:25.520]  他就要出來帶他去打這場仗
[00:00:25.520 --> 00:00:27.720]  但是我們先要看看
[00:00:27.720 --> 00:00:30.800]  記住 人是沒有完美的
[00:00:30.800 --> 00:00:32.400]  雖然神很清楚說
[00:00:32.400 --> 00:00:33.640]  耶和不像人看人
[00:00:33.640 --> 00:00:36.120]  人是看外貌 神是看內心的
[00:00:36.120 --> 00:00:39.880]  但是並不表示這個人是完美無瑕的
[00:00:39.880 --> 00:00:43.440]  世界上根本就沒有一個這樣的完美無瑕的人
[00:00:43.440 --> 00:00:44.680]  除了主耶穌有多少
[00:00:44.680 --> 00:00:47.320]  每一個人都有他的弱點
[00:00:47.320 --> 00:00:48.920]  有他的私心
[00:00:48.920 --> 00:00:50.440]  有不足的地方
[00:00:50.440 --> 00:00:52.920]  正如神揀選雅各的時候
[00:00:52.920 --> 00:00:56.760]  雖然雅各經常為自己的利益去著想
[00:00:56.760 --> 00:00:58.120]  甚至鼓鼓喊喊
[00:00:58.120 --> 00:00:59.920]  但是仍然有一副愛神的心虛神
[00:00:59.920 --> 00:01:01.200]  來揀選他
[00:01:01.200 --> 00:01:04.920]  大衛並不是一個完美無瑕的人
[00:01:04.920 --> 00:01:08.240]  我們不要當是兒童故事去看
[00:01:08.240 --> 00:01:12.880]  他是一個懂得為自己來鋪排利益
