
[00:00:00.000 --> 00:00:08.000]  每年的復活節都是在春天的時候
[00:00:08.000 --> 00:00:13.000]  春天是標誌著萬象更生
[00:00:13.000 --> 00:00:17.000]  是生命的再一次的誕生
[00:00:17.000 --> 00:00:22.000]  在這段時間 花開得很燦爛
[00:00:22.000 --> 00:00:29.000]  在這段時間 是有很多動植物繁殖的時間
[00:00:29.000 --> 00:00:38.000]  就是在這段時間 紀念主耶穌基督的復活
[00:00:38.000 --> 00:00:41.000]  而主耶穌基督的復活
[00:00:41.000 --> 00:00:47.000]  是帶給世上每一個人 有一個新的生命
[00:00:47.000 --> 00:00:57.000]  按照聖經的記載 這是一個復活的生命
[00:00:57.000 --> 00:01:04.000]  就是說這是一個不同的生命
[00:01:04.000 --> 00:01:11.000]  我在復活節和一個浸禮的崇拜裡面
[00:01:11.000 --> 00:01:14.000]  我盼望可以用短短十五分鐘
[00:01:14.000 --> 00:01:18.000]  跟大家去宣講一個短的訊息
[00:01:18.000 --> 00:01:20.000]  復活的生命
[00:01:20.000 --> 00:01:27.000]  這個復活的生命 是帶給我們有兩個的不同
[00:01:27.000 --> 00:01:32.000]  第一 就是身份的不同
[00:01:32.000 --> 00:01:36.000]  第二 是想法的不同
[00:01:36.000 --> 00:01:39.000]  兩個有關係
[00:01:39.000 --> 00:01:47.000]  是因為身份的不同 令到我們的想法有不同
[00:01:47.000 --> 00:01:52.000]  第一個 就是復活的生命
[00:01:52.000 --> 00:01:59.000]  帶給我們在身份上的不同
[00:01:59.000 --> 00:02:07.000]  復活的生命 令到我們有一個不同的身份
[00:02:07.000 --> 00:02:19.000]  哥羅西書第三章或者第二章 是這樣去描述一個基督徒的生命
[00:02:19.000 --> 00:02:30.000]  基督徒的生命 是一個死和生的生命
[00:02:30.000 --> 00:02:35.000]  是一個入死出生
[00:02:35.000 --> 00:02:42.000]  或者是一個先死而後生的生命
[00:02:42.000 --> 00:02:47.000]  我們沒有辦法不講死
[00:02:47.000 --> 00:02:52.000]  但是也不可以不講生
[00:02:52.000 --> 00:02:57.000]  在座我相信有八成九成的弟兄姊妹
[00:02:57.000 --> 00:03:05.000]  你都已經信了耶穌 甚至已經浸了泥或者洗了泥
[00:03:05.000 --> 00:03:11.000]  如果是的話 你知不知道其實我們這個浸泥的生命
[00:03:11.000 --> 00:03:15.000]  是一個不同的生命
