
[00:00:00.000 --> 00:00:11.720]  各位朋友 大家好 我是劉少康牧師
[00:00:11.720 --> 00:00:13.360]  我陪你讀聖經
[00:00:13.360 --> 00:00:15.520]  我來到一個花園裏面
[00:00:15.520 --> 00:00:19.880]  這裏有樹 有草 也有很美麗的花
[00:00:19.880 --> 00:00:24.700]  我們可以在這樣美麗的環境當中讀聖經
[00:00:24.700 --> 00:00:28.480]  實在是神給我們的福氣
[00:00:28.480 --> 00:00:30.340]  在春節的時候
[00:00:30.340 --> 00:00:33.640]  很多人都談起金錢
[00:00:33.640 --> 00:00:36.900]  有時候我們廣東人一見面就說
[00:00:36.900 --> 00:00:39.000]  恭喜發財
[00:00:39.000 --> 00:00:41.780]  發財好像是最重要
[00:00:41.780 --> 00:00:44.820]  是我們人生裏面的一個目標
[00:00:44.820 --> 00:00:46.320]  你要有錢
[00:00:46.320 --> 00:00:49.760]  有錢才能夠辦各樣的事情
[00:00:49.760 --> 00:00:53.120]  沒錢 什麼都談不來
[00:00:53.120 --> 00:00:54.380]  你知道嗎?
[00:00:54.380 --> 00:00:56.720]  在聖經裏面有一個題目
[00:00:56.720 --> 00:00:59.300]  是出現最多次的
[00:00:59.300 --> 00:01:00.580]  原著說
[00:01:00.580 --> 00:01:03.380]  聖經裏面豈不是談到愛嗎?
[00:01:03.380 --> 00:01:05.540]  豈不是談到神嗎?
[00:01:05.540 --> 00:01:07.760]  豈不是談到救恩嗎?
[00:01:07.760 --> 00:01:12.360]  豈不是談到我們得到永恆的生命嗎?
[00:01:12.360 --> 00:01:13.420]  錯了
[00:01:13.420 --> 00:01:16.300]  聖經裏面出現最多的一個題目
[00:01:16.300 --> 00:01:17.980]  你真的猜不到的
[00:01:17.980 --> 00:01:20.980]  僅然間是金錢
[00:01:20.980 --> 00:01:22.660]  談財富
[00:01:22.660 --> 00:01:25.620]  談到我們對錢財的看法
[00:01:25.620 --> 00:01:27.520]  你說不對嗎?
[00:01:27.520 --> 00:01:30.580]  聖經怎麽會用那麽多的篇幅
[00:01:30.580 --> 00:01:32.580]  去談到金錢呢?
[00:01:32.580 --> 00:01:34.300]  我沒騙大家
[00:01:34.300 --> 00:01:37.260]  你只要翻開聖經來看一看
[00:01:37.260 --> 00:01:38.620]  你就會發現
[00:01:38.620 --> 00:01:41.020]  無論是耶穌他自己
[00:01:41.020 --> 00:01:42.100]  保羅
[00:01:42.100 --> 00:01:44.660]  還有舊約裏面的箴言
[00:01:44.660 --> 00:01:46.100]  摩西五經
[00:01:46.100 --> 00:01:48.660]  都有很多段的經文
[00:01:48.660 --> 00:01:53.420]  教導我們怎麽樣去處理錢財
[00:01:53.420 --> 00:01:57.680]  錢財是我們生活很需要的
[00:01:57.680 --> 00:01:58.860]  你沒錢
[00:01:58.860 --> 00:02:01.980]  有人說萬萬不行
[00:02:01.980 --> 00:02:04.260]  有錢才可以
[00:02:04.260 --> 00:02:06.460]  否則我怎麽樣買菜呢?
[00:02:06.460 --> 00:02:08.820]  我怎麽樣買東西吃呢?
[00:02:08.820 --> 00:02:10.900]  房子我要租房子
[00:02:10.900 --> 00:02:12.580]  我要買房子
