
[00:00:00.000 --> 00:00:05.720]  今天我想要做的事情就是搞定第二章
[00:00:05.720 --> 00:00:07.720]  搞定第二章
[00:00:07.720 --> 00:00:10.720]  第二章其實是別人聽了就知道的
[00:00:10.720 --> 00:00:14.720]  不是那麼難的
[00:00:14.720 --> 00:00:16.720]  但是難的地方在哪裡呢?
[00:00:16.720 --> 00:00:20.720]  難的地方是很容易解錯
[00:00:20.720 --> 00:00:24.720]  你看看我將它變成一個天國舞台劇的時候
[00:00:24.720 --> 00:00:26.720]  當你看第二幕的時候
[00:00:26.720 --> 00:00:29.720]  背後的佈景叫做田間
[00:00:29.720 --> 00:00:32.720]  然後題目叫做初詞邂逅
[00:00:32.720 --> 00:00:34.720]  很明顯是我陷害你
[00:00:34.720 --> 00:00:37.720]  或者我被那個故事陷害了
[00:00:37.720 --> 00:00:38.720]  為什麼呢?
[00:00:38.720 --> 00:00:40.720]  因為當我寫初詞邂逅
[00:00:40.720 --> 00:00:43.720]  那你在想我想講什麼故事呢?
[00:00:43.720 --> 00:00:46.720]  就是愛情故事
[00:00:46.720 --> 00:00:49.720]  當然我們講一些很純正的愛情故事
[00:00:49.720 --> 00:00:51.720]  就不是因為他帥
[00:00:51.720 --> 00:00:52.720]  因為他美女那些
[00:00:52.720 --> 00:00:54.720]  而是聲聲相識
[00:00:54.720 --> 00:00:56.720]  兩個都是信奉耶和華
[00:00:56.720 --> 00:01:00.720]  但是都是那一類難得有情人那一類
[00:01:00.720 --> 00:01:03.720]  但是你問真一點
[00:01:03.720 --> 00:01:06.720]  究竟第二章是不是在講這件事呢?
[00:01:06.720 --> 00:01:07.720]  很簡單
[00:01:07.720 --> 00:01:08.720]  不是
[00:01:08.720 --> 00:01:09.720]  OK
[00:01:09.720 --> 00:01:12.720]  如果你要抓到第二章真的要講什麼的時候
[00:01:12.720 --> 00:01:14.720]  你一定要抓住Albert Omega
[00:01:14.720 --> 00:01:18.720]  那個關鍵永遠你要明白
[00:01:18.720 --> 00:01:20.720]  究竟路德的故事在講什麼
[00:01:20.720 --> 00:01:22.720]  要抓住頭抓住尾
[00:01:22.720 --> 00:01:25.720]  整本路德的開始的時候
[00:01:25.720 --> 00:01:28.720]  是因為有一個饑荒
[00:01:28.720 --> 00:01:31.720]  那個饑荒和史詩統治的時候有關係
[00:01:31.720 --> 00:01:34.720]  而最後解決的問題
[00:01:34.720 --> 00:01:36.720]  是君王
[00:01:36.720 --> 00:01:39.720]  史詩秉正時是一個問題
[00:01:39.720 --> 00:01:41.720]  最後賢君之祖
[00:01:41.720 --> 00:01:42.720]  君王的誕生
[00:01:42.720 --> 00:01:45.720]  是最後的解決方法
[00:01:45.720 --> 00:01:49.720]  所以當你去看路德記的時候
[00:01:49.720 --> 00:01:51.720]  一定要記住他有一個背景
[00:01:51.720 --> 00:01:54.720]  這個背景是史詩記
[00:01:54.720 --> 00:01:58.720]  史詩記和路德記
[00:01:58.720 --> 00:01:59.720]  如果你記得
[00:01:59.720 --> 00:02:01.720]  我不斷在提醒你們
[00:02:01.720 --> 00:02:04.720]  神學家相信是寫在
