
[00:00:00.000 --> 00:00:04.040]  我們今天會繼續看《鎮賢書》
[00:00:04.040 --> 00:00:09.120]  《鎮賢書》其實我們已經在講第二段經文
[00:00:09.120 --> 00:00:12.120]  大家記不記得我們上一次講《鎮賢書》的時候
[00:00:12.120 --> 00:00:15.800]  那一節經文是什麼?有沒有印象?
[00:00:15.800 --> 00:00:20.960]  有沒有印象?上一次我們講《鎮賢書》的時候
[00:00:20.960 --> 00:00:24.960]  「你要專心養乃爺和華,不可依靠自己的聰明」
[00:00:24.960 --> 00:00:28.240]  「在你一切所行的事上都要認定他」
[00:00:28.240 --> 00:00:31.560]  「他必指引你的路」有沒有印象?
[00:00:31.560 --> 00:00:35.600]  如果沒有印象不要緊,希望你記下這一節經文
[00:00:35.600 --> 00:00:38.000]  經過十二次《鎮賢書》的講道之後
[00:00:38.000 --> 00:00:43.240]  大概你應該會記到十二句的《鎮賢》經文
[00:00:43.240 --> 00:00:46.920]  我們每一次最多是講兩節
[00:00:46.920 --> 00:00:49.120]  通常都是講一節《鎮賢》
[00:00:49.120 --> 00:00:51.960]  這次我們會學另一句《鎮賢》
[00:00:51.960 --> 00:00:53.920]  或者你一點都不會陌生
[00:00:53.920 --> 00:00:56.520]  因為是來自《四章》第二十三節
[00:00:56.520 --> 00:00:58.280]  我們一起讀一讀這節經文
[00:00:58.280 --> 00:01:01.200]  我們一起讀兩次,請讀
[00:01:01.200 --> 00:01:04.520]  「保守你心,勝過保守一切」
[00:01:04.520 --> 00:01:07.600]  「因為一生的果效是由心發出」
[00:01:07.600 --> 00:01:09.040]  好,再來一次
[00:01:09.040 --> 00:01:13.160]  「你要保守你心,勝過保守一切」
[00:01:13.160 --> 00:01:17.360]  「因為一生的果效是由心發出」
[00:01:17.360 --> 00:01:22.640]  不知道大家有沒有聽過這首歌《保守我心》呢?
[00:01:22.640 --> 00:01:24.960]  這首歌的副歌是這樣唱的
[00:01:24.960 --> 00:01:29.920]  「我要保守你心,勝過保守一切」
[00:01:29.920 --> 00:01:34.600]  「因為一生的果效是由心發出」
[00:01:34.600 --> 00:01:35.760]  有沒有聽過?
[00:01:35.760 --> 00:01:37.880]  這首歌是很多年前
[00:01:37.880 --> 00:01:39.480]  我相信已經講了幾年了
[00:01:39.480 --> 00:01:41.640]  很多年前創作這首歌的時候
[00:01:41.640 --> 00:01:43.960]  是非常多人唱這首歌
[00:01:43.960 --> 00:01:45.800]  亦都是很多人喜歡這首歌
[00:01:45.800 --> 00:01:48.000]  因為這首歌的音樂很好聽
[00:01:48.000 --> 00:01:49.600]  唱起來很好聽
[00:01:49.600 --> 00:01:53.160]  所以很多人都會唱這首歌、聽這首歌
[00:01:53.160 --> 00:01:55.240]  教會的小組、教會的崇拜
[00:01:55.240 --> 00:01:58.640]  都有不少人來唱這首歌
[00:01:58.640 --> 00:02:01.480]  是,這首歌令到很多基督徒感動
[00:02:01.480 --> 00:02:05.280]  這首歌令到很多人流淚
[00:02:05.280 --> 00:02:06.480]  創作這首歌的人
[00:02:06.480 --> 00:02:10.240]  其實是借助了《詩篇》四十二篇的第七節
[00:02:10.240 --> 00:02:11.200]  那裡這樣說
[00:02:11.200 --> 00:02:15.440]  他說:「你的瀑布發聲,深淵與深淵響應」
[00:02:15.440 --> 00:02:19.520]  「你的波浪雄圖,萬過我心」
[00:02:19.520 --> 00:02:21.480]  創作這首歌的人
[00:02:21.480 --> 00:02:27.080]  用了這一節聖經成為了一個很重要的基礎
[00:02:27.080 --> 00:02:30.840]  不過當時香港有一間神學院的教授
[00:02:30.840 --> 00:02:31.920]  我不說名字了
[00:02:31.920 --> 00:02:34.800]  他在臉書的貼文就說
[00:02:34.800 --> 00:02:38.560]  某一次在教會裡聽到這首《保守我心》
[00:02:38.560 --> 00:02:41.680]  就發現神學上似乎出現了一些問題
[00:02:41.680 --> 00:02:44.960]  其中最爭議性的就是聽到這首歌的副歌
[00:02:44.960 --> 00:02:47.200]  你可以看看我們的副歌裡
[00:02:47.200 --> 00:02:49.560]  他說最爭議性的那兩句就是
[00:02:49.560 --> 00:02:55.000]  「直湧到我零深淵與聖靈深淵,不住呼應」
[00:02:55.000 --> 00:02:59.080]  和第二句「永生神厭洪濤,萬過我心」
[00:02:59.080 --> 00:03:02.920]  這兩句話其中的兩隻字是最爭議性的
[00:03:02.920 --> 00:03:05.000]  第一隻字就是「深淵」
[00:03:05.000 --> 00:03:07.000]  第二隻字就是「洪濤」
[00:03:07.000 --> 00:03:10.600]  他說這兩個字眼在猶太人的文學裡
[00:03:10.600 --> 00:03:13.440]  通常都是代表邪惡的象徵
[00:03:13.440 --> 00:03:18.960]  所以他就利用了一些神學的聖經的指導之下
[00:03:18.960 --> 00:03:22.600]  去糾正這首歌好像有些問題
[00:03:22.600 --> 00:03:24.720]  今天我們不是嘗試去評價
[00:03:24.720 --> 00:03:26.400]  到底這首歌有沒有問題
[00:03:26.400 --> 00:03:29.080]  反而我想提出的就是
[00:03:29.080 --> 00:03:34.240]  這首歌的名字和內容
[00:03:34.240 --> 00:03:35.400]  特別是副歌
