
[00:00:00.000 --> 00:00:02.960]  所以今天為大家選擇了一個題目
[00:00:02.960 --> 00:00:07.460]  也是以這次大會作為一個題目
[00:00:07.460 --> 00:00:09.080]  就是「不鬧的愛」
[00:00:09.080 --> 00:00:13.600]  我相信這個「不鬧的愛」是神自己親自告訴我們
[00:00:13.600 --> 00:00:15.200]  這個愛的真實
[00:00:15.200 --> 00:00:17.000]  所以我們求神幫助我們
[00:00:17.000 --> 00:00:20.080]  讓我們能夠活出這份愛
[00:00:20.080 --> 00:00:21.760]  靠著我們自己的能力
[00:00:21.760 --> 00:00:24.520]  我們可能很難做到恆久忍耐
[00:00:24.520 --> 00:00:26.120]  甚至是永不自息
[00:00:26.120 --> 00:00:29.400]  但我深知道當我們願意來避神
[00:00:29.400 --> 00:00:31.800]  使用的時候
[00:00:31.800 --> 00:00:34.720]  神的愛常常激勵我們
[00:00:34.720 --> 00:00:36.240]  所以求主來幫助我們
[00:00:36.240 --> 00:00:39.120]  當我們這次教會報道大會的主題
[00:00:39.120 --> 00:00:41.080]  是「不鬧的愛」的時候
[00:00:41.080 --> 00:00:44.240]  一方面是指著我們神的「不鬧的愛」
[00:00:44.240 --> 00:00:47.360]  但同時也提醒我們作為神的兒女
[00:00:47.360 --> 00:00:49.920]  我們對愛的那種體會
[00:00:49.920 --> 00:00:53.720]  我們不單覺得我們經歷了神給我們的愛
[00:00:53.720 --> 00:00:56.600]  更渴望我們成為一個有愛的人
[00:00:56.600 --> 00:00:59.600]  去關心我們的家人、我們身邊的人
[00:00:59.600 --> 00:01:00.680]  未信主的人
[00:01:00.680 --> 00:01:04.480]  我們盼望他們都能夠得著神自己的這份愛
[00:01:04.480 --> 00:01:06.080]  所以求主來幫助我們
[00:01:06.080 --> 00:01:07.880]  在報道大會當中
[00:01:07.880 --> 00:01:11.320]  我們見到的就是很多愛的片段
[00:01:11.320 --> 00:01:12.600]  每一次當報道大會裡面
[00:01:12.600 --> 00:01:16.280]  我們見到我們弟兄姊妹所關心的家人
[00:01:16.280 --> 00:01:17.760]  參加這次報道大會
[00:01:17.760 --> 00:01:19.520]  而他們願意決志信主
[00:01:19.520 --> 00:01:23.600]  出來願意相信耶穌的時候
[00:01:23.600 --> 00:01:25.600]  我們心裡面都是很感動
[00:01:25.600 --> 00:01:28.200]  所以求主來讓我們繼續努力的
[00:01:28.200 --> 00:01:31.080]  去完成這個這麼寶貴的工作
[00:01:31.080 --> 00:01:34.440]  這個主題亦提醒經文
[00:01:34.440 --> 00:01:39.040]  「愛是恆久忍耐,愛是永不止息」
[00:01:39.040 --> 00:01:42.520]  我想在這個設計裡面提醒我們要忍耐
[00:01:42.520 --> 00:01:45.360]  因為有時候在這個過程裡面不容易
[00:01:45.360 --> 00:01:48.880]  未信主的人也不是那麼容易來認識耶穌
[00:01:48.880 --> 00:01:51.160]  但我們卻是有忍耐的時候
[00:01:51.160 --> 00:01:53.640]  神的恩典仍然在當中
[00:01:53.640 --> 00:01:56.520]  因為過去去年的報道大會
[00:01:56.520 --> 00:01:59.560]  在當中能夠看見很多的親友們
[00:01:59.560 --> 00:02:02.600]  出來接受耶穌基督
[00:02:02.600 --> 00:02:05.480]  不知道中間有沒有你在當中
[00:02:05.480 --> 00:02:07.480]  可能你是去年參加這個報道大會
[00:02:07.480 --> 00:02:09.280]  來相信耶穌的
[00:02:09.280 --> 00:02:10.760]  今天又在我們中間
[00:02:10.760 --> 00:02:14.000]  成為九龍城浸信會的一員
[00:02:14.000 --> 00:02:16.320]  我相信這是一個報道大會當中
[00:02:16.320 --> 00:02:19.440]  常常給我們一份很大的激勵
[00:02:19.440 --> 00:02:21.600]  所以盼望當我們準備來到這個報道大會的時候
