
[00:00:00.000 --> 00:00:02.000]  (主席)各位電影姊妹,早晨
[00:00:02.000 --> 00:00:05.540]  (主席)我們再一次在感恩的季節裏面
[00:00:05.540 --> 00:00:08.200]  (主席)來思考神的話語
[00:00:08.200 --> 00:00:12.980]  (主席)特別是這個《哥羅西書》三章十二到十七節
[00:00:12.980 --> 00:00:16.900]  (主席)我想問問未讀過這段聖經的,舉手我看看
[00:00:16.900 --> 00:00:21.620]  (主席)都讀過的,請你舉手我看看
[00:00:21.620 --> 00:00:26.420]  (主席)大家都有聽緊我講話,感謝主
[00:00:26.420 --> 00:00:29.420]  (主席)大家都很熟的這段聖經
[00:00:29.420 --> 00:00:31.660]  (主席)還有甚麼可以講呢
[00:00:31.660 --> 00:00:35.940]  (主席)其實當我預備講章的時候
[00:00:35.940 --> 00:00:41.300]  (主席)我就發覺其實每一節聖經都可以講一晚的培靈會
[00:00:41.300 --> 00:00:44.220]  (主席)一晚的培靈會只是一個半小時
[00:00:44.220 --> 00:00:47.020]  (主席)有沒有興趣聽一下
[00:00:47.020 --> 00:00:48.380]  (主席)遲下再講吧
[00:00:48.380 --> 00:00:50.500]  (主席)但是因為時間的關係
[00:00:50.500 --> 00:00:54.500]  (主席)所以我們用十二節到十七節這樣講
[00:00:54.500 --> 00:00:55.940]  (主席)基本上是一個溫習
[00:00:55.940 --> 00:00:59.380]  (主席)我就是假設大家都已經讀過這段聖經
[00:00:59.380 --> 00:01:01.220]  (主席)所以我們讀的時候
[00:01:01.220 --> 00:01:02.860]  (主席)好像溫故知新
[00:01:02.860 --> 00:01:06.340]  (主席)來思想怎樣深閉恩感歌頌神
[00:01:06.340 --> 00:01:07.340]  (主席)好嗎
[00:01:07.340 --> 00:01:09.340]  (主席)讓我們一起低頭祈禱
[00:01:09.340 --> 00:01:11.220]  (主席)天父上帝再一次多謝你
[00:01:11.220 --> 00:01:14.980]  (主席)讓我們能夠有生命氣息
[00:01:14.980 --> 00:01:17.340]  (主席)奉主的名聚集在一起
[00:01:17.340 --> 00:01:19.060]  (主席)聽神的話語
[00:01:19.060 --> 00:01:22.220]  (主席)求聖靈真正親自幫助我們
[00:01:22.220 --> 00:01:23.860]  (主席)做我們的老師
[00:01:23.860 --> 00:01:25.860]  (主席)讓講的講得清楚
[00:01:25.860 --> 00:01:27.820]  (主席)聽的能夠明白
[00:01:27.820 --> 00:01:29.460]  (主席)遵從神的旨意
[00:01:29.460 --> 00:01:31.460]  (主席)榮耀祢的聖名
[00:01:31.460 --> 00:01:33.460]  (主席)奉耶穌基督的名祈禱
[00:01:33.460 --> 00:01:35.460]  (主席)阿們
[00:01:57.820 --> 00:01:59.820]  (主席)我們心今天在這個時刻
[00:01:59.820 --> 00:02:01.820]  (主席)有哪一句說話
[00:02:01.820 --> 00:02:03.820]  (主席)十二節到十七節
[00:02:03.820 --> 00:02:05.820]  (主席)哪一句說話
[00:02:05.820 --> 00:02:10.820]  (主席)告訴你神是一位怎樣的神
[00:02:10.820 --> 00:02:12.820]  (主席)不用寫多
[00:02:12.820 --> 00:02:15.820]  (主席)就在這十二到十七節裏
[00:02:15.820 --> 00:02:17.820]  (主席)哪一句話
[00:02:17.820 --> 00:02:19.820]  (主席)讓你看見
[00:02:19.820 --> 00:02:21.820]  (主席)神是一位怎樣的神
[00:02:21.820 --> 00:02:23.820]  (主席)然後呢
[00:02:23.820 --> 00:02:25.820]  (主席)這句話提醒了你
[00:02:25.820 --> 00:02:27.820]  (主席)目前的處境
[00:02:27.820 --> 00:02:29.820]  (主席)是怎樣的處境
[00:02:29.820 --> 00:02:31.820]  (主席)或者你在找工作
[00:02:31.820 --> 00:02:34.820]  (主席)或者明天要看醫生報告
[00:02:34.820 --> 00:02:37.820]  (主席)或者明天約了人去飲茶
