
[00:00:00.000 --> 00:00:01.620]  時間過得很快
[00:00:01.620 --> 00:00:03.580]  我其實都很感恩
[00:00:03.580 --> 00:00:07.240]  我都看見上帝在大家的中間
[00:00:07.240 --> 00:00:09.780]  我自己也都在教會裏面
[00:00:09.780 --> 00:00:12.620]  今年達到第十八年
[00:00:12.620 --> 00:00:15.120]  就是上帝的恩典
[00:00:15.120 --> 00:00:18.680]  今天也都感恩上帝的說話
[00:00:18.680 --> 00:00:21.720]  與我們一起去學習
[00:00:21.720 --> 00:00:25.280]  而我今天跟大家分享這個題目
[00:00:25.280 --> 00:00:28.900]  是關於「敬拜上帝」的
[00:00:30.000 --> 00:00:31.280]  題目就是
[00:00:31.280 --> 00:00:33.440]  大家看螢光幕都看見了
[00:00:33.440 --> 00:00:36.680]  就是獻上清香的敬拜
[00:00:36.680 --> 00:00:39.480]  我自己服侍的教會
[00:00:39.480 --> 00:00:41.740]  黎明山環 朕信會
[00:00:41.740 --> 00:00:43.680]  其中一個的核心價值
[00:00:43.680 --> 00:00:45.600]  我們有五個
[00:00:45.600 --> 00:00:50.240]  其中一個就是正直 敬畏
[00:00:50.240 --> 00:00:51.720]  尊崇與榮耀
[00:00:51.720 --> 00:00:55.100]  都是集中在敬拜的方面
[00:00:55.100 --> 00:00:57.600]  因為我們看見敬拜
[00:00:57.600 --> 00:01:01.600]  是基督徒生命中很重要的一環
[00:01:01.600 --> 00:01:04.320]  我相信這一點你和我都同意
[00:01:04.320 --> 00:01:06.880]  如果不是你都不會在每個禮拜
[00:01:06.880 --> 00:01:09.320]  無論在實體 或者在網上
[00:01:09.320 --> 00:01:11.760]  我們在同一年度去敬拜
[00:01:11.760 --> 00:01:13.800]  回到今天這個主題
[00:01:13.800 --> 00:01:17.080]  獻上清香的敬拜
[00:01:17.080 --> 00:01:22.720]  經文 剛才主席和我們讀了這篇經文
[00:01:22.720 --> 00:01:28.400]  或者再和雅吉尼讀一次 慢一點的來讀
[00:01:28.400 --> 00:01:30.720]  大家再看看裡面的內容
[00:01:30.720 --> 00:01:32.560]  雖然都很熟悉
[00:01:32.560 --> 00:01:36.640]  《約福音》12章1到8節
[00:01:36.640 --> 00:01:40.120]  月節前六日 耶穌就來到伯大利
[00:01:40.120 --> 00:01:43.800]  就是祂叫拉撒路從死去復活之處
