
[00:00:00.000 --> 00:00:03.480]  在禮堂內有八個大字
[00:00:03.480 --> 00:00:06.800]  「聖靈更新 活出照明」
[00:00:06.800 --> 00:00:10.240]  教會一同尋求聖靈更新我們的生命
[00:00:10.240 --> 00:00:15.760]  以致我們向著神呼召我們成為那個人
[00:00:15.760 --> 00:00:18.280]  我們去成為那個人
[00:00:18.280 --> 00:00:20.320]  不只是做些甚麼事
[00:00:20.320 --> 00:00:22.960]  而是我們成為一個怎樣的人
[00:00:22.960 --> 00:00:24.800]  體貼上帝的心意
[00:00:24.800 --> 00:00:28.720]  當我們願意將自己擺在信靠區的時候
[00:00:28.720 --> 00:00:31.560]  神能夠使用我們在工作崗位
[00:00:31.560 --> 00:00:32.760]  在家庭崗位
[00:00:32.760 --> 00:00:34.240]  在社區裏面
[00:00:34.240 --> 00:00:36.240]  去成為別人的祝福
[00:00:36.240 --> 00:00:40.040]  這是我們可以心存的盼望
[00:00:40.040 --> 00:00:42.440]  以及我們可以抓緊的應許
[00:00:42.440 --> 00:00:44.720]  多謝姊妹跟我們分享見證
[00:00:44.720 --> 00:00:47.120]  讓我們更加深去體會
[00:00:47.120 --> 00:00:49.360]  我們要靠著恩典
[00:00:49.360 --> 00:00:51.800]  鼓起勇氣去堅守著的道
[00:00:51.800 --> 00:00:52.680]  亦都存著這樣的心
[00:00:52.680 --> 00:00:55.440]  我們一起祈禱預備領受主的懷疑
[00:00:59.720 --> 00:01:01.760]  愛我們的天父上帝
[00:01:01.760 --> 00:01:04.760]  祢是獨一的真神
[00:01:04.760 --> 00:01:07.600]  祢是又真又活
[00:01:07.600 --> 00:01:08.760]  祢是藉著耶穌基督
[00:01:08.760 --> 00:01:11.760]  去向我們顯明自己的父上帝
[00:01:11.760 --> 00:01:13.320]  是藉著聖靈
[00:01:13.320 --> 00:01:15.000]  去將主的道理
[00:01:15.000 --> 00:01:16.520]  和主的同行
[00:01:16.520 --> 00:01:20.440]  繼續帶進我們每一天的生活裏面的主
[00:01:20.440 --> 00:01:22.600]  我們感謝祢
[00:01:22.600 --> 00:01:25.360]  我們原不配領受恩典
[00:01:25.360 --> 00:01:26.800]  本來是可以的
[00:01:26.800 --> 00:01:29.280]  但是祢透過耶穌
[00:01:29.280 --> 00:01:31.320]  讓我們能夠與祢和好
[00:01:31.320 --> 00:01:33.320]  成為祢的兒女
