
[00:00:00.000 --> 00:00:06.000]  好 我們今天的題目解釋一下 直線跟曲線
[00:00:06.000 --> 00:00:11.300]  我們都知道 直線是節省時間的
[00:00:11.300 --> 00:00:15.800]  農曆年 我第一次年初一 我們全家
[00:00:15.800 --> 00:00:17.900]  也不是完整的全家
[00:00:17.900 --> 00:00:21.700]  夫妻周師母跟我還有一個孩子
[00:00:21.700 --> 00:00:26.000]  我們去廣州年初一
[00:00:26.000 --> 00:00:27.800]  教會有人說 哎呀
[00:00:27.800 --> 00:00:29.800]  年初一會不會很麻煩啊
[00:00:29.800 --> 00:00:33.800]  各方面 我說體驗一下
[00:00:33.800 --> 00:00:35.700]  結果很順利
[00:00:35.700 --> 00:00:40.200]  坐高鐵直線很快就到了
[00:00:40.200 --> 00:00:45.100]  如果倒車轉就是曲線的
[00:00:45.100 --> 00:00:48.700]  今天我們會看石頭形傳十二章
[00:00:48.700 --> 00:00:50.400]  十二章是一個完整的
[00:00:50.400 --> 00:00:54.100]  一個小段的一個事蹟一個故事
[00:00:54.100 --> 00:00:57.000]  那我們會把焦點就放在十二章裡面
[00:00:57.000 --> 00:00:58.400]  作者寫的時候
[00:00:58.400 --> 00:01:01.700]  那個關鍵的人就是彼得
[00:01:01.700 --> 00:01:02.600]  彼得
[00:01:02.600 --> 00:01:06.700]  那在這個十二章裡面
[00:01:06.700 --> 00:01:08.400]  聖經可以有很多角度
[00:01:08.400 --> 00:01:10.600]  很多元素在裡面
[00:01:10.600 --> 00:01:14.700]  我們就把一個角度把它擴大來看
[00:01:14.700 --> 00:01:19.600]  就是彼得他得到拯救
[00:01:19.600 --> 00:01:22.900]  那這個拯救不是救恩的拯救
[00:01:22.900 --> 00:01:25.200]  用英文講的話是rescue
[00:01:25.200 --> 00:01:29.800]  就是拯救
[00:01:29.800 --> 00:01:31.100]  中國就是拯救
[00:01:31.100 --> 00:01:33.800]  但不是salvation的拯救
[00:01:33.800 --> 00:01:37.000]  就是活命
[00:01:37.000 --> 00:01:39.500]  命活了的拯救
[00:01:39.500 --> 00:01:42.200]  但是這一章它有結論
[00:01:42.200 --> 00:01:45.200]  這一章的結論是最後那兩節
[00:01:45.200 --> 00:01:48.800]  所以這兩節跟上面整個故事
[00:01:48.800 --> 00:01:50.500]  好像是沒有關係的
[00:01:50.500 --> 00:01:52.000]  但是它卻有這個結論
[00:01:52.000 --> 00:01:54.700]  所以我們也不要忘了這個結論
[00:01:54.700 --> 00:01:56.600]  那我們先看第一節
[00:01:56.600 --> 00:01:58.300]  十二章的第一節
[00:01:58.300 --> 00:02:03.600]  大家可以看到嗎
[00:02:03.600 --> 00:02:05.200]  第一節就是幾個字
[00:02:05.200 --> 00:02:06.900]  我們一起來念
[00:02:06.900 --> 00:02:17.000]  那時西律王下手苦害教會中幾個人
[00:02:17.000 --> 00:02:18.000]  你們很熱心啊
[00:02:18.000 --> 00:02:22.300]  第二節也念了
[00:02:22.300 --> 00:02:26.000]  第三節猶太人喜歡這事
[00:02:26.000 --> 00:02:27.400]  讀下去就太長了
[00:02:27.400 --> 00:02:31.700]  就第一節作者交代了一個時間
[00:02:31.700 --> 00:02:33.500]  什麼時候
[00:02:33.500 --> 00:02:39.000]  看聖經 看記載事情的經文
[00:02:39.000 --> 00:02:42.800]  世紀就有這樣的情況
[00:02:42.800 --> 00:02:44.700]  那是以後
[00:02:44.700 --> 00:02:46.600]  講了一件事情以後
[00:02:46.600 --> 00:02:47.800]  那是以後
[00:02:47.800 --> 00:02:50.100]  下面又講另外一件事情
