
[00:00:00.000 --> 00:00:06.580]  很開心能夠有機會跟大家一起分享神的話
[00:00:06.580 --> 00:00:13.380]  今天這個主題是有些特別,是一位蒙福的妓女
[00:00:13.380 --> 00:00:22.420]  聖經是一本很奇妙的書,我越看越覺得它奇妙
[00:00:22.420 --> 00:00:25.300]  它是上帝對我們講的話
[00:00:25.300 --> 00:00:31.840]  上帝很有創意,他用不同的方式來表達他的心意
[00:00:31.840 --> 00:00:36.040]  所以聖經裡面有詩信,上帝寫給我們的信
[00:00:36.040 --> 00:00:42.240]  比如保羅詩信,又有詩詞,詩篇,很多美麗的詩詞
[00:00:42.240 --> 00:00:47.460]  大家都讀過詩篇,二十三篇耶和華聖堂的牧者
[00:00:47.460 --> 00:00:50.900]  九十篇摩西的事,我們講到都講過
[00:00:50.900 --> 00:00:59.540]  又有歷史戰記,又有預言講出將來會發生的事
[00:00:59.540 --> 00:01:03.420]  又有其他很多很真實很精彩的故事
[00:01:03.420 --> 00:01:08.000]  比如如果你喜歡看武俠小說
[00:01:08.000 --> 00:01:13.060]  你又會很喜歡看詩詩記的參宣的故事
[00:01:13.060 --> 00:01:18.180]  如果你喜歡看愛情小說
[00:01:18.180 --> 00:01:26.420]  又會很喜歡看路德和波阿斯的田園裡面的邂逅
[00:01:26.420 --> 00:01:29.960]  如果你喜歡看間諜小說,你就來到這裡
[00:01:29.960 --> 00:01:36.440]  這個間諜小說更精彩過《零零七》,而且是真正的故事
[00:01:36.440 --> 00:01:42.940]  今天我們要看間諜小說的主角
[00:01:42.940 --> 00:01:49.340]  就是娜俠,娜俠是一個妓女,一個風塵女子
[00:01:49.340 --> 00:01:54.780]  但她有很多值得我們去學習效法的地方
[00:01:54.780 --> 00:01:59.040]  在今天的經文裡面,我們要看一下她的信心
[00:01:59.040 --> 00:02:01.400]  怎樣為她帶來祝福
[00:02:01.400 --> 00:02:05.620]  你的信心都同樣可以為你帶來祝福
[00:02:05.620 --> 00:02:08.280]  你有沒有好好地用你的信心呢?
[00:02:08.280 --> 00:02:14.000]  上帝賜給你的信心,賜給你的英許是很豐富的
[00:02:14.000 --> 00:02:19.280]  娜俠就用到了,以致她得到了很大的祝福
[00:02:19.280 --> 00:02:22.360]  你有沒有用到呢?今天我們要講這個
[00:02:22.360 --> 00:02:27.160]  我們首先重溫歷史背景
[00:02:27.160 --> 00:02:32.960]  在摩西帶領以色列人出埃及,那條紅色的線從埃及出來
[00:02:32.960 --> 00:02:39.720]  走了大約兩年,就到了迦南地的南邊
[00:02:39.720 --> 00:02:43.200]  他差派了12個探子進去
[00:02:43.200 --> 00:02:47.560]  回來有10個有負面的報告
[00:02:47.560 --> 00:02:52.160]  以致以色列人腳都震懷,還要殺了摩西
[00:02:52.160 --> 00:02:57.680]  結果上帝懲罰他們在曠野漂流40年
[00:02:57.680 --> 00:03:03.240]  不過上帝也有恩典,在40年裏面,上帝把他們練成了敬女
[00:03:03.240 --> 00:03:07.640]  比美國的海豹部隊更重要
[00:03:07.640 --> 00:03:15.840]  然後摩西死了,約書亞就受命帶領以色列人進入迦南地
[00:03:15.840 --> 00:03:22.960]  這次他就去到北邊,接近耶路撒冷那邊的地方
[00:03:22.960 --> 00:03:29.440]  在那裏他就差派了兩個探子進去
[00:03:29.440 --> 00:03:34.320]  來窺探耶利哥城
[00:03:34.320 --> 00:03:39.960]  我們回顧過去3000年的歷史
[00:03:39.960 --> 00:03:43.000]  當你到約書亞的第二章的時候
[00:03:43.000 --> 00:03:46.600]  你的腦海可能出現一個好現象,一個問題
[00:03:46.600 --> 00:03:52.480]  這個問題就是記載在第十節那裏
[00:03:52.480 --> 00:03:56.280]  因為我們聽見你從埃及出來的時候
[00:03:56.280 --> 00:04:00.680]  耶和華怎樣使洪海的水在你們面前降臨
[00:04:00.680 --> 00:04:06.640]  以及你們怎樣對待約旦河東和阿摩利人的兩個王
[00:04:06.640 --> 00:04:11.000]  西魂和惡,將他們完全消滅
[00:04:11.000 --> 00:04:14.840]  很多人就問我,為什麼上帝這麼惡呢?
[00:04:14.840 --> 00:04:17.640]  要殺盡迦南地的人呢?
[00:04:17.640 --> 00:04:23.520]  這是一個很常問的聖經難題,也卡住很多人
[00:04:23.520 --> 00:04:25.600]  今天我們先解決這個難題
[00:04:25.600 --> 00:04:27.520]  為什麼上帝要殺盡他們?
[00:04:27.520 --> 00:04:31.800]  其實上帝在生命記已經對摩西講得很清楚
[00:04:31.800 --> 00:04:35.480]  只要照約耶和華,你的神吩咐你的
[00:04:35.480 --> 00:04:39.560]  白黑人、阿摩利人、迦南人、比利西人
[00:04:39.560 --> 00:04:43.480]  希末人、耶布斯人,完全滅絕
[00:04:43.480 --> 00:04:47.080]  這樣是不是殘忍一點?為什麼要這樣做?
[00:04:47.080 --> 00:04:49.840]  我鼓勵大家讀聖經的時候
[00:04:49.840 --> 00:04:53.840]  有一樣東西應該做,就是問自己一個問題
[00:04:53.840 --> 00:05:00.000]  這段聖經講給我聽,有關上帝的什麼?
[00:05:00.000 --> 00:05:04.560]  這段聖經是怎樣幫助我明白我的上帝
[00:05:04.560 --> 00:05:10.720]  知道他的屬性,上帝的屬性是什麼?
[00:05:10.720 --> 00:05:13.400]  在我們剛才讀這段聖經裡面
[00:05:13.400 --> 00:05:17.600]  我們就會更深的認識到上帝
[00:05:17.600 --> 00:05:22.640]  和了解他做事的原則
[00:05:22.640 --> 00:05:24.120]  這是非常重要的
[00:05:24.120 --> 00:05:30.920]  這段聖經講給我們聽,上帝的屬性有三個三點
[00:05:30.920 --> 00:05:33.680]  第一,就是上帝的主權,Sovereignty
[00:05:33.680 --> 00:05:38.320]  就是他有權做事的
