
[00:00:00.000 --> 00:00:04.000]  英文是出自《耳塞艾書》第24章
[00:00:04.000 --> 00:00:07.000]  講題叫《有什麼好怕》
[00:00:07.000 --> 00:00:10.000]  其實每個人都有些東西懼怕
[00:00:10.000 --> 00:00:14.000]  不知大家你怕什麼呢?
[00:00:14.000 --> 00:00:16.000]  是不是怕蟑螂?
[00:00:16.000 --> 00:00:19.000]  可能怕小昆蟲、蜘蛛那些
[00:00:19.000 --> 00:00:24.000]  或者讀書的學生就怕考試未溫好書
[00:00:24.000 --> 00:00:26.000]  臨到考試未溫好書所以很怕
[00:00:26.000 --> 00:00:30.000]  打工就怕老闆罵
[00:00:30.000 --> 00:00:34.000]  可能弟兄就怕老婆煩
[00:00:34.000 --> 00:00:37.000]  每個人都有些不同的東西怕
[00:00:37.000 --> 00:00:41.000]  這些是剛才講到個人害怕的事
[00:00:41.000 --> 00:00:46.000]  其實近期香港社會有沒有些集體恐懼呢?
[00:00:46.000 --> 00:00:50.000]  大家見到就想起甲型流感
[00:00:50.000 --> 00:00:54.000]  其實現在已經過了流感高峰期
[00:00:54.000 --> 00:00:57.000]  但早前甲型流感都相當嚴重
[00:00:57.000 --> 00:00:59.000]  所以我們阿灣娜小朋友
[00:00:59.000 --> 00:01:02.000]  差不多每一個營隊都有人請假、中招
[00:01:02.000 --> 00:01:04.000]  又要吃拌飯
[00:01:04.000 --> 00:01:08.000]  甚至導師當中都有人染上甲型流感
[00:01:08.000 --> 00:01:10.000]  真的很嚴重
[00:01:10.000 --> 00:01:11.000]  那時都很怕
[00:01:11.000 --> 00:01:14.000]  近期有什麼疫症很怕?
[00:01:14.000 --> 00:01:17.000]  麻疹
[00:01:17.000 --> 00:01:19.000]  4月5號的消息就說
[00:01:19.000 --> 00:01:22.000]  現時本港麻疹宗數已經累積到54宗
[00:01:22.000 --> 00:01:25.000]  創下11年來的新高
[00:01:25.000 --> 00:01:28.000]  當中更加有2個是醫護人員
[00:01:28.000 --> 00:01:30.000]  所以麻疹疫苗都很搶手
[00:01:30.000 --> 00:01:32.000]  大家要檢查一下自己
[00:01:32.000 --> 00:01:36.000]  以前有沒有打過麻疹預防疫苗
[00:01:36.000 --> 00:01:39.000]  如果沒有就要去旅行前打
[00:01:39.000 --> 00:01:42.000]  機場就像重災區一樣
[00:01:42.000 --> 00:01:45.000]  經常都會很容易染上
[00:01:45.000 --> 00:01:49.000]  還有近期有交通意外
[00:01:49.000 --> 00:01:52.000]  大家認不認得是什麼事呢?
[00:01:52.000 --> 00:01:57.000]  3月18號港鐵列車廂撞意外
[00:01:57.000 --> 00:02:00.000]  大家看到畫面都很震撼
[00:02:00.000 --> 00:02:03.000]  如果車廂當時充滿了乘客
[00:02:03.000 --> 00:02:06.000]  後果不堪設想
[00:02:06.000 --> 00:02:08.000]  令人很擔心
[00:02:08.000 --> 00:02:11.000]  乘搭港鐵是否安全呢?
[00:02:11.000 --> 00:02:13.000]  尤其是我們有些電影節目
[00:02:13.000 --> 00:02:15.000]  每一天都要乘搭港鐵上班
[00:02:15.000 --> 00:02:19.000]  令人有點擔心
[00:02:19.000 --> 00:02:23.000]  這就是香港近期社會的一些集體恐懼
[00:02:23.000 --> 00:02:25.000]  舉一些例子
[00:02:25.000 --> 00:02:29.000]  香港的教會有沒有一些集體恐懼呢?
[00:02:29.000 --> 00:02:31.000]  當然作為教會我們擔心
[00:02:31.000 --> 00:02:34.000]  宗教自由會否受到威脅呢?
[00:02:34.000 --> 00:02:38.000]  尤其是面對內地拆十字架的事情
[00:02:38.000 --> 00:02:40.000]  一直蔓延下去
[00:02:40.000 --> 00:02:43.000]  甚至有傳道人被捉拿
[00:02:43.000 --> 00:02:46.000]  有信徒被迫害
[00:02:46.000 --> 00:02:50.000]  所以這些都是我們很關注的事情
[00:02:50.000 --> 00:02:52.000]  世界呢?
[00:02:52.000 --> 00:02:58.000]  整個世界有沒有一些集體恐懼、懼怕的事情呢?
[00:02:58.000 --> 00:03:01.000]  當然就是恐怖襲擊
[00:03:01.000 --> 00:03:05.000]  遠一點的在2001年9月11號
[00:03:05.000 --> 00:03:09.000]  美國的世貿中心被恐怖襲擊
[00:03:09.000 --> 00:03:12.000]  兩座很高的大廈都倒塌了
[00:03:12.000 --> 00:03:14.000]  近期一點就是3月15號
