
[00:00:00.000 --> 00:00:03.140]  感謝主和大家一起來分享這篇的信息
[00:00:03.140 --> 00:00:05.060]  其實你如果參加我們的陳導
[00:00:05.060 --> 00:00:08.040]  這篇信息我們已經很詳細的分解過一次
[00:00:08.040 --> 00:00:09.220]  但是溫故知新
[00:00:09.220 --> 00:00:12.700]  讓我們帶着謙卑的心一起領受神的話
[00:00:12.700 --> 00:00:15.260]  這幾張海報大家知道是什麼嗎
[00:00:15.260 --> 00:00:17.460]  喂 title已經出來了
[00:00:17.460 --> 00:00:19.460]  這是在1934年
[00:00:19.460 --> 00:00:22.620]  早在1934年那個時候還是國民政府
[00:00:22.620 --> 00:00:24.620]  那我們的蔣總統呢
[00:00:24.620 --> 00:00:27.940]  覺得說我們世風日下 人心不古
[00:00:27.940 --> 00:00:30.380]  國民素質有點卑劣
[00:00:30.380 --> 00:00:35.780]  所以呢 他開始了一場叫做所謂的新生活運動
[00:00:35.780 --> 00:00:38.100]  我揭曉了一些的海報
[00:00:38.100 --> 00:00:40.980]  就是你要講文明 你要衛生
[00:00:40.980 --> 00:00:45.340]  你不要插隊 你不要隨地吐痰等等等等
[00:00:45.340 --> 00:00:49.020]  列出了很多的所謂的新生活的規則
[00:00:49.020 --> 00:00:52.100]  新生活的次序和標準
[00:00:52.100 --> 00:00:58.340]  長話短說 這場運動就無疾而終了
[00:00:58.340 --> 00:01:00.740]  基本上是以失敗而告終了
[00:01:00.740 --> 00:01:04.020]  爲什麼這場運動會失敗呢
[00:01:04.020 --> 00:01:06.620]  我在預備的時候問了一下DeepSick
[00:01:06.620 --> 00:01:08.660]  然後又問了一下ChatGPT
[00:01:08.660 --> 00:01:12.100]  綜合他們兩大人工智能的意見
[00:01:12.100 --> 00:01:13.820]  那我總結了一下
[00:01:13.820 --> 00:01:19.340]  他們說新生活運動失敗源於形式官僚化
[00:01:19.340 --> 00:01:22.340]  脫離了羣衆基礎這是第一點
[00:01:22.340 --> 00:01:25.180]  這個東西就是從上往下要求的
[00:01:25.180 --> 00:01:28.060]  老百姓心裏根本就不這麼認同
[00:01:28.060 --> 00:01:30.020]  所以呢 缺乏羣衆基礎
[00:01:30.020 --> 00:01:31.980]  第二 很重要的一個原因
[00:01:31.980 --> 00:01:36.140]  資金短缺 預算不夠
[00:01:36.140 --> 00:01:38.580]  預算不到位 錢沒給到位
