
[00:00:00.000 --> 00:00:05.000]  很感恩有這個福分在主的殿當中
[00:00:05.000 --> 00:00:10.000]  第一次會面前去宣講上主的話語
[00:00:10.000 --> 00:00:12.000]  原我口中的言語
[00:00:12.000 --> 00:00:17.000]  第一次會心中的意念都被上主所閱覽
[00:00:17.000 --> 00:00:20.000]  西方的教會逐漸失去生命力
[00:00:20.000 --> 00:00:22.000]  人數不斷減少
[00:00:22.000 --> 00:00:28.000]  其實已經是一個好像不需要爭論的一個事實
[00:00:28.000 --> 00:00:35.000]  對我來說近年來有兩個很切身的體驗
[00:00:35.000 --> 00:00:42.000]  一個是去年我參加英國巡渡工會的周年大會
[00:00:42.000 --> 00:00:45.000]  當我參加這個大會的會議的時候
[00:00:45.000 --> 00:00:47.000]  我所看到的
[00:00:47.000 --> 00:00:50.000]  是英國巡渡會是一個面向世界
[00:00:50.000 --> 00:00:53.000]  服侍世界的教會
[00:00:53.000 --> 00:00:56.000]  在會議裡面花了很多時間
[00:00:56.000 --> 00:00:59.000]  去討論公平的貿易
[00:00:59.000 --> 00:01:01.000]  以巴的和平
[00:01:01.000 --> 00:01:02.000]  世界的貧窮
[00:01:02.000 --> 00:01:03.000]  饑荒
[00:01:03.000 --> 00:01:05.000]  環境污染
[00:01:05.000 --> 00:01:07.000]  人權自由
[00:01:07.000 --> 00:01:10.000]  很多世界的議題
[00:01:10.000 --> 00:01:14.000]  都在這個大會裡面去討論
[00:01:14.000 --> 00:01:17.000]  但是最重要令我最
[00:01:17.000 --> 00:01:20.000]  在心裡面最著意的
[00:01:20.000 --> 00:01:25.000]  就是有一個很致命的問題
[00:01:25.000 --> 00:01:30.000]  英國巡渡會在周年大會裡面完全沒有討論
[00:01:30.000 --> 00:01:34.000]  就是在報告裡面
[00:01:34.000 --> 00:01:37.000]  英國巡渡會較有人數
[00:01:37.000 --> 00:01:40.000]  在過往的十年
[00:01:40.000 --> 00:01:44.000]  一共少了十萬人
[00:01:44.000 --> 00:01:49.000]  由十年前的三十萬的會友
[00:01:49.000 --> 00:01:54.000]  已經減到只有二十萬的會友
[00:01:54.000 --> 00:01:57.000]  很多禮拜堂是關閉
[00:01:57.000 --> 00:02:00.000]  英國巡渡會和聖公會
[00:02:00.000 --> 00:02:05.000]  其實近年都是大家討論緊合一
[00:02:05.000 --> 00:02:12.000]  但其中有一個是推動的
[00:02:12.000 --> 00:02:17.000]  就是這兩個教會在同一個教區裡面有很多禮拜堂
[00:02:17.000 --> 00:02:20.000]  基本上沒有什麼人崇拜
[00:02:20.000 --> 00:02:23.000]  很少人聚集
[00:02:23.000 --> 00:02:26.000]  所以對兩個教會來說
[00:02:26.000 --> 00:02:32.000]  如果能夠信徒比較集中
[00:02:32.000 --> 00:02:35.000]  去幾間禮拜堂裡面崇拜
[00:02:35.000 --> 00:02:44.000]  他們就不需要在營運這麼多歷史悠久的禮拜堂
[00:02:44.000 --> 00:02:47.000]  需要很大的支出
[00:02:47.000 --> 00:02:54.000]  甚至也可以將一部分的禮拜堂出售
[00:02:54.000 --> 00:03:01.000]  然後作為教會一些事工需要的經費
[00:03:01.000 --> 00:03:10.000]  在教會裡面聚集的人絕大部分是長者和幼童
[00:03:10.000 --> 00:03:21.000]  如果未來十年英國巡渡會同樣的都減少了十萬人
[00:03:21.000 --> 00:03:26.000]  英國巡渡會的教會人數就沒有了一半
[00:03:26.000 --> 00:03:29.000]  其實在這個時間
[00:03:29.000 --> 00:03:37.000]  教會連生存自己都面對一個很大的挑戰很大的困難
[00:03:37.000 --> 00:03:40.000]  在這個時間如何能夠繼續再說
[00:03:40.000 --> 00:03:43.000]  要面向世界服務世界
[00:03:43.000 --> 00:03:54.000]  去毀身在社會關懷的工作上面
[00:03:54.000 --> 00:03:57.000]  當我開完英國巡渡會的周年大會
[00:03:57.000 --> 00:04:00.000]  心裡面很重
[00:04:00.000 --> 00:04:03.000]  一方面教會不斷要
