
[00:00:00.000 --> 00:00:05.760]  當我們在缺乏或困難的時候
[00:00:05.760 --> 00:00:08.760]  我們很容易埋怨
[00:00:08.760 --> 00:00:13.160]  因為我們只會將我們的注意力
[00:00:13.160 --> 00:00:16.760]  放在我們所缺乏的地方
[00:00:16.760 --> 00:00:19.760]  我們所困難的地方
[00:00:19.760 --> 00:00:21.760]  我們會覺得我們很不幸
[00:00:21.760 --> 00:00:24.760]  我們會覺得好像神不是很看顧我們
[00:00:24.760 --> 00:00:29.760]  我們會覺得好像神很討厭我們一樣
[00:00:29.760 --> 00:00:34.760]  當我們將專注力放在這些地方的時候
[00:00:34.760 --> 00:00:39.760]  我們很容易忽略了神已經做了很多事情
[00:00:39.760 --> 00:00:42.760]  神已經給了我們很多恩典
[00:00:42.760 --> 00:00:45.760]  我們是沒有察覺的
[00:00:45.760 --> 00:00:48.760]  或者我們是刻意忘記了
[00:00:48.760 --> 00:00:51.760]  好像以色列人出埃及之後
[00:00:51.760 --> 00:00:54.760]  當他們經過在埃及
[00:00:54.760 --> 00:00:57.760]  看見神降下的十災
[00:00:57.760 --> 00:01:03.760]  看見神在紅海分開來拯救他們
[00:01:03.760 --> 00:01:09.760]  看見在這個曠野神席著雲柱火柱引導他們之後
[00:01:09.760 --> 00:01:12.760]  他們又很快忘記這些事情
[00:01:12.760 --> 00:01:16.760]  當他們面對他們切身的問題
[00:01:16.760 --> 00:01:18.760]  就是肚餓的時候
[00:01:18.760 --> 00:01:22.760]  他們就忘記了這些偉大的經驗
[00:01:22.760 --> 00:01:25.760]  這些重要的使命
[00:01:25.760 --> 00:01:28.760]  他們就在埋怨
[00:01:28.760 --> 00:01:33.760]  因為肚餓是很難忍受的
[00:01:33.760 --> 00:01:40.760]  我們在香港生活就沒有機會真正去經歷飢餓
[00:01:40.760 --> 00:01:43.760]  我們通常沒餓就吃東西
[00:01:43.760 --> 00:01:47.760]  我們只會經歷過吃得太飽
[00:01:47.760 --> 00:01:53.760]  我們很少經驗過真正的飢餓
[00:01:53.760 --> 00:01:58.760]  真正的飢餓是令人忘記一切
[00:01:58.760 --> 00:02:01.760]  是令人不顧一切
[00:02:01.760 --> 00:02:06.760]  甚至可以使人變成一種野獸
[00:02:06.760 --> 00:02:13.760]  一種不顧一切去獲取食物的衝動
[00:02:13.760 --> 00:02:16.760]  所以當以色列人沒有食物的時候
[00:02:16.760 --> 00:02:18.760]  他們就忘記一切
[00:02:18.760 --> 00:02:22.760]  他們就是向神埋怨
[00:02:22.760 --> 00:02:24.760]  正如今天有些人說
[00:02:24.760 --> 00:02:27.760]  信耶穌有什麼好呢?
[00:02:27.760 --> 00:02:29.760]  耶穌給你食物嗎?
[00:02:29.760 --> 00:02:35.760]  因為身體最基本的需要其實是很大的
[00:02:35.760 --> 00:02:38.760]  但是耶穌真的會給你食物
[00:02:38.760 --> 00:02:40.760]  因為昌克及記說
[00:02:40.760 --> 00:02:44.760]  耶穌降下馬拿來餵飽以色列人
[00:02:44.760 --> 00:02:47.760]  今天我們看昌克及記第十六章
[00:02:47.760 --> 00:02:50.760]  馬拿是什麼呢?
[00:02:50.760 --> 00:02:53.760]  以色列人見到馬拿的時候
[00:02:53.760 --> 00:02:54.760]  第十五節說
[00:02:54.760 --> 00:02:56.760]  就彼此對問
[00:02:56.760 --> 00:02:58.760]  這是什麼呢?
[00:02:58.760 --> 00:03:00.760]  這句話
[00:03:00.760 --> 00:03:02.760]  希伯來文就是馬拿
[00:03:02.760 --> 00:03:04.760]  所以馬拿的意思就是
[00:03:04.760 --> 00:03:06.760]  這是什麼呢?
[00:03:06.760 --> 00:03:08.760]  如果有人請你吃飯
[00:03:08.760 --> 00:03:10.760]  叫一碟不知道什麼東西在你面前
[00:03:10.760 --> 00:03:12.760]  你就可以說馬拿
[00:03:12.760 --> 00:03:15.760]  這是什麼呢?
[00:03:15.760 --> 00:03:19.760]  馬拿是以色列人從未吃過的東西
[00:03:19.760 --> 00:03:21.760]  他們從未見過
[00:03:21.760 --> 00:03:24.760]  所以他們會叫它做馬拿
[00:03:24.760 --> 00:03:27.760]  聖經說在第十四節說
[00:03:27.760 --> 00:03:33.760]  馬拿就好像白霜的小玄物
[00:03:33.760 --> 00:03:38.760]  到了第三十一節就提到
[00:03:38.760 --> 00:03:41.760]  馬拿的顏色是白色的
[00:03:41.760 --> 00:03:46.760]  味道就好像杉蜜的薄餅
[00:03:46.760 --> 00:03:49.760]  所以我估計
[00:03:49.760 --> 00:03:54.760]  馬拿就是圓形的白色的
[00:03:54.760 --> 00:03:57.760]  棉花糖的物體
[00:03:57.760 --> 00:03:59.760]  因為有點甜
[00:03:59.760 --> 00:04:03.760]  以色列人從未吃過這東西
[00:04:03.760 --> 00:04:05.760]  以色列人吃什麼呢?
[00:04:05.760 --> 00:04:07.760]  他們吃的東西很簡單
[00:04:07.760 --> 00:04:11.760]  他們平時只吃薄餅
[00:04:11.760 --> 00:04:13.760]  當然沒有菜,沒有芝士
[00:04:13.760 --> 00:04:16.760]  也沒有少得那麼好吃
[00:04:16.760 --> 00:04:19.760]  沒有烤的就是薄薄的薄餅
[00:04:19.760 --> 00:04:22.760]  烤的就是厚薄薄餅
[00:04:22.760 --> 00:04:25.760]  偶爾吃肉,吃羊肉
[00:04:25.760 --> 00:04:28.760]  不過多數都是過時過節才會吃
[00:04:28.760 --> 00:04:31.760]  他們在這裡就提到在埃及有肉吃
[00:04:31.760 --> 00:04:34.760]  紀念埃及的肉鍋
[00:04:34.760 --> 00:04:38.760]  但平時都是吃薄餅
[00:04:38.760 --> 00:04:40.760]  可能加點菜
[00:04:40.760 --> 00:04:45.760]  所以馬拿對他們來說是很新鮮的東西
[00:04:45.760 --> 00:04:48.760]  對我們來說未必很新鮮
[00:04:48.760 --> 00:04:51.760]  因為我們什麼都會吃
[00:04:51.760 --> 00:04:54.760]  我們香港人喜歡去找新的東西吃
[00:04:54.760 --> 00:04:56.760]  最好是未吃過的
[00:04:56.760 --> 00:04:58.760]  經常都吃馬拿
[00:04:58.760 --> 00:05:00.760]  這些是什麼?又吃一下
[00:05:00.760 --> 00:05:02.760]  我們就不怕
[00:05:02.760 --> 00:05:06.760]  但對以色列來說是很奇怪的事
[00:05:06.760 --> 00:05:08.760]  你可以想像上一代的老人家
[00:05:08.760 --> 00:05:10.760]  每天都吃飯
[00:05:10.760 --> 00:05:12.760]  早上又吃飯
[00:05:12.760 --> 00:05:14.760]  下午又吃飯,晚上又吃飯
[00:05:14.760 --> 00:05:16.760]  你煮一塊薄餅給他們
