
[00:00:00.000 --> 00:00:03.720]  在美國有一個社會學家做了一個家庭的研究
[00:00:03.720 --> 00:00:09.120]  這個研究特別是探討在18世紀美國兩個很特別的家庭
[00:00:09.120 --> 00:00:14.800]  這兩個家庭都是在美國同一個州同一個城市裡面選出來的
[00:00:14.800 --> 00:00:20.320]  一個就是美國有名的神學家和港獨家Jonathan Edward的家庭
[00:00:20.320 --> 00:00:25.720]  而另外一個就是當時出了名刑事罪犯Jakes的家庭
[00:00:25.720 --> 00:00:32.440]  在這個研究的結果裡面這位社會學家就在Jonathan Edward的後裔裡面
[00:00:32.440 --> 00:00:39.720]  找到有超過14個大學校長、超過100個大學教授、超過100個律師
[00:00:39.720 --> 00:00:47.720]  超過30個法官、超過60個醫生、超過100個傳道人、宣教士和神學院的教授
[00:00:47.720 --> 00:00:51.720]  其中有60個還是作者
[00:00:51.720 --> 00:01:00.240]  直到今天美國在差不多每一個大企業裡面都有這個家族的人站在重要的位置
[00:01:00.240 --> 00:01:06.240]  而Jakes的家庭在他的後裔裡面就找到有300個職業乞丐
[00:01:06.240 --> 00:01:10.920]  400個因為犯罪有關的事而終身殘廢的殘廢者
[00:01:10.920 --> 00:01:15.720]  60個小偷、100個監犯和7個殺人犯
[00:01:15.720 --> 00:01:19.920]  這個聲名狼藉的家族總共花費了紐約政府
[00:01:19.920 --> 00:01:24.920]  包括了監獄費和律師費總共有100萬美元之多
[00:01:24.920 --> 00:01:27.920]  看完這個研究之後
[00:01:27.920 --> 00:01:34.920]  我就真的深深的領會到原來上一代對下一代的影響是這麼深和這麼遠的
[00:01:34.920 --> 00:01:41.920]  親愛的父母又或者你將會為人父母、各位長老、各位團契的導師
[00:01:41.920 --> 00:01:44.920]  各位團契的職員、各位組長
[00:01:44.920 --> 00:01:51.920]  我們那些掌握著下一代命脈的你對你下一代有什麼影響呢?
[00:01:51.920 --> 00:01:55.920]  你對你下一代的影響有多深和有多遠呢?
[00:01:55.920 --> 00:02:00.920]  我們又怎樣才可以更好的去影響我們的下一代呢?
[00:02:00.920 --> 00:02:05.920]  今天我們打開聖經去到《創世紀》第十二章第十至第二十節
[00:02:05.920 --> 00:02:11.920]  二十章第一至第十八節和第二十六章第一至第十一節去找這些答案
[00:02:11.920 --> 00:02:17.920]  在這幾段經文裡面我們會首先看一看最對下一代的影響的開始
[00:02:17.920 --> 00:02:22.920]  然後我們會看一看最對下一代的影響的過程
[00:02:22.920 --> 00:02:29.920]  最後我們會看一看我們怎樣才可以更好的去影響我們的下一代
[00:02:29.920 --> 00:02:32.920]  當這段經文一開始的時候
[00:02:32.920 --> 00:02:36.920]  我們就見到一件令到我們非常苦惱的事情
[00:02:36.920 --> 00:02:39.920]  因為在《創世紀》第十二章的頭半章
[00:02:39.920 --> 00:02:43.920]  就是由第一節到第九節我們就見到一個阿伯蘭
[00:02:43.920 --> 00:02:45.920]  但在同一章的下半章
[00:02:45.920 --> 00:02:50.920]  由第十節到第二十節我們又見到另外一個阿伯蘭
[00:02:50.920 --> 00:02:54.920]  在頭半章第一節我們就見到耶和華
[00:02:54.920 --> 00:02:58.920]  失驚無神地叫阿伯蘭離開本地本族父家
[00:02:58.920 --> 00:03:01.920]  去神所指示他的地方
[00:03:01.920 --> 00:03:03.920]  然後神就會大大祝福他
[00:03:03.920 --> 00:03:07.920]  然後阿伯蘭在第四節二話不說
[00:03:07.920 --> 00:03:10.920]  左手牽著太太右手牽著兒子
[00:03:10.920 --> 00:03:11.920]  連去那裏都沒有問
[00:03:11.920 --> 00:03:14.920]  就踏上了這條信心的道路
[00:03:14.920 --> 00:03:20.920]  在這裏我們就見到一個滿有信心和勇敢的阿伯蘭
[00:03:20.920 --> 00:03:22.920]  後來在第五節那裏
[00:03:22.920 --> 00:03:25.920]  當他們去到一個地方叫做迦南的時候
[00:03:25.920 --> 00:03:27.920]  神就告訴阿伯蘭
[00:03:27.920 --> 00:03:32.920]  這個就是我要賜給你和你的後裔的應許地
[00:03:32.920 --> 00:03:38.920]  阿伯蘭立刻就捉了一座壇在那裏直著禱告去感謝神
[00:03:38.920 --> 00:03:41.920]  後來阿伯蘭又遷移到伯特利
[00:03:41.920 --> 00:03:46.920]  當時阿伯蘭又捉了一座壇去敬拜耶和華
[00:03:46.920 --> 00:03:50.920]  在這裏我們不單止見到一個勇敢的阿伯蘭
[00:03:50.920 --> 00:03:56.920]  我們更加見到一個時常都倚靠和交託的阿伯蘭
[00:03:56.920 --> 00:03:59.920]  但到了同一章的下半章
[00:03:59.920 --> 00:04:01.920]  我們又見到另外一個阿伯蘭
[00:04:01.920 --> 00:04:03.920]  我們看看第十節那裏這樣說
[00:04:03.920 --> 00:04:06.920]  那裏說哪地遭遇饑荒
[00:04:06.920 --> 00:04:08.920]  因饑荒甚大
[00:04:08.920 --> 00:04:10.920]  阿伯蘭就下埃及去
[00:04:10.920 --> 00:04:13.920]  要在那裏暫居
[00:04:13.920 --> 00:04:17.920]  將近埃及就對妻子撒萊說
[00:04:17.920 --> 00:04:19.920]  我知道你是容貌峻美的婦人
[00:04:19.920 --> 00:04:22.920]  埃及人看見你必說
[00:04:22.920 --> 00:04:23.920]  這是他的妻子
[00:04:23.920 --> 00:04:28.920]  他們就要殺我卻叫你存活
[00:04:28.920 --> 00:04:32.920]  在這裏我們又見到一個貪生怕死的阿伯蘭
[00:04:32.920 --> 00:04:34.920]  不單止是這樣
[00:04:34.920 --> 00:04:36.920]  最令我們感到苦惱的
[00:04:36.920 --> 00:04:38.920]  就是當阿伯蘭遇到饑荒
[00:04:38.920 --> 00:04:40.920]  落到埃及
[00:04:40.920 --> 00:04:42.920]  就正當他面對失去他的太太
[00:04:42.920 --> 00:04:44.920]  和他自己的性命的時候
[00:04:44.920 --> 00:04:46.920]  在整個過程裏面
[00:04:46.920 --> 00:04:49.920]  由第十節一直到第二十節
[00:04:49.920 --> 00:04:54.920]  我們都見不到阿伯蘭有絲毫祈求禱告耶和華的痕跡
[00:04:54.920 --> 00:04:57.920]  在這裏我們真的不太明白
[00:04:57.920 --> 00:05:02.920]  我們不明白為什麼第十二章前半章的阿伯蘭
[00:05:02.920 --> 00:05:04.920]  和後半章的阿伯蘭
[00:05:04.920 --> 00:05:08.920]  好像真的前後判若兩人一樣
[00:05:08.920 --> 00:05:10.920]  我一直都不太明白
[00:05:10.920 --> 00:05:12.920]  直到當我看回第十節
[00:05:12.920 --> 00:05:15.920]  那地那兩個字的時候
[00:05:15.920 --> 00:05:17.920]  我就開始明白了
[00:05:17.920 --> 00:05:20.920]  那裏說那地遭遇饑荒
[00:05:20.920 --> 00:05:23.920]  那地又指什麼地方呢
[00:05:23.920 --> 00:05:25.920]  在第九節那裏告訴我們
[00:05:25.920 --> 00:05:31.920]  阿伯蘭那時候正是在英許地的迦南地的南部
[00:05:31.920 --> 00:05:34.920]  很可能當時阿伯蘭心裏就這樣想
[00:05:34.920 --> 00:05:39.920]  究竟是不是神帶領我來迦南地去祝福我呢
[00:05:39.920 --> 00:05:41.920]  如果是的話
[00:05:41.920 --> 00:05:44.920]  那為什麼這塊英許地又會有饑荒呢
[00:05:44.920 --> 00:05:47.920]  很可能當阿伯蘭想一想
[00:05:47.920 --> 00:05:50.920]  他的信心就開始搖動起來
[00:05:50.920 --> 00:05:52.920]  況且再切實去想一想
[00:05:52.920 --> 00:05:55.920]  繼續留在這裏也不是辦法
[00:05:55.920 --> 00:05:57.920]  既然神點了一條黑路給我走
[00:05:57.920 --> 00:06:01.920]  立刻就要自己找一條生路出來
[00:06:01.920 --> 00:06:04.920]  所以阿伯蘭就把心一橫
[00:06:04.920 --> 00:06:06.920]  決定離開英許地
[00:06:06.920 --> 00:06:09.920]  到埃及去謀生
[00:06:09.920 --> 00:06:11.920]  但如果他們真的要到埃及的話
[00:06:11.920 --> 00:06:16.920]  阿伯蘭和他太太就會遇到雙重的危險
[00:06:16.920 --> 00:06:18.920]  首先一方面聖經告訴我們
[00:06:18.920 --> 00:06:23.920]  阿伯蘭的太太撒萊原來是容貌俊美的
[00:06:23.920 --> 00:06:26.920]  埃及人一見到她就會把撒萊搶走
[00:06:26.920 --> 00:06:27.920]  而另一方面
[00:06:27.920 --> 00:06:32.920]  如果這班埃及人知道了阿伯蘭原來是撒萊的丈夫的話
[00:06:32.920 --> 00:06:35.920]  就一定會連他也殺了
