
[00:00:00.000 --> 00:00:03.500]  感恩節是我特別喜歡的一個季節
[00:00:03.500 --> 00:00:08.500]  因為感恩節就提醒我們要獻上我們的感恩
[00:00:08.500 --> 00:00:13.500]  看到你們教會星期五大概有150個人聚集在一起
[00:00:13.500 --> 00:00:17.500]  吃感恩節的聚餐還有分享
[00:00:17.500 --> 00:00:23.000]  感恩節我們能夠在教會裡面就好像一個大家庭一樣
[00:00:23.000 --> 00:00:24.500]  一個屬靈的家
[00:00:24.500 --> 00:00:26.500]  真是非常的美好
[00:00:26.500 --> 00:00:31.500]  我們教會是上個星期天是感恩聚餐
[00:00:31.500 --> 00:00:35.500]  我們教會Davis教會的廚房
[00:00:35.500 --> 00:00:40.500]  Davis教會的廚房就是跟你們教會的廚房是一樣大的
[00:00:40.500 --> 00:00:44.500]  有爐灶大概八個爐灶還有烤箱
[00:00:44.500 --> 00:00:48.000]  我們是每個星期開火
[00:00:48.000 --> 00:00:54.000]  所以每個星期大概有煮350個人的飯菜
[00:00:54.000 --> 00:00:57.500]  我們有大概18個團隊煮飯團隊
[00:00:57.500 --> 00:01:04.500]  18個團隊大概一年煮三次
[00:01:04.500 --> 00:01:06.000]  我真是感謝神
[00:01:06.000 --> 00:01:10.500]  我們在神的家裡面就好像一個屬靈的家
[00:01:10.500 --> 00:01:15.500]  我們今天能夠在這裡慶祝感恩節紀念神的恩典
[00:01:15.500 --> 00:01:18.000]  真是何等大的福氣
[00:01:18.000 --> 00:01:20.500]  今天我要開車來雖然是下著雨
[00:01:20.500 --> 00:01:26.500]  但是你們知道加州到現在都好像沒有下一場比較大的雨
[00:01:26.500 --> 00:01:28.000]  今天算是比較大了
[00:01:28.000 --> 00:01:31.000]  真是充滿著感恩
[00:01:31.000 --> 00:01:36.500]  每次來的時候我就心裡非常感動
[00:01:36.500 --> 00:01:39.000]  那我們說感恩節
[00:01:39.000 --> 00:01:41.500]  感恩節其實跟這個
[00:01:41.500 --> 00:01:48.500]  你們知道今年10月是Reformation的500週年紀念
[00:01:48.500 --> 00:01:50.500]  也就是更正教
[00:01:50.500 --> 00:01:51.500]  就是歸正
[00:01:51.500 --> 00:01:54.500]  更正或者是歸正
[00:01:54.500 --> 00:02:00.500]  從天主教歸正以後的500週年紀念
[00:02:00.500 --> 00:02:03.500]  所以是在15、17年的時候
[00:02:03.500 --> 00:02:07.500]  馬丁路德在德國的一個教堂
[00:02:07.500 --> 00:02:10.500]  就是在這個教堂的門口
[00:02:10.500 --> 00:02:18.500]  就下了這個95條提到這個教皇賣這個贖罪券還有教皇的錯誤
[00:02:18.500 --> 00:02:23.500]  所以就開始了這個改革的運動開始
[00:02:23.500 --> 00:02:27.500]  是15、17年
[00:02:27.500 --> 00:02:32.500]  那這個15、17年開始以後
[00:02:32.500 --> 00:02:36.500]  之前整個歐洲都是屬於天主教
[00:02:36.500 --> 00:02:43.500]  所以英國、法國、德國、還有芬蘭、挪威
[00:02:43.500 --> 00:02:46.500]  整個歐洲是在天主教的
[00:02:46.500 --> 00:02:48.500]  只有一個天主教
[00:02:48.500 --> 00:02:53.500]  但是改革以後就有路德會
[00:02:53.500 --> 00:02:57.500]  那路德會我們中文現在就
[00:02:57.500 --> 00:02:59.500]  因為假如傳到亞洲去
[00:02:59.500 --> 00:03:01.500]  你不能說是路德教派
[00:03:01.500 --> 00:03:02.500]  總是不好聽
[00:03:02.500 --> 00:03:04.500]  怎麼會是一個德國人
[00:03:04.500 --> 00:03:08.500]  那路德會我們就稱他什麼會你們知道嗎
[00:03:08.500 --> 00:03:10.500]  信義會
[00:03:10.500 --> 00:03:12.500]  所以路德是提倡這個
[00:03:12.500 --> 00:03:14.500]  英信、正義
[00:03:14.500 --> 00:03:16.500]  所以叫信義會
[00:03:16.500 --> 00:03:20.500]  那然後長老會是John Calvin
[00:03:20.500 --> 00:03:24.500]  他是提倡教會不是由教皇來帶領
[00:03:24.500 --> 00:03:26.500]  教會是由長老們
[00:03:26.500 --> 00:03:30.500]  或者是執事們、牧師們一起帶領
[00:03:30.500 --> 00:03:32.500]  所以叫做長老會
[00:03:32.500 --> 00:03:35.500]  但是英國就比較特別
[00:03:35.500 --> 00:03:39.500]  英國是Church of England
[00:03:39.500 --> 00:03:40.500]  英國教會
[00:03:40.500 --> 00:03:43.500]  也可以說是Anniecan Church
[00:03:43.500 --> 00:03:46.500]  那英國教會是比較特別
[00:03:46.500 --> 00:03:48.500]  為什麼特別呢
[00:03:48.500 --> 00:03:52.500]  英國教會本來是屬於天主教的
[00:03:52.500 --> 00:03:55.500]  但是英國的國王
[00:03:55.500 --> 00:03:57.500]  有一個國王
[00:03:57.500 --> 00:04:00.500]  他要離婚
[00:04:00.500 --> 00:04:02.500]  離婚在天主教是不允許的
[00:04:02.500 --> 00:04:06.500]  所以他就申請到羅馬教皇
[00:04:06.500 --> 00:04:08.500]  教皇不允許
[00:04:08.500 --> 00:04:10.500]  不允許的話
[00:04:10.500 --> 00:04:12.500]  有一些旁邊的人就說
[00:04:12.500 --> 00:04:14.500]  教皇不允許你是英國的國王
[00:04:14.500 --> 00:04:17.500]  你就跟教皇切斷關係
[00:04:17.500 --> 00:04:20.500]  所以英國就離開了天主教
[00:04:20.500 --> 00:04:25.500]  自己有一個獨立的英國教會
[00:04:25.500 --> 00:04:27.500]  這叫做Anniecan Church
[00:04:27.500 --> 00:04:29.500]  經過了改革以後
[00:04:29.500 --> 00:04:31.500]  因為英國教會裡面
[00:04:31.500 --> 00:04:34.500]  有天主教徒、有基督徒
[00:04:34.500 --> 00:04:38.500]  那你看帶來的是何等大的征戰
[00:04:38.500 --> 00:04:40.500]  因為信仰不同
[00:04:40.500 --> 00:04:42.500]  所以在英國的教會裡面
[00:04:42.500 --> 00:04:46.500]  他就產生了很大的衝突
[00:04:46.500 --> 00:04:48.500]  John Wesley
[00:04:48.500 --> 00:04:51.500]  Wesley是在英國教會裡面當牧師
[00:04:51.500 --> 00:04:54.500]  他是主張從教會裡面改革
[00:04:54.500 --> 00:04:56.500]  但是有一批人
[00:04:56.500 --> 00:04:59.500]  認為應該要離開這個英國教會
[00:04:59.500 --> 00:05:01.500]  所以有一些人
[00:05:01.500 --> 00:05:03.500]  他們就覺得應該要離開
[00:05:03.500 --> 00:05:05.500]  所以他們就離開到英國教會
[00:05:05.500 --> 00:05:07.500]  剛開始到芬蘭其他的地方去
[00:05:07.500 --> 00:05:09.500]  但是最後不行
[00:05:09.500 --> 00:05:11.500]  又回到了英國
[00:05:11.500 --> 00:05:14.500]  所以經過了這一段期間以後
[00:05:14.500 --> 00:05:16.500]  所以在這裡
[00:05:16.500 --> 00:05:18.500]  你就看到這個教會
[00:05:18.500 --> 00:05:20.500]  就在英國這個教會裡面
[00:05:20.500 --> 00:05:23.500]  那這些人離開英國教會的人
[00:05:23.500 --> 00:05:26.500]  大部分我們叫他清教徒
[00:05:26.500 --> 00:05:28.500]  感恩節是清教徒來美國
[00:05:28.500 --> 00:05:30.500]  那這些清教徒
[00:05:30.500 --> 00:05:34.500]  很多都是屬於這個靜信會的
[00:05:34.500 --> 00:05:36.500]  所以你們在這個靜信會的教會
[00:05:36.500 --> 00:05:38.500]  做禮拜也了解一下
[00:05:38.500 --> 00:05:40.500]  這個靜信會的背景
[00:05:40.500 --> 00:05:43.500]  所以就產生了這個靜信會
[00:05:43.500 --> 00:05:48.500]  那衛理公會就是John Wesley
[00:05:48.500 --> 00:05:53.500]  那衛理公會最後也就改名字成為Methodist Church
[00:05:53.500 --> 00:05:54.500]  傳到這個美國來
[00:05:54.500 --> 00:05:56.500]  就是叫巡禮會
[00:05:56.500 --> 00:06:00.500]  因為衛斯理是很強調這個行為
[00:06:00.500 --> 00:06:03.500]  所以就是在變成這個巡禮會
[00:06:03.500 --> 00:06:06.500]  我每次進到你們教會的時候
[00:06:06.500 --> 00:06:09.500]  看到你們教會對面有一個叫教會
[00:06:09.500 --> 00:06:11.500]  叫做Assembly of God
[00:06:11.500 --> 00:06:13.500]  你們知道這是什麼教會嗎
[00:06:13.500 --> 00:06:15.500]  這個叫做神召會
[00:06:15.500 --> 00:06:19.500]  神召會是大概一百年來
[00:06:19.500 --> 00:06:23.500]  在這個洛杉磯開始
[00:06:23.500 --> 00:06:25.500]  有一個人他被聖靈感動
[00:06:25.500 --> 00:06:27.500]  就講起方言來了
[00:06:27.500 --> 00:06:30.500]  所以神召會是這個靈恩運動的
[00:06:30.500 --> 00:06:34.500]  第一批的神召會
[00:06:34.500 --> 00:06:37.500]  那他們慢慢也很注重聖經
[00:06:37.500 --> 00:06:39.500]  只是在屬靈的恩賜上
[00:06:39.500 --> 00:06:41.500]  跟我們有一點不同
[00:06:41.500 --> 00:06:42.500]  我都不曉得這個教會
[00:06:42.500 --> 00:06:45.500]  每次來的時候都沒有什麼人在裡面
[00:06:45.500 --> 00:06:48.500]  今天好像可能他們慶祝感恩節
[00:06:48.500 --> 00:06:50.500]  教會門口還是停滿了車子
