
[00:00:00.000 --> 00:00:03.580]  Pastor Johnny上星期跟我們分享了一個訊息
[00:00:03.580 --> 00:00:06.140]  有人記得嗎?
[00:00:06.140 --> 00:00:08.960]  知道我一問這些就死定了
[00:00:08.960 --> 00:00:10.680]  一個星期太久了
[00:00:10.680 --> 00:00:13.640]  他就跟我們分享了一個馬太福音的訊息
[00:00:13.640 --> 00:00:16.680]  當中他提醒我們不要跟別人爭競
[00:00:16.680 --> 00:00:18.020]  不要去比較
[00:00:18.020 --> 00:00:19.260]  記得嗎?
[00:00:19.260 --> 00:00:21.060]  那個媽媽
[00:00:21.060 --> 00:00:23.300]  其實就是雅各和約翰這個兄弟
[00:00:23.300 --> 00:00:28.260]  這個媽媽就代她的兒子跟耶穌說
[00:00:28.260 --> 00:00:31.840]  耶穌!耶穌!你可不可以讓我這兩個兒子
[00:00:31.840 --> 00:00:38.880]  在你得到皇位、得到你的Kingdom的時候
[00:00:38.880 --> 00:00:40.680]  不是Germany
[00:00:40.680 --> 00:00:43.480]  就成為你的左右手
[00:00:43.480 --> 00:00:47.140]  成為坐在你Kingdom的旁邊
[00:00:47.140 --> 00:00:50.660]  想想都很像今天的父母
[00:00:50.660 --> 00:00:54.400]  父母可能走到班主任那裡跟他說
[00:00:54.400 --> 00:00:55.940]  有沒有人的家人是這樣的
[00:00:55.940 --> 00:00:59.080]  就跟這個班主任說
[00:00:59.080 --> 00:01:00.740]  你可不可以讓我兒子坐前一點
[00:01:00.740 --> 00:01:01.780]  他不太能看到
[00:01:01.780 --> 00:01:04.920]  或者讓我這個女兒去做班長
[00:01:04.920 --> 00:01:07.460]  做科長等等
[00:01:07.460 --> 00:01:11.520]  就是上次說的就是這個故事
[00:01:11.520 --> 00:01:14.680]  不過上次這個故事就提醒了我們什麼
[00:01:14.680 --> 00:01:17.880]  就是上帝的國度不是那麼熟悉的
[00:01:17.880 --> 00:01:19.220]  不是這樣看的
[00:01:19.220 --> 00:01:19.880]  OK?
[00:01:19.880 --> 00:01:25.400]  就是說我們不可以用平時的worldly的眼光去看上帝
[00:01:25.400 --> 00:01:26.540]  我們有一個字很好
[00:01:26.540 --> 00:01:28.680]  就叫做counter-cultural
[00:01:28.680 --> 00:01:31.900]  上星期Pastor Johnny跟我們分享
[00:01:31.900 --> 00:01:33.700]  不是用熟悉的眼光
[00:01:33.700 --> 00:01:35.240]  你要想成為大嗎?
[00:01:35.240 --> 00:01:36.900]  你會想成為勁嗎?
[00:01:36.900 --> 00:01:39.400]  你就成為所有人的僕人
[00:01:39.400 --> 00:01:40.040]  OK?
[00:01:40.040 --> 00:01:43.580]  所以這個counter-cultural的觀念是很重要的
[00:01:43.580 --> 00:01:46.800]  基本上它是覆蓋整個耶穌的教導
[00:01:46.800 --> 00:01:48.400]  祂生涯的教導
[00:01:48.400 --> 00:01:50.640]  今天我們會繼續去看祂的教導
[00:01:50.640 --> 00:01:51.640]  耶穌的教導
[00:01:51.640 --> 00:01:53.900]  當中我們特別要思想的是
[00:01:53.900 --> 00:01:56.580]  除了不要比較
[00:01:56.580 --> 00:01:59.000]  除了我們要謙卑
[00:01:59.000 --> 00:02:00.680]  除了我們要...
[00:02:00.680 --> 00:02:03.140]  so far 我們看了很多不同的觀念
[00:02:03.140 --> 00:02:04.340]  除了這些文化
[00:02:04.340 --> 00:02:06.240]  抗衡這些文化
[00:02:06.240 --> 00:02:10.780]  究竟祂還想我們教會這個屬靈的群體
[00:02:10.780 --> 00:02:13.140]  這個church community
[00:02:13.140 --> 00:02:14.840]  祂想我們要nurture
[00:02:14.840 --> 00:02:17.380]  要培養一個怎樣的品格
[00:02:17.380 --> 00:02:19.580]  要培養一個怎樣的特質呢?
[00:02:19.580 --> 00:02:21.180]  讓我們一起去讀吧
[00:02:21.180 --> 00:02:22.200]  好嗎?
[00:02:22.200 --> 00:02:22.940]  一起去讀
[00:02:22.940 --> 00:02:24.100]  馬達福音二十五章
[00:02:24.100 --> 00:02:25.380]  這兩字是經文
[00:02:25.380 --> 00:02:25.900]  好嗎?
[00:02:25.900 --> 00:02:27.700]  先讀中文吧
[00:02:27.700 --> 00:02:29.500]  一起讀
[00:02:29.500 --> 00:02:30.640]  OK?
[00:02:30.640 --> 00:02:31.440]  對了
[00:02:31.440 --> 00:02:33.680]  還有人不是看著屏幕的
[00:02:33.680 --> 00:02:34.700]  好了,預備好了
[00:02:34.700 --> 00:02:36.040]  最大聲的,OK?
[00:02:36.040 --> 00:02:37.040]  好像剛才Chloe說的
