
[00:00:00.000 --> 00:00:06.900]  最近我們大概打開電視、打開手機、打開報紙
[00:00:06.900 --> 00:00:10.600]  你天天看到的都是打仗 是不是
[00:00:10.600 --> 00:00:15.200]  那麼所以在網上面一大堆
[00:00:15.200 --> 00:00:20.200]  包括基督徒 包括對這些的戰爭
[00:00:20.200 --> 00:00:25.800]  我就發現到現在可能很多人很關注這些事情
[00:00:25.800 --> 00:00:29.600]  甚至很多基督徒也很想要去了解
[00:00:29.600 --> 00:00:35.800]  以色列 我們讀聖經裡面講的很多都是以色列 是不是
[00:00:35.800 --> 00:00:40.600]  整個舊約裡面充滿了講到以色列
[00:00:40.600 --> 00:00:45.600]  那麼連帶呢 其實我們對以色列的了解
[00:00:45.600 --> 00:00:51.600]  再加上最近這些年來有一些很多的
[00:00:51.600 --> 00:01:00.100]  就是開始就是說要為以色列禱告 要為以色列祝福
[00:01:00.100 --> 00:01:05.600]  有沒有 為耶路撒冷求祝福等等這些的越來越多
[00:01:05.600 --> 00:01:08.000]  我今天沒有時間專門談這個
[00:01:08.000 --> 00:01:09.400]  但是我會稍微提到一點
[00:01:09.400 --> 00:01:12.800]  因為保羅在《迦勒太書》裡面
[00:01:12.800 --> 00:01:16.800]  他說要一直 你看我們前面的兩章的時間
[00:01:16.800 --> 00:01:19.200]  今天已經是第三章了
[00:01:19.200 --> 00:01:23.400]  保羅花了很大的篇幅一直在講這件事情
[00:01:23.400 --> 00:01:28.200]  就是我們到底是因為《刑律法》而稱義呢
[00:01:28.200 --> 00:01:32.000]  還是我們因為信耶穌而稱義
[00:01:32.000 --> 00:01:36.000]  有沒有 請問是什麼
[00:01:36.000 --> 00:01:39.600]  信耶穌 是不是
[00:01:39.600 --> 00:01:42.400]  那我們來看看今天這段經文裡面
[00:01:42.400 --> 00:01:45.700]  保羅一開始的時候就針對
[00:01:45.700 --> 00:01:49.600]  又把這個問題 他針對這個問題
[00:01:49.600 --> 00:01:53.400]  他可以說嚴嚴的責備這個加勒太人
[00:01:53.400 --> 00:01:58.600]  他說無知的加勒太人啊
[00:01:58.600 --> 00:02:05.000]  耶穌基督定私之家已經活化在你們眼前
[00:02:05.000 --> 00:02:12.400]  誰又迷惑了你們呢
[00:02:12.400 --> 00:02:16.600]  保羅在這裡講說無知啊
[00:02:16.600 --> 00:02:19.000]  基督徒可不可以罵人啊
[00:02:19.000 --> 00:02:21.500]  可不可以
[00:02:21.500 --> 00:02:23.400]  耶穌說你不可以罵
[00:02:23.400 --> 00:02:27.400]  弟兄是拉加摩利 是不是
[00:02:27.400 --> 00:02:30.000]  基督可不可以罵人
[00:02:30.000 --> 00:02:32.600]  保羅在這裡罵人啊
[00:02:32.600 --> 00:02:34.200]  他說什麼
[00:02:34.200 --> 00:02:36.800]  他說無知的人啊
[00:02:36.800 --> 00:02:43.800]  其實無知這個字就是講愚蠢的意思
[00:02:43.800 --> 00:02:45.900]  就是沒有智慧啊
[00:02:45.900 --> 00:02:49.600]  保羅怎麼講這麼重的話
[00:02:49.600 --> 00:02:50.800]  也許我們不要講罵
[00:02:50.800 --> 00:02:52.900]  我們講保羅責備他
[00:02:52.900 --> 00:02:55.400]  你真蠢啊
[00:02:55.400 --> 00:02:58.300]  你真是沒有智慧啊
[00:02:58.300 --> 00:03:00.400]  庸子妹 如果今天請了一個蔣越來這邊
[00:03:00.400 --> 00:03:02.200]  這樣子講你的話
[00:03:02.200 --> 00:03:05.300]  可能下面我們這邊沒石頭
[00:03:05.300 --> 00:03:07.900]  在以色列石頭就拿起來準備打這個了
[00:03:07.900 --> 00:03:09.800]  是不是
[00:03:09.800 --> 00:03:16.800]  我聽說這個林院長在生前在世的時候呢
[00:03:16.800 --> 00:03:20.200]  聽說他每次到教會講道的時候啊
[00:03:20.200 --> 00:03:22.100]  都很嚴厲的講道
[00:03:22.100 --> 00:03:23.500]  我聽說啊 聽說啊
[00:03:23.500 --> 00:03:25.500]  也許你們在這裡比較久的知道
[00:03:25.500 --> 00:03:28.600]  聽說他早期來林良堂講道的時候
[00:03:28.600 --> 00:03:32.800]  哇 這個好像有些人很不喜歡他
[00:03:32.800 --> 00:03:34.500]  他因為他來就是
[00:03:34.500 --> 00:03:36.200]  你們要習慣他
[00:03:36.200 --> 00:03:37.600]  我們是很習慣他
[00:03:37.600 --> 00:03:41.000]  他真是愛之深 責之切
[00:03:41.000 --> 00:03:43.200]  反而被他罵越多的人啊
[00:03:43.200 --> 00:03:45.600]  都更愛主啊
[00:03:45.600 --> 00:03:47.000]  聽聽同志們
[00:03:47.000 --> 00:03:51.400]  保羅在這裡他實在是愛這個加拉太人
[00:03:51.400 --> 00:03:53.600]  所以他說無知的人啊
[00:03:53.600 --> 00:03:55.100]  無知的加拉太人啊
[00:03:55.100 --> 00:03:59.800]  耶穌基督定十字架已經活化在你們眼前
[00:03:59.800 --> 00:04:03.100]  活化就好像是你今天走在高速公路上面
[00:04:03.100 --> 00:04:07.300]  看到那個廣告牌有沒有
[00:04:07.300 --> 00:04:09.600]  當你接近那個廣告牌的時候怎麼樣
[00:04:09.600 --> 00:04:11.000]  你就看見那個廣告牌
[00:04:11.000 --> 00:04:14.400]  很明顯的就擺在你面前是不是
[00:04:14.400 --> 00:04:15.800]  保羅的意思就是說
[00:04:15.800 --> 00:04:19.100]  耶穌基督定十字架已經是這樣子的
[00:04:19.100 --> 00:04:20.800]  明白的 公開的
[00:04:20.800 --> 00:04:25.200]  好像廣告牌一樣擺在你的面前了
[00:04:25.200 --> 00:04:29.900]  怎麼你們還會被迷惑呢
[00:04:29.900 --> 00:04:32.600]  是誰迷惑了你們
[00:04:32.600 --> 00:04:35.700]  是誰迷惑了你們
[00:04:35.700 --> 00:04:38.000]  這個迷惑
[00:04:38.000 --> 00:04:40.100]  他原文的意思好像是說
[00:04:40.100 --> 00:04:41.800]  有人用魔術有沒有
