
[00:00:00.000 --> 00:00:01.860]  主持人:主內弟兄姊妹平安
[00:00:01.860 --> 00:00:03.600]  姊妹:主內弟兄姊妹平安
[00:00:03.600 --> 00:00:05.600]  是還蠻有新鮮感的
[00:00:05.600 --> 00:00:08.900]  主持人:大家知道過去幾個星期
[00:00:08.900 --> 00:00:11.500]  我都是講關於基督徒的人生觀
[00:00:11.500 --> 00:00:13.300]  姊妹:在過去幾個星期
[00:00:13.300 --> 00:00:15.800]  我都說基督徒的人生觀
[00:00:15.800 --> 00:00:18.300]  主持人:先後講到基督徒怎樣去看時間
[00:00:18.300 --> 00:00:21.300]  姊妹:我們先看基督徒怎樣去看時間
[00:00:21.300 --> 00:00:22.300]  主持人:怎樣去看工作
[00:00:22.300 --> 00:00:23.300]  姊妹:怎樣去看工作
[00:00:23.300 --> 00:00:25.300]  主持人:怎樣去看休閒
[00:00:25.300 --> 00:00:27.300]  姊妹:怎樣去看休閒
[00:00:27.300 --> 00:00:28.900]  主持人:為甚麼我們要先講時間呢?
[00:00:28.900 --> 00:00:30.700]  姊妹:為甚麼我們要先講時間呢?
[00:00:30.700 --> 00:00:33.300]  主持人:因為從創造天地開始的時候
[00:00:33.300 --> 00:00:35.300]  姊妹:因為從創造天地開始的時候
[00:00:35.300 --> 00:00:37.300]  主持人:神就做了這個時間給我們
[00:00:37.300 --> 00:00:38.800]  姊妹:神就做了時間給我們
[00:00:38.800 --> 00:00:40.000]  主持人:祂是做給我們的
[00:00:40.000 --> 00:00:41.100]  姊妹:祂是做給我們的
[00:00:41.100 --> 00:00:43.100]  主持人:因為神祂自己在時間以外
[00:00:43.100 --> 00:00:45.400]  姊妹:因為祂神在時間以外的
[00:00:45.400 --> 00:00:47.400]  主持人:所以我們的神就是自由永有
[00:00:47.400 --> 00:00:48.900]  姊妹:所以我們的神是自由永有
[00:00:48.900 --> 00:00:51.300]  主持人:所以我們的神就是息在今在永在
[00:00:51.300 --> 00:00:53.000]  姊妹:我們的神是息在永在
[00:00:53.000 --> 00:00:55.800]  主持人:但我們是一個凡人
[00:00:55.800 --> 00:00:57.500]  我們是在一個時間裏面
[00:00:57.500 --> 00:00:59.600]  但我們是一個凡人是在一個時間裏面
[00:00:59.600 --> 00:01:01.900]  主持人:我們沒有辦法可以預測到將來
[00:01:01.900 --> 00:01:03.900]  姊妹:我們沒有辦法預測將來
[00:01:03.900 --> 00:01:08.600]  主持人:很多時候我們就是很懷念著過去
[00:01:08.600 --> 00:01:11.500]  姊妹:許多時候我們會懷念過去
[00:01:11.500 --> 00:01:13.700]  主持人:但我們又想展望一下將來
[00:01:13.700 --> 00:01:15.200]  姊妹:但我們又想展望將來
[00:01:15.200 --> 00:01:17.900]  主持人:但年紀大了過去的事越來越不記得了
[00:01:17.900 --> 00:01:20.900]  姊妹:但年紀大了過去的事情就越來越忘記了
[00:01:20.900 --> 00:01:22.900]  主持人:但將來只有一個展望
