
[00:00:00.000 --> 00:00:02.920]  好 我們一起來讀今晚的經文
[00:00:02.920 --> 00:00:07.180]  就是出埃及記六章十至十三節
[00:00:07.180 --> 00:00:10.360]  六章二十八至七章六節
[00:00:10.360 --> 00:00:13.940]  我想第六章的經文我請
[00:00:13.940 --> 00:00:15.680]  不如我的左手邊
[00:00:15.680 --> 00:00:18.100]  好嗎 這邊的美女姐妹跟我一起讀
[00:00:18.100 --> 00:00:21.080]  我們一起讀六章十至十三節
[00:00:21.080 --> 00:00:23.080]  耶和華曉願摩西
[00:00:23.080 --> 00:00:24.180]  大聲點好嗎
[00:00:24.180 --> 00:00:27.940]  你進去對埃及王牌老說
[00:00:27.940 --> 00:00:31.080]  要容以色列人出他的地
[00:00:31.080 --> 00:00:34.040]  摩西在由我面前說
[00:00:34.040 --> 00:00:37.180]  以色列人尚且不聽我的話
[00:00:37.180 --> 00:00:41.600]  法老怎肯聽我這絕口笨舌的人呢
[00:00:41.600 --> 00:00:43.580]  耶和華吩咐摩西
[00:00:43.580 --> 00:00:48.280]  阿倫王以色列人和埃及王法老哪裡去
[00:00:48.280 --> 00:00:51.520]  把以色列人從埃及地領出來
[00:00:51.520 --> 00:00:53.900]  繼續就是六章二十八至三十節
[00:00:53.900 --> 00:00:54.940]  我們一起讀
[00:00:54.940 --> 00:00:59.940]  當耶和華在埃及地對摩西說話的指
[00:00:59.940 --> 00:01:01.720]  他向摩西說
[00:01:01.720 --> 00:01:03.160]  我是耶和華
[00:01:03.160 --> 00:01:05.340]  我對你說的一切話
[00:01:05.340 --> 00:01:08.340]  你都要告訴埃及王法老
[00:01:08.340 --> 00:01:10.940]  摩西在耶和華面前說
[00:01:10.940 --> 00:01:13.840]  看啊我是絕口笨舌的人
[00:01:13.840 --> 00:01:16.340]  法老怎肯聽我呢
[00:01:16.340 --> 00:01:18.260]  好 那麼請這邊大聲點讀
[00:01:18.260 --> 00:01:20.460]  七章一至六節好嗎
[00:01:20.460 --> 00:01:22.700]  耶和華對摩西說
[00:01:22.700 --> 00:01:26.180]  我使你在法老面前代替神
[00:01:26.180 --> 00:01:29.660]  你的哥哥阿倫是替你說話的
[00:01:29.660 --> 00:01:31.740]  凡我所吩咐你的
[00:01:31.740 --> 00:01:33.100]  你都要說
[00:01:33.100 --> 00:01:36.420]  你的哥哥阿倫要對法老說
[00:01:36.420 --> 00:01:39.120]  容以色列人出他的地
[00:01:39.120 --> 00:01:41.980]  我要使法老的心剛硬
[00:01:41.980 --> 00:01:45.900]  也要在埃及被多行神職歧視
[00:01:45.900 --> 00:01:48.420]  但法老必不聽你們
[00:01:48.420 --> 00:01:51.780]  我要身受重重的刑罰埃及
[00:01:51.780 --> 00:01:54.340]  將我的軍隊以色列民
[00:01:54.340 --> 00:01:56.980]  從埃及被領出來
[00:01:56.980 --> 00:01:59.140]  我身受攻擊埃及
[00:01:59.140 --> 00:02:03.660]  將以色列人從他們中間領出來的時候
[00:02:03.660 --> 00:02:07.420]  埃及人就要知道我是耶和華
[00:02:07.420 --> 00:02:09.980]  摩西 阿倫這樣行
[00:02:09.980 --> 00:02:12.620]  耶和華怎樣吩咐他們
[00:02:12.620 --> 00:02:15.300]  他們就照樣行了
[00:02:15.300 --> 00:02:17.660]  其實我們今天的經文
[00:02:17.660 --> 00:02:19.340]  其實是六章的十節
[00:02:19.340 --> 00:02:20.580]  叫七章的六節
[00:02:20.580 --> 00:02:22.060]  但是你看到我中間
[00:02:22.060 --> 00:02:25.900]  六章的十四節到廿七節那裡是跳過了
[00:02:25.900 --> 00:02:28.860]  其實那裡是作者
[00:02:28.860 --> 00:02:33.100]  就是在這裡插了一個族譜進去
[00:02:33.100 --> 00:02:35.260]  其實很多的解經家都不明白
[00:02:35.260 --> 00:02:40.140]  為什麼他會在整個摩西圖神的對話當中
[00:02:40.140 --> 00:02:42.420]  忽然間插了一個族譜進去
[00:02:42.420 --> 00:02:44.900]  但是大部分的解經家都認為
[00:02:44.900 --> 00:02:49.100]  其實這個是用來確定
[00:02:49.100 --> 00:02:51.300]  阿倫和摩西 特別是阿倫
[00:02:51.300 --> 00:02:52.580]  都是被揀選的
[00:02:52.580 --> 00:02:54.100]  所以在這裡放了一個族譜進去
[00:02:54.100 --> 00:02:55.340]  不過今天因為時間的關係
[00:02:55.340 --> 00:02:57.940]  我們就不會深入去看那個族譜
[00:02:57.940 --> 00:03:02.980]  我們集中來看看摩西和神的對話
[00:03:02.980 --> 00:03:04.380]  看看他們的說話
[00:03:04.380 --> 00:03:08.300]  我們看回六章十至十三節
[00:03:08.300 --> 00:03:10.020]  六章二十八至三十節
[00:03:10.020 --> 00:03:14.700]  其實今天的經文記載的事情發生在
[00:03:14.700 --> 00:03:17.340]  摩西第一次去見法老
[00:03:17.340 --> 00:03:19.740]  那我記得上次Pastor Sandy
[00:03:19.740 --> 00:03:21.460]  最後說到第五章
[00:03:21.460 --> 00:03:24.980]  摩西就覺得第一次見到法老之後
[00:03:24.980 --> 00:03:27.860]  真的非常之非常之的挫敗
[00:03:27.860 --> 00:03:31.180]  所以他就回去和神做一次對話
[00:03:31.180 --> 00:03:34.460]  就去和神聊天
[00:03:34.460 --> 00:03:36.820]  大家記不記得其實第一次
[00:03:36.820 --> 00:03:40.340]  就是當摩西去見法老的時候
[00:03:40.340 --> 00:03:41.580]  他得到的反應是怎樣
[00:03:41.580 --> 00:03:42.500]  就是他很勇敢
[00:03:42.500 --> 00:03:45.340]  他和阿倫就去和法老說
[00:03:45.340 --> 00:03:48.860]  「我的耶和華叫我來和你說」
[00:03:48.860 --> 00:03:53.740]  「你要讓那些以色列人離開三天」
[00:03:53.740 --> 00:03:56.580]  「出去到曠野去憲制」
[00:03:56.580 --> 00:03:58.980]  他是這樣和法老說的
[00:03:58.980 --> 00:04:04.740]  但是法老的回應是什麼呢
[00:04:04.740 --> 00:04:08.500]  「誰是耶和華?我不認識他」
[00:04:08.500 --> 00:04:11.180]  「誰是耶和華?我不認識他」
[00:04:11.180 --> 00:04:12.700]  他不認識耶和華
[00:04:12.700 --> 00:04:16.060]  就說「你們這幫人都是懶惰」
[00:04:16.060 --> 00:04:17.660]  「現在想走了」
[00:04:17.660 --> 00:04:22.580]  所以他不單止不聽摩西耶倫的話
[00:04:22.580 --> 00:04:24.300]  就更加變本加厲
[00:04:24.300 --> 00:04:28.380]  原先他也給那些草給那些以色列人做磚
[00:04:28.380 --> 00:04:30.100]  他說「既然你們這麼懶惰」
[00:04:30.100 --> 00:04:31.340]  「我就加重刑罰你們」
[00:04:31.340 --> 00:04:33.140]  「我就連草都不給你們」
[00:04:33.140 --> 00:04:35.380]  「你們自己就要去找那些草」
[00:04:35.380 --> 00:04:37.780]  「但是做磚的數目就要一樣」
[00:04:37.780 --> 00:04:43.180]  然後那些以色列人就更加不滿
[00:04:43.180 --> 00:04:45.060]  他就埋怨摩西
[00:04:45.060 --> 00:04:47.060]  「有沒有搞錯?你又說來幫我們」
[00:04:47.060 --> 00:04:50.380]  「現在弄得我們更辛苦過之前」
[00:04:50.380 --> 00:04:53.500]  所以摩西就是這樣
[00:04:53.500 --> 00:04:55.780]  他覺得自己非常挫敗
[00:04:55.780 --> 00:04:59.140]  他甚至覺得神好像出賣他
[00:04:59.140 --> 00:05:00.580]  「你叫我去」
[00:05:00.580 --> 00:05:02.220]  「但是你又說去拯救人」
[00:05:02.220 --> 00:05:06.620]  「但是現在弄得更壞過之前」
[00:05:06.620 --> 00:05:07.860]  他這樣跟神埋怨
[00:05:07.860 --> 00:05:09.100]  跟神這樣去說
[00:05:09.100 --> 00:05:10.180]  但是很有趣的
[00:05:10.180 --> 00:05:11.700]  我們看到神跟他的對話
[00:05:11.700 --> 00:05:13.540]  就是無論摩西說什麼也好
[00:05:13.540 --> 00:05:14.900]  他現在埋怨也好
[00:05:14.900 --> 00:05:17.700]  跟神說「你為什麼這樣」
[00:05:17.700 --> 00:05:22.300]  但是每次神都只是一個答案
[00:05:22.300 --> 00:05:26.060]  就是「你再跟我去見法祿」
[00:05:26.060 --> 00:05:28.020]  「再跟他說話」
[00:05:28.020 --> 00:05:32.220]  就是這次當你看回六章十一節
[00:05:32.220 --> 00:05:33.220]  他更加說
[00:05:33.220 --> 00:05:34.700]  不是去三天
[00:05:34.700 --> 00:05:37.660]  是直接要離開埃及
[00:05:37.660 --> 00:05:40.860]  所以我們看到神跟摩西的說話
[00:05:40.860 --> 00:05:41.740]  好像很有趣
[00:05:41.740 --> 00:05:43.540]  好像大家平行時空一樣
[00:05:43.540 --> 00:05:45.100]  一個就不斷地說
[00:05:45.100 --> 00:05:46.020]  「我不想去」
[00:05:46.020 --> 00:05:46.900]  「我不行了」
[00:05:46.900 --> 00:05:48.700]  「你不要叫我了」
[00:05:48.700 --> 00:05:51.460]  摩西不斷地說
[00:05:51.460 --> 00:05:52.340]  「住口笨舌了」
[00:05:52.340 --> 00:05:53.060]  「你不要叫我了」
[00:05:53.060 --> 00:05:53.900]  「你找別人吧」
[00:05:53.900 --> 00:05:54.460]  「我不行了」
[00:05:54.460 --> 00:05:55.700]  「我肯定自己不行了」
[00:05:55.700 --> 00:05:58.740]  但是每次神就好像
[00:05:58.740 --> 00:06:00.220]  反過來說
[00:06:00.220 --> 00:06:03.340]  「你不用理會你自己」
