
[00:00:00.000 --> 00:00:03.000]  先恭喜大家三十周年
[00:00:03.000 --> 00:00:09.420]  我想問一問有多少是在廣福堂三十年前開堂的時間
[00:00:09.420 --> 00:00:10.420]  你已經在這裏
[00:00:10.420 --> 00:00:13.420]  舉高一點 舉高一點給我看
[00:00:13.420 --> 00:00:16.420]  好 鼓 鼓勵鼓勵
[00:00:16.420 --> 00:00:22.420]  因為我鼓都不會很多
[00:00:22.420 --> 00:00:25.420]  看你們都很年輕
[00:00:25.420 --> 00:00:27.420]  不單止這樣
[00:00:27.420 --> 00:00:31.420]  當年都不是很多人
[00:00:31.420 --> 00:00:35.420]  但是這三十年真的不簡單
[00:00:35.420 --> 00:00:43.420]  1984中英簽署一個聯合聲明
[00:00:43.420 --> 00:00:46.420]  香港猜不到
[00:00:46.420 --> 00:00:48.420]  戴卓爾夫人猜不到
[00:00:48.420 --> 00:00:53.420]  猜不到這位鄧小平這麼狼
[00:00:53.420 --> 00:00:57.420]  沒得談
[00:00:57.420 --> 00:01:03.420]  跟著香港就出現一個一浪接一浪的移民潮
[00:01:03.420 --> 00:01:08.420]  我們經常說香港有一些接班的問題
[00:01:08.420 --> 00:01:10.420]  因為香港在那個時間
[00:01:10.420 --> 00:01:17.420]  每個界別都失去了一些相當出色的領袖
[00:01:17.420 --> 00:01:26.420]  猜不到回歸前後這三十年不簡單
[00:01:26.420 --> 00:01:30.420]  我相信鄧小平如果今天再生
[00:01:30.420 --> 00:01:33.420]  我很尊敬他很有創意
[00:01:33.420 --> 00:01:35.420]  一國兩制
[00:01:35.420 --> 00:01:37.420]  港人治港 高度自治
[00:01:37.420 --> 00:01:41.420]  但我相信他都猜不到有些事情發生
[00:01:41.420 --> 00:01:45.420]  不單止是香港發生 是全球發生
[00:01:45.420 --> 00:01:49.420]  令香港都不簡單
[00:01:49.420 --> 00:01:53.420]  所以講福堂亦都經歷很多考驗
[00:01:53.420 --> 00:01:55.420]  亦都有風有雨
[00:01:55.420 --> 00:01:57.420]  但亦都有因典
[00:01:57.420 --> 00:01:59.420]  因典是救勇
[00:01:59.420 --> 00:02:02.420]  所以我祝賀大家
[00:02:02.420 --> 00:02:05.420]  而且你們訂的題目都很好
[00:02:05.420 --> 00:02:08.420]  紀立 立人
[00:02:08.420 --> 00:02:10.420]  問題是誰先立你
[00:02:10.420 --> 00:02:12.420]  即是自己
[00:02:12.420 --> 00:02:14.420]  你的生命要建立
[00:02:14.420 --> 00:02:16.420]  立人是祝福其他人
[00:02:16.420 --> 00:02:18.420]  現在祝福香港是對的
[00:02:18.420 --> 00:02:20.420]  為什麼呢
[00:02:20.420 --> 00:02:22.420]  起初神揀選阿不拉罕
[00:02:22.420 --> 00:02:24.420]  就給他一個英雄
[00:02:24.420 --> 00:02:26.420]  你會成為一個大國
[00:02:26.420 --> 00:02:31.420]  將來會祝福萬國萬族萬民
[00:02:31.420 --> 00:02:33.420]  直到地極
[00:02:33.420 --> 00:02:35.420]  這位老人家猜不到
[00:02:35.420 --> 00:02:37.420]  真的 不是透過他
[00:02:37.420 --> 00:02:40.420]  是透過他的子孫 主耶穌
[00:02:40.420 --> 00:02:42.420]  透過你和我
[00:02:42.420 --> 00:02:44.420]  都是阿不拉罕的子孫
[00:02:44.420 --> 00:02:47.420]  今天 直到地極
[00:02:47.420 --> 00:02:49.420]  都有人信主
[00:02:49.420 --> 00:02:52.420]  成為萬國萬民的祝福
[00:02:52.420 --> 00:02:54.420]  這是沒有人猜到的
[00:02:54.420 --> 00:02:59.420]  所以我今天就很開心
[00:02:59.420 --> 00:03:01.420]  被你邀請來
[00:03:01.420 --> 00:03:03.420]  邀請來的時間一年一度
[00:03:03.420 --> 00:03:06.420]  所以我都想很久
[00:03:06.420 --> 00:03:08.420]  究竟要講什麼
[00:03:08.420 --> 00:03:12.420]  你剛好邀請我
[00:03:12.420 --> 00:03:14.420]  在一個節日來講
[00:03:14.420 --> 00:03:17.420]  我問你知不知道今天是什麼節
[00:03:17.420 --> 00:03:20.420]  我猜你都不知道
[00:03:20.420 --> 00:03:23.420]  人家說父親節沒那麼早
[00:03:23.420 --> 00:03:27.420]  很奇怪
[00:03:27.420 --> 00:03:29.420]  這是我不明白的
[00:03:29.420 --> 00:03:31.420]  不明白是什麼
[00:03:31.420 --> 00:03:33.420]  其實這個節很重要
[00:03:33.420 --> 00:03:35.420]  叫做什麼節
[00:03:35.420 --> 00:03:37.420]  聖靈降臨節
[00:03:37.420 --> 00:03:39.420]  又有這回事
[00:03:39.420 --> 00:03:45.420]  絕大部分禮拜堂都沒有一個聖靈降臨主日
[00:03:45.420 --> 00:03:47.420]  很多都沒有
[00:03:47.420 --> 00:03:51.420]  但為什麼這個這麼重要
[00:03:51.420 --> 00:03:53.420]  你再看回時間
[00:03:53.420 --> 00:03:56.420]  為什麼我們這個世界會搞成這樣
[00:03:56.420 --> 00:03:59.420]  一開始的時候 唱首詩多好
[00:03:59.420 --> 00:04:01.420]  諸天說說他的榮耀
[00:04:01.420 --> 00:04:03.420]  一切受造之物都在這裡
[00:04:03.420 --> 00:04:05.420]  要稱頌他
[00:04:05.420 --> 00:04:07.420]  這個世界開始的時候
[00:04:07.420 --> 00:04:09.420]  Glorious
[00:04:09.420 --> 00:04:11.420]  充滿榮耀
[00:04:11.420 --> 00:04:13.420]  聖經說諸天說說他的榮耀
[00:04:13.420 --> 00:04:17.420]  聖經說一切他所做的都是美好的
[00:04:17.420 --> 00:04:19.420]  他每做一日都說
[00:04:19.420 --> 00:04:21.420]  It's good
[00:04:21.420 --> 00:04:23.420]  然後他說Bless
[00:04:23.420 --> 00:04:25.420]  三次說祝福
[00:04:25.420 --> 00:04:27.420]  生養眾多
[00:04:27.420 --> 00:04:29.420]  遍滿全地 祝福
[00:04:29.420 --> 00:04:31.420]  一切受造之物都祝福
[00:04:31.420 --> 00:04:33.420]  有安息的 祝福
[00:04:33.420 --> 00:04:35.420]  但是你猜不到
[00:04:35.420 --> 00:04:38.420]  人一開始按神的形象做
[00:04:38.420 --> 00:04:40.420]  神的形象其中一個很核心的東西
[00:04:40.420 --> 00:04:42.420]  是有自由意志的
[00:04:42.420 --> 00:04:44.420]  You have a choice
[00:04:44.420 --> 00:04:46.420]  我自從做了爸爸媽媽
[00:04:46.420 --> 00:04:47.420]  做了爺爺之後
[00:04:47.420 --> 00:04:48.420]  更加自然
[00:04:48.420 --> 00:04:51.420]  我三個孫都很有自由意志
[00:04:51.420 --> 00:04:56.420]  他喜歡下載什麼遊戲就什麼遊戲
[00:04:56.420 --> 00:04:58.420]  我的iPad充滿他的遊戲
[00:04:58.420 --> 00:05:00.420]  不過我每個遊戲都要看
[00:05:00.420 --> 00:05:02.420]  我刪除了他幾個
[00:05:02.420 --> 00:05:04.420]  有一個只打阿Sir
[00:05:04.420 --> 00:05:08.420]  我看到他不停地打
[00:05:08.420 --> 00:05:10.420]  這個是誰 阿Sir
[00:05:10.420 --> 00:05:12.420]  這個刪除
[00:05:12.420 --> 00:05:16.420]  很有主見
[00:05:16.420 --> 00:05:18.420]  正因為這個時間
[00:05:18.420 --> 00:05:20.420]  人選擇走另一條路
[00:05:20.420 --> 00:05:22.420]  家應該是最溫暖的地方
[00:05:22.420 --> 00:05:24.420]  出現悲劇
[00:05:24.420 --> 00:05:26.420]  人和神是共融的
[00:05:26.420 --> 00:05:28.420]  一重創造這個世界
[00:05:28.420 --> 00:05:29.420]  不再一樣
[00:05:29.420 --> 00:05:31.420]  所以去到創世紀第三章的時間
[00:05:31.420 --> 00:05:33.420]  已經是另一個故事
[00:05:33.420 --> 00:05:35.420]  所以我們今天在中間
[00:05:35.420 --> 00:05:37.420]  這段時間
[00:05:37.420 --> 00:05:40.420]  當我們再看聖經結局的時間
[00:05:40.420 --> 00:05:42.420]  是Glorious
[00:05:42.420 --> 00:05:45.420]  沒有死亡
[00:05:45.420 --> 00:05:47.420]  沒有眼淚
[00:05:47.420 --> 00:05:49.420]  只有重戰
[00:05:49.420 --> 00:05:51.420]  只有榮耀
[00:05:51.420 --> 00:05:53.420]  沒有
[00:05:53.420 --> 00:05:55.420]  哭泣
[00:05:55.420 --> 00:05:57.420]  但為什麼在中間
[00:05:57.420 --> 00:05:59.420]  由創世紀第三章
[00:05:59.420 --> 00:06:02.420]  到啟示錄第二十章
[00:06:02.420 --> 00:06:04.420]  中間這段時間
