
[00:00:00.000 --> 00:00:05.000]  今天的主題是「兼諜情深」
[00:00:05.000 --> 00:00:06.000]  「兼」是什麼呢?
[00:00:06.000 --> 00:00:11.000]  「兼」是中國古代傳說的一種小鳥叫做「比翼鳥」
[00:00:11.000 --> 00:00:13.000]  可能唸過唐詩的領子
[00:00:13.000 --> 00:00:16.000]  在天願作比翼鳥的比翼鳥
[00:00:16.000 --> 00:00:18.000]  比翼鳥有什麼特別呢?
[00:00:18.000 --> 00:00:23.000]  特別是紅鳥只有左眼和左翼
[00:00:23.000 --> 00:00:27.000]  而黐鳥只有右眼和右翼
[00:00:27.000 --> 00:00:32.000]  所以牠們必定是黐在一起才能飛起來
[00:00:32.000 --> 00:00:36.000]  換句話說,用回我們的說話,就是沒有了對方就不行
[00:00:36.000 --> 00:00:41.000]  「兼」就是比目魚的古代名稱
[00:00:41.000 --> 00:00:44.000]  比目魚也是不會一條自己游的
[00:00:44.000 --> 00:00:47.000]  是要兩條一起並排游的,就是比目魚
[00:00:47.000 --> 00:00:54.000]  所以「兼諜情深」用來形容夫婦的感情相當深厚
[00:00:54.000 --> 00:00:59.000]  非常恩愛,彼此扶持,彼此照顧
[00:00:59.000 --> 00:01:04.000]  根據調查,兩個人願意結婚
[00:01:04.000 --> 00:01:09.000]  註冊結婚、舉辦婚禮,在一起
[00:01:09.000 --> 00:01:12.000]  根據絕大部分的情況之下
[00:01:12.000 --> 00:01:15.000]  這兩個人心裡都有一個願望
[00:01:15.000 --> 00:01:18.000]  是一生一世同行的
[00:01:18.000 --> 00:01:22.000]  但是怎樣才可以一生一世同行呢?
[00:01:22.000 --> 00:01:27.000]  有不同的婚姻心理學家有這樣的預測
[00:01:27.000 --> 00:01:30.000]  有些婚姻的心理學家有這樣的預測
[00:01:30.000 --> 00:01:35.000]  以下這兩個特點的人的夫婦
[00:01:35.000 --> 00:01:38.000]  他們的婚姻不出三年,他們有離婚
[00:01:38.000 --> 00:01:41.000]  請留意一下,這些特點是什麼呢?
[00:01:41.000 --> 00:01:45.000]  第一個特點就是不斷地批評對方的性格
[00:01:45.000 --> 00:01:50.000]  第二個特點就是在15分鐘之內
[00:01:50.000 --> 00:01:53.000]  超過四次向對方嘴描描
[00:01:53.000 --> 00:01:58.000]  就是一種藐視、蔑視的態度
[00:01:58.000 --> 00:02:03.000]  這個預測的準確率是非常之高的
[00:02:03.000 --> 00:02:05.000]  達到94%
[00:02:05.000 --> 00:02:08.000]  所以大家在吃飯的時候
[00:02:08.000 --> 00:02:11.000]  留意一下茶樓酒館附近有沒有人這樣做
[00:02:11.000 --> 00:02:14.000]  如果有的話,請你們為他祈禱
[00:02:14.000 --> 00:02:18.000]  另外,婚姻的心理學家也提過
[00:02:18.000 --> 00:02:22.000]  成功的婚姻有以下四個特點
[00:02:22.000 --> 00:02:25.000]  第一個特點就是互相的聯繫
[00:02:25.000 --> 00:02:29.000]  經常都說我們,你和我有關係
[00:02:29.000 --> 00:02:30.000]  舉個例子
[00:02:30.000 --> 00:02:33.000]  譬如有一個很久沒見的朋友
[00:02:33.000 --> 00:02:36.000]  Allen的朋友突然間很久沒見
[00:02:36.000 --> 00:02:39.000]  Allen,很久沒見了,你最近怎樣?
[00:02:39.000 --> 00:02:42.000]  Allen的回應是,我和Cynthia多好
[00:02:42.000 --> 00:02:45.000]  即是我們,經常說我們是互相的聯繫
[00:02:45.000 --> 00:02:47.000]  互相的連結
[00:02:47.000 --> 00:02:51.000]  第二個特點就是互相的稱讚
[00:02:51.000 --> 00:02:55.000]  提出對方的優點,讚賞對方的優點
[00:02:55.000 --> 00:02:59.000]  不是現在的互質互踩
[00:02:59.000 --> 00:03:03.000]  第三是熱情的關心
[00:03:03.000 --> 00:03:05.000]  熱情的關心是怎樣?舉個例子
[00:03:05.000 --> 00:03:07.000]  如果兩夫婦去看電影
[00:03:07.000 --> 00:03:11.000]  通常大家都知道有些電影很精彩
[00:03:11.000 --> 00:03:15.000]  精彩的電影是先看完再上廁所
[00:03:15.000 --> 00:03:18.000]  有一些是,兩夫婦看完電影
[00:03:18.000 --> 00:03:20.000]  看完再上廁所
[00:03:20.000 --> 00:03:23.000]  通常男人很快就去完
[00:03:23.000 --> 00:03:25.000]  女人就要慢一點
[00:03:25.000 --> 00:03:28.000]  通常是男人等老婆
[00:03:28.000 --> 00:03:31.000]  這次老婆就去得特別久
[00:03:31.000 --> 00:03:34.000]  好了,終於老婆出來了
[00:03:34.000 --> 00:03:37.000]  丈夫有兩個可能的回應
[00:03:37.000 --> 00:03:39.000]  各位精明的丈夫
[00:03:39.000 --> 00:03:41.000]  看你選擇哪個回應
[00:03:41.000 --> 00:03:43.000]  第一個回應就是
