
[00:00:00.000 --> 00:00:02.000]  今日和大家去思想這個
[00:00:02.000 --> 00:00:05.500]  已忽鎖的這個教會
[00:00:05.500 --> 00:00:08.500]  或者首先我想看一看這些PowerPoint
[00:00:08.500 --> 00:00:11.500]  麻煩我想看那幾張PowerPoint
[00:00:11.500 --> 00:00:14.000]  Hello Hello 我想看那幾張PowerPoint
[00:00:14.000 --> 00:00:17.000]  對了 這張對大家來說
[00:00:17.000 --> 00:00:19.000]  就沒有那麼大的作用
[00:00:19.000 --> 00:00:21.000]  為甚麼呢 第一
[00:00:21.000 --> 00:00:22.500]  就是它用的那些
[00:00:22.500 --> 00:00:27.000]  很多是 應該是一個現金的地圖來的
[00:00:27.000 --> 00:00:31.000]  所以呢 另外一張
[00:00:31.000 --> 00:00:37.000]  對了 這張就大家會看了
[00:00:37.000 --> 00:00:39.000]  為甚麼大家會看呢
[00:00:39.000 --> 00:00:42.000]  你看到又是已忽鎖 是不是
[00:00:42.000 --> 00:00:44.000]  啟述七個教會的名字
[00:00:44.000 --> 00:00:46.000]  我相信大家都是很熟悉的了
[00:00:46.000 --> 00:00:49.000]  因為我講這個第一章一至到第二十節
[00:00:49.000 --> 00:00:53.000]  那裏就提言又提提言又提那七個教會
[00:00:53.000 --> 00:00:55.000]  連我不是很喜歡記事的人
[00:00:55.000 --> 00:00:58.000]  我都用了一個方法去記那七個教會
[00:00:58.000 --> 00:01:01.000]  就是伊 第一就是已忽鎖
[00:01:01.000 --> 00:01:03.000]  就善美娜
[00:01:03.000 --> 00:01:06.000]  第三個就是別加摩
[00:01:06.000 --> 00:01:08.000]  第四個就是推也推拉
[00:01:08.000 --> 00:01:10.000]  我讀不知道是不是讀拉字
[00:01:10.000 --> 00:01:12.000]  最後讀哈哈字
[00:01:12.000 --> 00:01:13.000]  推也推拉
[00:01:13.000 --> 00:01:16.000]  跟著就薩迪
[00:01:16.000 --> 00:01:18.000]  跟著就菲拉鐵菲
[00:01:18.000 --> 00:01:20.000]  Philadelphia 很容易記
[00:01:20.000 --> 00:01:22.000]  美國也有一個 不過不是那裏
[00:01:22.000 --> 00:01:24.000]  跟著就魯底加
[00:01:24.000 --> 00:01:27.000]  你會發覺有條紅線
[00:01:27.000 --> 00:01:28.000]  穿過它
[00:01:28.000 --> 00:01:31.000]  其實這條紅線就不是因為有這七個教會
[00:01:31.000 --> 00:01:33.000]  就穿起它
[00:01:33.000 --> 00:01:35.000]  是因為羅馬的路
[00:01:35.000 --> 00:01:37.000]  羅馬路很出名的
[00:01:37.000 --> 00:01:39.000]  大家聽過一句是什麼
[00:01:39.000 --> 00:01:41.000]  條條大路通羅馬
[00:01:41.000 --> 00:01:43.000]  所以羅馬人他們是
[00:01:43.000 --> 00:01:46.000]  整些路是很重視整路的
[00:01:46.000 --> 00:01:49.000]  其實他跟他那個打仗行軍很有關係的
[00:01:49.000 --> 00:01:52.000]  還有商業很有關係的
[00:01:52.000 --> 00:01:54.000]  好了
[00:01:54.000 --> 00:01:56.000]  就正正是一條路線
[00:01:56.000 --> 00:01:58.000]  其實是羅馬的路
[00:01:58.000 --> 00:02:01.000]  在有路的地方就多些人住
[00:02:01.000 --> 00:02:03.000]  你沒有路的地方可以刪卡
