
[00:00:00.000 --> 00:00:07.700]  我們與夫所書已經快進入尾聲了
[00:00:07.700 --> 00:00:10.000]  好 我們稍微複習一下好不好
[00:00:10.000 --> 00:00:12.900]  我們講到說我們要穿戴全副的軍裝
[00:00:12.900 --> 00:00:15.140]  是為了什麼
[00:00:15.140 --> 00:00:20.000]  為了什麼
[00:00:20.000 --> 00:00:21.980]  打仗 是不是
[00:00:21.980 --> 00:00:25.440]  好 丁子妹 你現在有沒有在打仗
[00:00:25.440 --> 00:00:30.600]  如果你不知道你現在在打仗 你已經死了
[00:00:30.600 --> 00:00:33.940]  丁子妹 每一天我們都在屬靈征戰 是不是
[00:00:33.940 --> 00:00:36.940]  只是你沒感覺 或者你不aware
[00:00:36.940 --> 00:00:39.700]  丁子妹 屬靈的征戰是看不見的
[00:00:39.700 --> 00:00:42.040]  但是它每天都在進行
[00:00:42.040 --> 00:00:45.040]  甚至它時時都在進行
[00:00:45.040 --> 00:00:48.480]  所以跟你旁邊說 要警警
[00:00:48.480 --> 00:00:50.080]  那麼 保羅告訴我們說
[00:00:50.080 --> 00:00:54.700]  我們要穿戴全副的軍裝
[00:00:54.700 --> 00:00:55.900]  那我們來看一下
[00:00:55.900 --> 00:01:01.840]  我們要穿戴什麼全副的軍裝呢
[00:01:01.840 --> 00:01:14.640]  來 要用公義的護心鏡來遮胸 對不對
[00:01:14.640 --> 00:01:18.940]  要用盾牌是什麼
[00:01:18.940 --> 00:01:23.540]  要用信心的盾牌 是不是
[00:01:23.540 --> 00:01:28.640]  還有呢
[00:01:28.640 --> 00:01:32.100]  這個劍我們還沒講
[00:01:32.100 --> 00:01:34.140]  要用什麼
[00:01:34.140 --> 00:01:37.800]  用真理當作帶子來束腰
[00:01:37.800 --> 00:01:39.140]  再來呢
[00:01:39.140 --> 00:01:41.240]  今天我們就要講到
[00:01:41.240 --> 00:01:47.600]  戴上救恩的頭盔
[00:01:47.600 --> 00:01:49.940]  丁子妹 戴上救恩的頭盔
[00:01:49.940 --> 00:01:52.440]  頭很重要 頭重要不重要
