
[00:00:00.000 --> 00:00:04.600]  今天是2021年第一次的晚堂崇拜
[00:00:04.600 --> 00:00:07.480]  首先祝願各位新年蒙福
[00:00:07.480 --> 00:00:09.920]  身體健康 歷命長進
[00:00:09.920 --> 00:00:12.080]  我們一起同心的祈禱
[00:00:12.080 --> 00:00:13.080]  差異的天賦
[00:00:13.080 --> 00:00:18.240]  我們過去2020年確實遇上很多的挑戰
[00:00:18.240 --> 00:00:22.240]  多謝你的恩典救我們勇
[00:00:22.240 --> 00:00:26.000]  讓我們在當中面對很多的學習
[00:00:26.000 --> 00:00:30.440]  我們沒有辦法自誇
[00:00:30.440 --> 00:00:32.800]  未來這一年仍然會加在上帝的手裏
[00:00:32.800 --> 00:00:36.920]  願你的話語帶著能力去改變我們的生命
[00:00:36.920 --> 00:00:38.680]  今天我們繼續學習
[00:00:38.680 --> 00:00:40.680]  禄家福音的時候
[00:00:40.680 --> 00:00:42.280]  願上帝當中的帶領
[00:00:42.280 --> 00:00:44.960]  以至無論講的 聽的 同祂蒙福
[00:00:44.960 --> 00:00:46.000]  聽我們禱告
[00:00:46.000 --> 00:00:47.600]  奉靠我們的救主 耶穌基督
[00:00:47.600 --> 00:00:49.160]  寶貴的性命去求
[00:00:49.160 --> 00:00:51.120]  Amen
[00:00:51.120 --> 00:00:54.640]  大日歲首我們通常都會有些立志
[00:00:54.640 --> 00:00:58.720]  或者會問上帝呼召我們做些什麼
[00:00:58.720 --> 00:01:00.320]  我想「照命」這個用語
[00:01:00.320 --> 00:01:03.000]  我想大家都不感到陌生
[00:01:03.000 --> 00:01:09.760]  坊間都會有一些課程給我們去學習
[00:01:09.760 --> 00:01:12.080]  例如這個「Shape」
[00:01:12.080 --> 00:01:13.880]  是從五個向度
[00:01:13.880 --> 00:01:17.800]  去幫助我們認識自己一些的獨特性
[00:01:17.800 --> 00:01:23.880]  恩賜 心智 能力 性格 經驗
[00:01:23.880 --> 00:01:26.960]  我都花了一點時間去過往學習
[00:01:26.960 --> 00:01:29.600]  都覺得是一個不錯的參考
[00:01:29.600 --> 00:01:31.440]  這些工具可以幫我們更加了解
[00:01:31.440 --> 00:01:34.960]  我們擁有什麼資源去服侍
[00:01:34.960 --> 00:01:37.160]  不過更加基本的就是
[00:01:37.160 --> 00:01:41.440]  我們運用這些資源的動機 目的
[00:01:41.440 --> 00:01:43.680]  是什麼呢?
[00:01:43.680 --> 00:01:45.160]  很想藉著今天的經文
[00:01:45.160 --> 00:01:47.000]  跟大家一起去尋索
[00:01:47.000 --> 00:01:51.880]  學習什麼是回應上帝的呼召
[00:01:51.880 --> 00:01:53.560]  最基本的條件
[00:01:53.560 --> 00:01:55.040]  最核心的意義
[00:01:55.040 --> 00:01:56.800]  如果沒有了這些條件
[00:01:56.800 --> 00:01:58.840]  談不上「蒙召」
[00:01:58.840 --> 00:02:01.320]  又或者在我預備的時候
[00:02:01.320 --> 00:02:03.240]  我問我自己的問題
[00:02:03.240 --> 00:02:08.960]  我是帶著什麼履歷去進入「侍奉」
[00:02:08.960 --> 00:02:11.360]  我想跟大家一起去思想
[00:02:11.360 --> 00:02:13.400]  我們重點想想的課題就是
[00:02:13.400 --> 00:02:15.920]  我們帶著什麼履歷
[00:02:15.920 --> 00:02:18.360]  去進入我們的「侍奉」
[00:02:18.360 --> 00:02:21.160]  我們會繼續從《老家福音》裡面去學習
[00:02:21.160 --> 00:02:24.160]  今天會看第五章一至十一節
[00:02:24.160 --> 00:02:27.760]  耶穌呼召第一批的門徒
[00:02:27.760 --> 00:02:30.520]  我們首先去進入當時的場景
[00:02:30.520 --> 00:02:32.080]  這個就是格尼撒勒湖
[00:02:32.080 --> 00:02:35.440]  又是我們常常說的「加里尼海」
[00:02:35.440 --> 00:02:40.200]  當時群眾就在湖邊擁戴著耶穌
[00:02:40.200 --> 00:02:41.840]  作者強調
[00:02:41.840 --> 00:02:44.720]  會眾是為了要聽神的道
[00:02:44.720 --> 00:02:48.200]  耶穌的教導是帶著從神而來的權柄
[00:02:48.200 --> 00:02:51.080]  很受到會眾的歡迎
[00:02:51.080 --> 00:02:53.680]  有兩艘船在湖邊
[00:02:53.680 --> 00:02:56.920]  有漁夫在岸邊看著
