
[00:00:00.000 --> 00:00:04.540]  2025年在御苦期的40天裡
[00:00:04.540 --> 00:00:08.320]  我預備了40個角度來看主耶穌
[00:00:08.320 --> 00:00:09.680]  和大家分享
[00:00:09.680 --> 00:00:14.020]  主題叫做「耶穌 我主 我神」
[00:00:14.020 --> 00:00:17.340]  主耶穌是我的主 是我的神
[00:00:17.340 --> 00:00:22.440]  來到第六天 斷了幾天 我要追回
[00:00:22.440 --> 00:00:25.980]  第六天 生命與真光
[00:00:25.980 --> 00:00:30.160]  耶穌 主耶穌是誰呢?
[00:00:30.160 --> 00:00:32.480]  生命與真光
[00:00:32.480 --> 00:00:35.920]  昨天跟大家看 主耶穌是創造者
[00:00:35.920 --> 00:00:40.980]  不是起初神創造天地 不是神而是主耶穌嗎?
[00:00:40.980 --> 00:00:42.780]  是的 聖經說
[00:00:42.780 --> 00:00:47.380]  是神透過藉著主耶穌的兒子
[00:00:47.380 --> 00:00:52.000]  祂的說話 祂的道去創造這個世界
[00:00:52.000 --> 00:00:54.960]  而且是用祂來托住萬有
[00:00:54.960 --> 00:00:58.220]  讓萬有每一天繼續運行
[00:00:58.220 --> 00:01:02.980]  將來都是主耶穌回來 收起這個世界
[00:01:02.980 --> 00:01:07.020]  好了 今天我們看另一個向導
[00:01:07.020 --> 00:01:12.120]  來看主耶穌 原來祂是生命與真光
[00:01:12.120 --> 00:01:15.080]  不只是我說的 是經文來的
[00:01:15.080 --> 00:01:17.020]  我們一起看看吧
[00:01:17.020 --> 00:01:21.180]  先祈禱 讚美上主
[00:01:21.180 --> 00:01:26.500]  祢差派祢的兒子 祢不會保留 祢是很捨得
[00:01:26.500 --> 00:01:30.940]  將祢的兒子 獨生的愛子給我們
[00:01:30.940 --> 00:01:35.520]  讓我們可以相信 跟隨得著真的生命 得著永生
[00:01:35.520 --> 00:01:39.520]  心裏面黑暗了的光 再次被照亮
[00:01:39.520 --> 00:01:45.160]  我們的生命黑暗了 而祢的光 主耶穌照亮我們
[00:01:45.160 --> 00:01:50.320]  讚美上主的愛 讚美祢的憐憫 讚美祢的垂顧
[00:01:50.320 --> 00:01:54.620]  讚美祢不嫌棄我們這個這麼微塵一樣的人
[00:01:54.620 --> 00:01:57.960]  讚美祢不嫌棄我們這些罪人
[00:01:57.960 --> 00:02:00.860]  因為祢曾經向我們人類吹一口氣
[00:02:00.860 --> 00:02:03.160]  叫我們成為有靈的人
[00:02:03.160 --> 00:02:06.780]  好像祢的兒子一樣 祢就愛我們
[00:02:06.780 --> 00:02:12.000]  讚美祢 多謝祢 願意將祢高舉 將祢尊崇
[00:02:12.000 --> 00:02:17.520]  願上主得著所有的榮耀 祢本來就有這些榮耀
[00:02:17.520 --> 00:02:22.540]  但要榮耀尊貴 都歸我們的主 歸我們的主耶穌
[00:02:22.540 --> 00:02:28.420]  歸我們的聖靈 三一上主 滿得讚美稱頌
[00:02:28.420 --> 00:02:34.420]  各道權並榮耀 全是祢的 直到永遠 阿們
[00:02:34.420 --> 00:02:38.780]  好 和大家看看 經文 你是哪一位?
[00:02:38.780 --> 00:02:44.360]  你是真正的生命與真光 生命與真光
[00:02:44.360 --> 00:02:48.980]  就是這樣和大家說的 為什麼不生命一講 真光一講呢?
[00:02:48.980 --> 00:02:51.600]  就是因為《約翰福音》第一章
[00:02:51.600 --> 00:02:54.300]  是將這兩樣東西放在一起的
[00:02:54.300 --> 00:02:58.380]  所以分都分不開 當然也可以硬分開的
[00:02:58.380 --> 00:03:02.740]  不過我將它放在一起就好些 生命與真光
[00:03:02.740 --> 00:03:07.260]  《約翰福音》第一章 讀一下經文
[00:03:07.260 --> 00:03:15.180]  生命在他裡頭 這生命就是人的光
[00:03:15.180 --> 00:03:21.840]  第五節 光照在黑暗裡 黑暗卻不接受光
[00:03:21.840 --> 00:03:27.540]  那光是真光 照亮一切生在世上的人
[00:03:27.540 --> 00:03:33.380]  生命在他裡頭 這生命就是人的光
[00:03:33.380 --> 00:03:37.560]  光照在黑暗裡 黑暗卻不接受光
