
[00:00:00.000 --> 00:00:04.320]  我們一齊來到主的面前禱告
[00:00:04.320 --> 00:00:10.000]  蒼茵主,我們在這個章林期的第三個主日
[00:00:10.000 --> 00:00:14.800]  我們再一次,我們的心是等候祢
[00:00:14.800 --> 00:00:19.200]  我們期待著救主降生的日子
[00:00:19.200 --> 00:00:24.600]  主啊,這是歷世歷代信徒一直盼望
[00:00:24.600 --> 00:00:29.000]  是先知所傳揚,所預言的
[00:00:29.000 --> 00:00:32.400]  主啊,都成就在祢的身上
[00:00:32.400 --> 00:00:36.400]  主啊,今天我們就和他們一同來到等候
[00:00:36.400 --> 00:00:42.400]  並且我們在等候那個將來更榮耀祢的降臨
[00:00:42.400 --> 00:00:45.600]  讓我們的心真是熱切的盼望
[00:00:45.600 --> 00:00:50.000]  就好好地預備自己迎見那一天
[00:00:50.000 --> 00:00:55.800]  主啊,願祢用祢的道再一次提醒篤澤
[00:00:55.800 --> 00:01:02.800]  使祢的教會因著祢的道得以潔淨
[00:01:02.800 --> 00:01:07.800]  主啊,我們願祢來,願祢來我們的教會
[00:01:07.800 --> 00:01:14.200]  禱告奉基督耶穌聖名,阿門
[00:01:14.200 --> 00:01:19.400]  留意到最近做父母其實都挺煩惱的
[00:01:19.400 --> 00:01:26.000]  因為有人在江天發之後說兒子的女兒被人擄走了
[00:01:26.000 --> 00:01:29.000]  於是乎我們見到一夜之間
[00:01:29.000 --> 00:01:35.600]  那些在那些店舖的親子警報器就賣清光
[00:01:35.600 --> 00:01:42.800]  當然我們知道這件事背後有一個更悲痛的故事
[00:01:42.800 --> 00:01:49.200]  無論如何我們都見到最近也都有肺炎鏈球菌
[00:01:49.200 --> 00:01:51.600]  襲擊兩個幼童
[00:01:51.600 --> 00:01:55.200]  所有五歲以下的幼童家長
[00:01:55.200 --> 00:02:00.600]  爭著去打13架的肺炎鏈球菌針
[00:02:00.600 --> 00:02:03.200]  全港的疫苗都短缺
[00:02:03.200 --> 00:02:06.800]  還有最近有水貨客再重現
[00:02:06.800 --> 00:02:09.400]  奶粉荒又來到
[00:02:09.400 --> 00:02:12.400]  我們有些弟兄姊妹剛剛生了小朋友
[00:02:12.400 --> 00:02:14.600]  真的很頭痛
[00:02:14.600 --> 00:02:19.200]  我想指出其實作為父母
[00:02:19.200 --> 00:02:24.200]  守護我們的兒女那份關心是無微不至的
[00:02:24.200 --> 00:02:29.800]  有什麼事發生我們第一個真的撲到去搶喇叭搶路
[00:02:29.800 --> 00:02:32.600]  假如有一對父母
[00:02:32.600 --> 00:02:37.000]  他有一個很重要的事需要離開他的兒女
[00:02:37.000 --> 00:02:39.600]  我相信是一個很困難的決定
[00:02:39.600 --> 00:02:45.200]  他一定會交託他的兒女給一個可以信任的人
