
[00:00:00.000 --> 00:00:07.000]  不知道大家會怎樣稱呼一個信耶穌的人呢?
[00:00:07.000 --> 00:00:14.000]  很多稱呼,有人說是基督徒、門徒、信徒甚至是平信徒
[00:00:14.000 --> 00:00:20.000]  不知道大家覺得這些形容詞有沒有甚麼分別呢?
[00:00:20.000 --> 00:00:27.000]  如果有分別的話,你覺得你是怎樣去擺自己在哪一個類別裡面呢?
[00:00:27.000 --> 00:00:31.000]  在聖經裡面,基督徒的稱呼出現過三次
[00:00:31.000 --> 00:00:37.000]  門徒出現269次,信徒出現五次
[00:00:37.000 --> 00:00:43.000]  那平信徒呢?平信徒是從來沒有在聖經裡面出現過的
[00:00:43.000 --> 00:00:47.000]  雖然平信徒從來沒有在聖經裡面出現過
[00:00:47.000 --> 00:00:55.000]  但仍然有人很喜歡用平信徒的稱呼來稱呼一些信耶穌的人
[00:00:55.000 --> 00:01:01.000]  或者你會想,基督徒可能是一個統稱
[00:01:01.000 --> 00:01:06.000]  平信徒就是信耶穌的人
[00:01:06.000 --> 00:01:10.000]  可能是沒有甚麼職銜的,沒有甚麼侍奉的
[00:01:10.000 --> 00:01:16.000]  而信徒亦可能有些人覺得是信耶穌的人,不過是有參與侍奉的
[00:01:16.000 --> 00:01:20.000]  而門徒就可能更高層次了,不單止是有侍奉
[00:01:20.000 --> 00:01:25.000]  起碼要完成門徒訓練的
[00:01:25.000 --> 00:01:27.000]  不知道大家怎麼看呢?
[00:01:27.000 --> 00:01:34.000]  這個類分法又是不是合乎聖經的原則呢?
[00:01:34.000 --> 00:01:39.000]  那究竟信耶穌或者基督徒是不是有等級之分呢?
[00:01:39.000 --> 00:01:47.000]  在耶穌升天之前,耶穌在馬太福音的28章有這樣的記載
[00:01:47.000 --> 00:01:52.000]  耶穌說天上地下所有的權柄已經賜給了耶穌基督
[00:01:52.000 --> 00:01:55.000]  所以就跟門徒說你們要去
[00:01:55.000 --> 00:02:02.000]  大家留意,使萬民作我的門徒,奉父子聖靈的名,給他們施洗
[00:02:02.000 --> 00:02:07.000]  大家留意主耶穌在這裡並沒有說
[00:02:07.000 --> 00:02:14.000]  使萬民作我的信徒,然後你們要訓練他們,讓他們成為門徒
[00:02:14.000 --> 00:02:20.000]  在耶穌的命令裡面,耶穌很清楚只有一個類別
[00:02:20.000 --> 00:02:22.000]  這個就是門徒
[00:02:22.000 --> 00:02:27.000]  所有信耶穌的人就是耶穌的門徒,就是基督徒
[00:02:27.000 --> 00:02:32.000]  所以大家如果想謙卑一點,叫自己是平信徒
[00:02:32.000 --> 00:02:38.000]  你這樣自我稱呼的時候,不要被這個稱呼誤導了
[00:02:38.000 --> 00:02:44.000]  因為信耶穌得永生的最低門檻就是平信徒
