
[00:00:00.000 --> 00:00:02.960]  各位電視節目的朋友 大家好
[00:00:02.960 --> 00:00:08.640]  我們經常都聽到因為疫情的關係
[00:00:08.640 --> 00:00:14.760]  我們的世界有些人形容會進入一個新的常態
[00:00:14.760 --> 00:00:20.080]  或者對我們來說 可能我們剛開始現場崇拜
[00:00:20.080 --> 00:00:24.080]  我們又不知道何時會停止
[00:00:24.080 --> 00:00:28.240]  我們不知道放寬了一些防疫的措施
[00:00:28.240 --> 00:00:30.440]  何時又會收緊
[00:00:30.440 --> 00:00:34.760]  學校又不知道何時會開始網上教學
[00:00:34.760 --> 00:00:38.720]  我們要戴口罩不知道要戴到何時
[00:00:38.720 --> 00:00:43.920]  又或者我們注射疫苗會不會成為我們生活的一部份
[00:00:43.920 --> 00:00:50.120]  因為好像現在有些人說疫苗可能只是一段時間有效
[00:00:50.120 --> 00:00:53.440]  可能過了一段時間我們又要再注射
[00:00:53.440 --> 00:01:00.920]  不知道是否進入了一個很新的生活節奏
[00:01:00.920 --> 00:01:04.360]  或者大家近日都聽到很多關於疫情的事
[00:01:04.360 --> 00:01:06.480]  真的有一些抗疫的疲勞
[00:01:06.480 --> 00:01:11.400]  抗疫的疲勞不只是指我們經常要戴著口罩
[00:01:11.400 --> 00:01:14.240]  在街上有很多防疫的措施
[00:01:14.240 --> 00:01:17.200]  或者我們每次崇拜 可能十次又九次
[00:01:17.200 --> 00:01:20.600]  講到都有提到一些關於疫症的事
[00:01:20.600 --> 00:01:23.480]  其實今天我本來打算不講疫情的事
[00:01:23.480 --> 00:01:25.800]  找些其他事講一下
[00:01:25.800 --> 00:01:32.960]  但是這個星期突然間看到今天那段經文
[00:01:32.960 --> 00:01:34.280]  就想到一些事
[00:01:34.280 --> 00:01:37.360]  這樣就對了 看到一些事 想到一些事
[00:01:37.360 --> 00:01:40.880]  那就今晚講一些事
[00:01:40.880 --> 00:01:47.760]  無論如何我們都知道疫症已經改變了這個世界
[00:01:47.760 --> 00:01:48.960]  改變了我們的生活
[00:01:48.960 --> 00:01:53.520]  當中也揭示了一些 或者加深了一些世界的問題
[00:01:53.520 --> 00:01:55.920]  值得我們信仰群體去反省
[00:01:55.920 --> 00:02:00.120]  今天我會跟大家讀一段我們相當熟讀不得了的經文
[00:02:00.120 --> 00:02:03.720]  在《路加福音》十章二十五至三十七節
[00:02:03.720 --> 00:02:06.960]  我讀一次給大家聽
[00:02:06.960 --> 00:02:10.720]  讓大家重溫一下這段大家很熟悉的經文
[00:02:10.720 --> 00:02:15.640]  有一個律法師起來試探耶穌說
[00:02:15.640 --> 00:02:19.680]  「老師,我該做什麼才可以承受永生?」
[00:02:19.680 --> 00:02:20.960]  耶穌對他說
[00:02:20.960 --> 00:02:24.480]  「律法上寫的是什麼?你是怎樣念的?」
[00:02:24.480 --> 00:02:25.320]  他回答說
[00:02:25.320 --> 00:02:30.720]  「你要盡心、盡性、盡力、盡義愛主你的神」
[00:02:30.720 --> 00:02:32.600]  「又要愛倫如己」
[00:02:32.600 --> 00:02:33.880]  耶穌對他說
[00:02:33.880 --> 00:02:38.040]  「你回答得正確 你這樣做就會得永生」
[00:02:38.040 --> 00:02:43.200]  「那人要證明自己有理 就對耶穌說 誰是我的倫社?」
[00:02:43.200 --> 00:02:47.760]  耶穌回答 有一個人從耶路撒冷下耶利哥去
[00:02:47.760 --> 00:02:49.280]  落在強盜手中
[00:02:49.280 --> 00:02:50.760]  他們剝去他的衣服
[00:02:50.760 --> 00:02:55.640]  把他打個半死 丟下他走了
[00:02:55.640 --> 00:02:59.200]  偶然有一個祭司從那條路下來
[00:02:59.200 --> 00:03:02.080]  看見他就走另一邊過去了
[00:03:02.080 --> 00:03:04.280]  有一個利美人來到那裡
[00:03:04.280 --> 00:03:07.520]  看見他也照樣從另一邊過去了
[00:03:07.520 --> 00:03:10.920]  那時有一個撒瑪利亞人路過那裡
[00:03:10.920 --> 00:03:13.000]  看見他就動了持心
[00:03:13.000 --> 00:03:15.640]  上前用柔和酒倒在他的傷處
[00:03:15.640 --> 00:03:19.720]  包火好料扶他騎上自己的身後
[00:03:19.720 --> 00:03:23.040]  帶他到旅店旅去照應他
[00:03:23.040 --> 00:03:26.840]  第二天他拿出兩個銀幣來交給店主說
[00:03:26.840 --> 00:03:31.800]  「請你照顧他 額外的費用我回來時會還你」
[00:03:31.800 --> 00:03:36.160]  「你想這三個人哪一個是落在強盜手中那人的倫社呢?」
[00:03:36.160 --> 00:03:37.760]  他說 「是憐憫他的」
[00:03:37.760 --> 00:03:41.880]  耶穌對他說 「你去 照樣做吧」
[00:03:41.880 --> 00:03:47.480]  這段我想也是我們熟悉得不得了的一段經文
[00:03:47.480 --> 00:03:54.680]  因為可能大家主日學也一定有漫畫
[00:03:54.680 --> 00:03:57.160]  也說過這個故事 熟悉得很厲害
[00:03:57.160 --> 00:03:59.960]  我想今天因為大家都很熟悉的關係
[00:03:59.960 --> 00:04:05.400]  我只是在內容上勾畫一些可能我們會忽略了的重點
[00:04:05.400 --> 00:04:12.040]  然後和大家一起在疫症之下去思考一下這個撒瑪利亞人的故事
[00:04:12.040 --> 00:04:13.600]  首先經文的標題
[00:04:13.600 --> 00:04:15.800]  今天我們讀的沒有看到標題
[00:04:15.800 --> 00:04:20.600]  大家知道這個標題叫做「好撒瑪利亞人」
[00:04:20.600 --> 00:04:25.240]  因為他遇見一個在耶路撒冷的耶尼哥落在強盜手中
[00:04:25.240 --> 00:04:26.520]  被人打劫
[00:04:26.520 --> 00:04:28.520]  打劫之後就脫光他的衣服
[00:04:28.520 --> 00:04:32.040]  打到他半死 躺在那裡的一個人
[00:04:32.040 --> 00:04:36.360]  相對而言 祭司和利尾人經過
[00:04:36.360 --> 00:04:39.400]  對那個傷者置之不理
[00:04:39.400 --> 00:04:40.760]  去救助他
[00:04:40.760 --> 00:04:42.840]  然後還幫他付了旅費
[00:04:42.840 --> 00:04:45.480]  所以他稱得上是一個「好」
[00:04:45.480 --> 00:04:48.040]  但是大家仔細看聖經的時候
[00:04:48.040 --> 00:04:51.720]  只看經文的內容
[00:04:51.720 --> 00:04:57.400]  其實耶穌在比喻裡面從來沒有稱讚過這個撒瑪利亞人「好」
[00:04:57.400 --> 00:05:00.920]  耶穌在整段故事裡面
[00:05:00.920 --> 00:05:03.160]  他沒有稱讚過這個撒瑪利亞人「好」
[00:05:03.160 --> 00:05:05.000]  耶穌只是很客觀地說
[00:05:05.000 --> 00:05:07.160]  他「動了慈心」
[00:05:07.160 --> 00:05:09.080]  大家也知道聖經的標題
[00:05:09.080 --> 00:05:11.560]  是後人歸納了這段之後
[00:05:11.560 --> 00:05:12.680]  斷句加上去的
[00:05:12.680 --> 00:05:14.920]  其實耶穌沒有稱讚過這個撒瑪利亞人「好」
[00:05:14.920 --> 00:05:17.320]  耶穌只是說他「動了慈心」
[00:05:17.320 --> 00:05:21.560]  所以去救那個人
[00:05:21.560 --> 00:05:23.160]  事實上各位弟兄姐妹
[00:05:23.160 --> 00:05:25.160]  你平心而論想想
[00:05:25.160 --> 00:05:29.000]  其實「動了慈心」或者只是人之常情
[00:05:29.000 --> 00:05:31.560]  正如孟子也說過
[00:05:31.560 --> 00:05:32.760]  如果大家有熟悉的話
[00:05:32.760 --> 00:05:36.360]  孟子說過如果有一個小孩掉到井裡的時候
[00:05:36.360 --> 00:05:37.560]  可能大家都記得
[00:05:37.560 --> 00:05:39.960]  一個小孩掉到井裡的時候
[00:05:39.960 --> 00:05:42.360]  正常的人或者每一個人
[00:05:42.360 --> 00:05:44.520]  他都會有一種惻隱之心
[00:05:44.520 --> 00:05:45.960]  就是你看到我掉到井裡
[00:05:45.960 --> 00:05:47.000]  可能第一個念頭
[00:05:47.000 --> 00:05:48.280]  孟子說的第一個念頭
[00:05:48.280 --> 00:05:50.280]  第一個念頭是「哎呀」
[00:05:50.280 --> 00:05:51.480]  你一定有這樣的心
[00:05:51.480 --> 00:05:53.160]  第二個念頭是「黃天生該死」
[00:05:53.160 --> 00:05:54.680]  那就是第二個念頭了
[00:05:54.680 --> 00:05:56.360]  第一個念頭你一定會覺得「哎呀」
[00:05:56.360 --> 00:05:57.880]  有點可惜
[00:05:57.880 --> 00:06:00.040]  孟子說這個其實是人之常情
[00:06:00.040 --> 00:06:02.760]  所謂「人皆有惻隱之心」
[00:06:02.760 --> 00:06:04.840]  當然這個撒瑪利亞人
[00:06:04.840 --> 00:06:08.120]  不是停留在心裡面的慈心階段
[00:06:08.120 --> 00:06:10.360]  去付諸行動去救這個傷者
[00:06:10.360 --> 00:06:12.200]  但是怎樣說都好
[00:06:12.200 --> 00:06:15.400]  我們或者仔細去看聖經
[00:06:15.400 --> 00:06:17.240]  或者仔細去問自己
[00:06:17.240 --> 00:06:18.840]  其實這個撒瑪利亞人
[00:06:18.840 --> 00:06:21.560]  只是做了他應該做的事
[00:06:21.560 --> 00:06:24.600]  他只是做了他應該做的事
[00:06:24.600 --> 00:06:27.160]  因為我們都會批評利美人
[00:06:27.160 --> 00:06:29.240]  和祭司見死不救
[00:06:29.240 --> 00:06:32.600]  如果你換成是你的話
[00:06:32.600 --> 00:06:33.960]  我相信很多人都會說
[00:06:33.960 --> 00:06:36.040]  「我都會這樣做」
[00:06:36.040 --> 00:06:40.360]  所以耶穌可能只是說一個人之常情的東西
[00:06:40.360 --> 00:06:43.240]  當然我們也平心而論
[00:06:43.240 --> 00:06:44.600]  加這個標題
[00:06:44.600 --> 00:06:48.920]  可能事實上他真的動了慈心
[00:06:48.920 --> 00:06:50.280]  這一次幫助人
[00:06:50.280 --> 00:06:52.680]  這位撒瑪利亞人也是付出了不少的
[00:06:52.680 --> 00:06:54.440]  他付出了金錢
[00:06:54.440 --> 00:06:56.120]  他也付出了一些心力
[00:06:56.120 --> 00:06:58.200]  甚或有一些歷史研究說
[00:06:58.200 --> 00:07:01.160]  那條山路其實很危險的
[00:07:01.160 --> 00:07:03.720]  有很多行劫的
[00:07:03.720 --> 00:07:06.680]  甚或有人會假裝被人打傷
[00:07:06.680 --> 00:07:08.760]  然後你去救他的時候
[00:07:08.760 --> 00:07:11.080]  就會被人再打劫
[00:07:11.080 --> 00:07:13.560]  不過這個說法我有一點點懷疑
[00:07:13.560 --> 00:07:16.280]  在山上你不用找人假裝
[00:07:16.280 --> 00:07:17.880]  一堆人走出去都可以
[00:07:17.880 --> 00:07:18.680]  不用搞那麼多東西
[00:07:18.680 --> 00:07:19.720]  這個我有一點點懷疑
[00:07:19.720 --> 00:07:21.400]  不過怎樣都好
[00:07:21.400 --> 00:07:25.160]  他真的做了一個他應該做的事
[00:07:25.160 --> 00:07:27.400]  另外一個我們很值得留意的地方
[00:07:27.400 --> 00:07:29.400]  我們很多時候都看撒瑪利亞的故事
[00:07:29.400 --> 00:07:31.240]  但是各位我們要看前一點
[00:07:31.240 --> 00:07:33.480]  就是看經文的開始
[00:07:33.480 --> 00:07:36.120]  這個比喻是怎樣來的呢?
[00:07:36.120 --> 00:07:38.600]  這個比喻其實是耶穌和律法師
[00:07:38.600 --> 00:07:40.440]  在討論一個很關鍵的問題
[00:07:40.440 --> 00:07:42.040]  各位弟兄姊妹
[00:07:42.040 --> 00:07:45.320]  這個問題是我該做什麼
[00:07:45.320 --> 00:07:49.080]  才可以承受永生
[00:07:49.080 --> 00:07:51.400]  整個撒瑪利亞人的故事
[00:07:51.400 --> 00:07:56.280]  其實是在這句問題底下出現的
[00:07:56.280 --> 00:07:59.240]  律法師問我要做些什麼
[00:07:59.240 --> 00:08:01.480]  才可以承受永生
[00:08:01.480 --> 00:08:02.840]  意思大概就是
[00:08:02.840 --> 00:08:07.240]  我要做些什麼才配得永生呢?
[00:08:07.240 --> 00:08:09.160]  我們都知道
[00:08:09.160 --> 00:08:11.960]  用一個常人的角度去理解
[00:08:11.960 --> 00:08:15.160]  我們基督徒信的我們就得永生
[00:08:15.160 --> 00:08:17.320]  但是如果用一個常人的理解
[00:08:17.320 --> 00:08:20.600]  我們總覺得好像考試一樣
[00:08:20.600 --> 00:08:21.800]  你升班
[00:08:21.800 --> 00:08:22.440]  每個人都升班
[00:08:22.440 --> 00:08:24.120]  我們這裡的每個人都升班
[00:08:24.120 --> 00:08:26.920]  總是有些人配升班一點
[00:08:26.920 --> 00:08:29.240]  有些人就拉車邊一點
[00:08:29.240 --> 00:08:30.280]  這些很正常
[00:08:30.280 --> 00:08:32.440]  永生可能在我們常人都覺得
[00:08:32.440 --> 00:08:33.480]  我們大家都永生
[00:08:33.480 --> 00:08:36.360]  有一個他底一點的
[00:08:36.360 --> 00:08:38.760]  我就拉車邊一點的
[00:08:38.760 --> 00:08:40.200]  剛剛好
[00:08:40.200 --> 00:08:42.680]  到國筆了
[00:08:42.680 --> 00:08:44.840]  這個問題是在說
[00:08:44.840 --> 00:08:47.640]  我們要做些什麼才配得起
[00:08:47.640 --> 00:08:50.520]  承受得起永生
[00:08:50.520 --> 00:08:53.080]  這個這樣的祝福呢?
[00:08:53.080 --> 00:08:55.240]  如果用這個角度去看
[00:08:55.240 --> 00:08:56.840]  耶穌這個比喻
[00:08:56.840 --> 00:08:58.840]  撒瑪利亞人所做的
[00:08:58.840 --> 00:09:01.080]  就是和我們所說的永生
[00:09:01.080 --> 00:09:04.280]  或者人生一個終極的課題有關
[00:09:04.280 --> 00:09:06.120]  又或者是人生其中一個
[00:09:06.120 --> 00:09:08.840]  耶穌主要誡命
[00:09:08.840 --> 00:09:12.120]  因為這位律法師後來也說了
[00:09:12.120 --> 00:09:13.160]  要盡心盡性
[00:09:13.160 --> 00:09:14.760]  一個我們很熟悉的一個誡命
[00:09:14.760 --> 00:09:15.720]  所以這個各位
[00:09:15.720 --> 00:09:17.640]  不是一個普通的兒童故事
[00:09:17.640 --> 00:09:21.080]  或者不是一個普通的聖經的比喻那麼簡單
[00:09:21.080 --> 00:09:24.120]  這個是一個在說我們人生的意義
[00:09:24.120 --> 00:09:26.600]  或者人生在說永生的時候
[00:09:26.600 --> 00:09:30.040]  是我們人生一個終極使命的一個問題
[00:09:30.040 --> 00:09:33.000]  所以值得仔細地去想一想
[00:09:33.000 --> 00:09:37.800]  或者思想這個經文究竟在說什麼
[00:09:37.800 --> 00:09:39.400]  因為這個經文的脈絡
[00:09:39.400 --> 00:09:42.680]  就是一個配得永生的問題
[00:09:42.680 --> 00:09:44.520]  第三,這位律法師
[00:09:44.520 --> 00:09:47.000]  自覺他對誡命已經做得很好
