
[00:00:00.000 --> 00:00:02.320]  一個星期前,師母去了加拿大
[00:00:02.320 --> 00:00:05.560]  本來很想和她去的,因爲是一個世侄結婚
[00:00:05.560 --> 00:00:08.360]  應該是爲我們的朋友高興
[00:00:08.360 --> 00:00:12.080]  但是其實今年教會也太多事了
[00:00:12.080 --> 00:00:14.640]  所以我覺得,不如你去吧,我不去了
[00:00:14.640 --> 00:00:16.760]  我有整個星期的時間
[00:00:16.760 --> 00:00:19.360]  我就可以追回一些
[00:00:19.360 --> 00:00:23.640]  我覺得應該做,但沒有時間去做的事情
[00:00:23.640 --> 00:00:26.120]  師母就在星期三坐飛機走了
[00:00:26.120 --> 00:00:28.080]  星期四,星期五,星期六,星期日
[00:00:28.080 --> 00:00:32.880]  你知道週末,教會牧師是最忙的
[00:00:32.880 --> 00:00:34.600]  時間很快就過去了
[00:00:34.600 --> 00:00:38.040]  晚上打電話給師母,知道她很開心
[00:00:38.040 --> 00:00:39.840]  我又很開心,她又很開心
[00:00:39.840 --> 00:00:42.480]  我就說大家睡覺,沒事
[00:00:42.480 --> 00:00:44.440]  多好啊
[00:00:44.440 --> 00:00:47.440]  有時候我們也喜歡這樣的時間
[00:00:47.440 --> 00:00:49.680]  但是到星期一
[00:00:49.680 --> 00:00:51.520]  星期一就有點不一樣了
[00:00:51.520 --> 00:00:54.600]  爲什麼呢?星期一是牧師放假的
[00:00:54.600 --> 00:00:58.200]  通常每個星期一,我和師母都會出去大半天
[00:00:58.200 --> 00:01:02.200]  通常會喫早午餐
[00:01:02.200 --> 00:01:04.280]  然後去沙灘散散步
[00:01:04.280 --> 00:01:09.240]  或者如果下雨,天氣不好,就會去走走磨
[00:01:09.240 --> 00:01:13.640]  再不然的話,我們都會去行山
[00:01:13.640 --> 00:01:14.880]  我們喜歡行山
[00:01:14.880 --> 00:01:19.320]  唯一一個我們可以一起做的運動就是行山
[00:01:19.320 --> 00:01:23.560]  但是星期一,我如常地早起牀
[00:01:23.560 --> 00:01:25.320]  但是師母不在我旁邊
[00:01:25.320 --> 00:01:28.120]  忽然之間有點失落的感覺
[00:01:28.120 --> 00:01:30.960]  今天做什麼好呢?師母不在
[00:01:30.960 --> 00:01:35.320]  沒理由放假,你還要去做教會的事
[00:01:35.320 --> 00:01:37.400]  在那個時候,忽然有個思想
[00:01:37.400 --> 00:01:39.520]  不如去行山吧
[00:01:39.520 --> 00:01:42.640]  照舊自己一個人可以去
[00:01:42.640 --> 00:01:47.280]  除了prayer retreat之外
[00:01:47.280 --> 00:01:49.000]  我很少做prayer walk
[00:01:49.000 --> 00:01:51.400]  多數是師母和我一起去
[00:01:51.400 --> 00:01:55.040]  但是那天,三個禮拜前,那個禮拜一
[00:01:55.040 --> 00:01:57.440]  我自己一個人走出上山
[00:01:57.440 --> 00:02:00.200]  一路走,一路祈禱
[00:02:00.200 --> 00:02:01.720]  一路和神們聊天
[00:02:01.720 --> 00:02:03.480]  爲家裏每一個人禱告
[00:02:03.480 --> 00:02:05.160]  爲教會禱告
[00:02:05.160 --> 00:02:07.400]  然後心裏有什麼問題
[00:02:07.400 --> 00:02:09.600]  和神們聊聊天
[00:02:09.600 --> 00:02:12.200]  聽聽神有什麼要跟我說
[00:02:12.200 --> 00:02:14.040]  哇,我很享受那個時間
[00:02:14.040 --> 00:02:18.600]  在那個一個多小時的旅程當中
[00:02:18.600 --> 00:02:21.480]  天父上帝給了我一個很熟悉
[00:02:21.480 --> 00:02:24.200]  我不是第一次去的旅程
[00:02:24.200 --> 00:02:25.560]  在一個很熟悉的環境裏
[00:02:25.560 --> 00:02:28.600]  見到很多不同的人和不同的花株樹木的時候
[00:02:28.600 --> 00:02:30.560]  有很多的啓發
[00:02:30.560 --> 00:02:32.480]  有很多新的感受
[00:02:32.480 --> 00:02:34.200]  哇,令我回到家之後
[00:02:34.200 --> 00:02:35.520]  哇,真的挺好的
[00:02:35.520 --> 00:02:38.920]  很享受那段時間
[00:02:38.920 --> 00:02:41.560]  在我心裏想
[00:02:41.560 --> 00:02:43.360]  想到大家
[00:02:43.360 --> 00:02:44.760]  特別是那些在教會里面
[00:02:44.760 --> 00:02:49.280]  我經常見到有參與教會服侍的
[00:02:49.280 --> 00:02:50.920]  我在想
[00:02:50.920 --> 00:02:52.760]  每個星期大家回來教會
[00:02:52.760 --> 00:02:53.840]  當然敬拜神
[00:02:53.840 --> 00:02:58.280]  但是我發現很多弟兄姐妹回來都在服侍
[00:02:58.280 --> 00:02:59.680]  很忠心地服侍
[00:02:59.680 --> 00:03:01.880]  哇,我心裏很感動,很感恩
[00:03:01.880 --> 00:03:04.480]  這是我其中一個覺得很自豪的地方
[00:03:04.480 --> 00:03:05.960]  回點人,要麼不要侍奉
[00:03:05.960 --> 00:03:07.920]  一侍奉的時候,個個是盡心儘性
[00:03:07.920 --> 00:03:10.120]  因爲他知道是服侍神,不是服侍人
[00:03:10.120 --> 00:03:12.320]  感謝讚美主
[00:03:12.320 --> 00:03:16.200]  這就是那一刻神給我的一個看法
[00:03:16.200 --> 00:03:21.080]  教會應該是一個靈性的加油站
[00:03:21.080 --> 00:03:23.880]  一個屬靈的加油站
[00:03:23.880 --> 00:03:24.840]  但是我發現很多時候
[00:03:24.840 --> 00:03:26.400]  弟兄姐妹回來
[00:03:26.400 --> 00:03:27.560]  沒有加油
[00:03:27.560 --> 00:03:29.160]  是靈加油
[00:03:29.160 --> 00:03:30.040]  不是這個零
[00:03:30.040 --> 00:03:31.320]  zero那個零
[00:03:31.320 --> 00:03:32.680]  是靈加油
[00:03:32.680 --> 00:03:33.600]  應該回來加油
[00:03:33.600 --> 00:03:34.760]  但是加不到
[00:03:34.760 --> 00:03:39.880]  不得已還在耗油
[00:03:39.880 --> 00:03:41.000]  忽然之間我就覺得
