
[00:00:00.000 --> 00:00:02.560]  趁著我們願意,我們在當中
[00:00:02.560 --> 00:00:05.380]  你給我們很大的英許,很大的權柄
[00:00:05.380 --> 00:00:07.420]  就是我們可以祈禱
[00:00:07.420 --> 00:00:09.220]  我們可以祈禱
[00:00:09.220 --> 00:00:13.300]  我們可以祈禱將我們的需要,無論是
[00:00:13.300 --> 00:00:16.380]  我們很多的祈求
[00:00:16.380 --> 00:00:19.460]  或者對你好大的感恩和讚美
[00:00:19.460 --> 00:00:21.760]  我們都可以透過禱告
[00:00:21.760 --> 00:00:26.100]  去告訴你,我們可以透過禱告與你結連在一起
[00:00:26.100 --> 00:00:27.380]  多謝你
[00:00:27.900 --> 00:00:30.980]  剛才我們在當中和弟兄姊妹的祈禱
[00:00:30.980 --> 00:00:33.800]  我們都願意擺在你面前
[00:00:33.800 --> 00:00:37.120]  主,夢祢的垂聽,夢祢的娛樂
[00:00:37.120 --> 00:00:40.200]  我們願意將這段時間,我們的貢獻仰望在你面前
[00:00:40.200 --> 00:00:43.260]  你自己親自和我們每一個人說話
[00:00:43.260 --> 00:00:45.560]  每一個生命去建造
[00:00:45.560 --> 00:00:46.600]  去鼓勵
[00:00:46.600 --> 00:00:49.160]  聽我們的祈禱,放我救主耶穌基督的名球
[00:00:49.160 --> 00:00:49.920]  阿們
[00:00:49.920 --> 00:00:50.940]  好呀
[00:00:55.800 --> 00:00:58.360]  大家近來有留意新聞和電視
[00:00:58.360 --> 00:00:59.400]  新聞
[00:00:59.400 --> 00:01:02.460]  知道有間叫榮記酒家
[00:01:02.460 --> 00:01:05.540]  知道有兩兄弟因為
[00:01:05.540 --> 00:01:09.880]  家族的生意問題罵上法庭
[00:01:09.880 --> 00:01:13.720]  糾紛開始在兩年多前
[00:01:13.720 --> 00:01:16.040]  這兩兄弟的爸爸
[00:01:16.040 --> 00:01:20.120]  榮記的創辦人在2004年過世
[00:01:20.120 --> 00:01:22.180]  他過世之後
[00:01:22.440 --> 00:01:27.320]  他就安排了事實,他過世之前已經將自己
