
[00:00:00.000 --> 00:00:03.000]  大家見到我穿了長袖衫
[00:00:03.000 --> 00:00:06.000]  就不太看到我的膚色的改變
[00:00:06.000 --> 00:00:10.000]  因為我在這裡就鴛鴦式
[00:00:10.000 --> 00:00:19.000]  我和30位頂尖輩去了約旦、以色列、埃及
[00:00:19.000 --> 00:00:22.000]  我是第三次去了
[00:00:22.000 --> 00:00:24.000]  但每一次去到以色列
[00:00:24.000 --> 00:00:26.000]  特別是去到耶路撒冷
[00:00:26.000 --> 00:00:28.000]  有很多的感受
[00:00:28.000 --> 00:00:31.000]  這次我去了一個
[00:00:31.000 --> 00:00:33.000]  我上兩次都沒有去過的地方
[00:00:33.000 --> 00:00:35.000]  叫做西城隧道
[00:00:35.000 --> 00:00:37.000]  西城隧道
[00:00:37.000 --> 00:00:39.000]  西城或者叫西牆
[00:00:39.000 --> 00:00:41.000]  就是聖殿山
[00:00:41.000 --> 00:00:43.000]  在西邊的一幅城牆
[00:00:43.000 --> 00:00:45.000]  在戰爭裡面
[00:00:45.000 --> 00:00:48.000]  唯一這幅城牆暫時沒有受破壞
[00:00:48.000 --> 00:00:50.000]  其實它是戰爭的時候
[00:00:50.000 --> 00:00:52.000]  塌了上面一截
[00:00:52.000 --> 00:00:54.000]  後來現在修補了
[00:00:54.000 --> 00:00:56.000]  但原來我們在地面看到的
[00:00:56.000 --> 00:01:01.000]  就是原來聖殿山的遺跡裡面的三分之一
[00:01:01.000 --> 00:01:05.000]  還有三分之二在現在的地下
[00:01:05.000 --> 00:01:07.000]  因為西城隧道
[00:01:07.000 --> 00:01:11.000]  就是在牆附近走下去
[00:01:11.000 --> 00:01:13.000]  現在發掘了出來
[00:01:13.000 --> 00:01:18.000]  底下還有大概三分之二的城牆
[00:01:18.000 --> 00:01:22.000]  其中一個很震撼
[00:01:22.000 --> 00:01:27.000]  就是你看到有一塊城牆的石
[00:01:27.000 --> 00:01:29.000]  一塊塊
[00:01:29.000 --> 00:01:31.000]  你猜有多重
[00:01:31.000 --> 00:01:36.000]  三百二十噸
[00:01:36.000 --> 00:01:41.000]  三百二十噸的一塊石頭
[00:01:41.000 --> 00:01:42.000]  完整一塊
[00:01:42.000 --> 00:01:45.000]  你想一下這塊石頭是雕造出來
[00:01:45.000 --> 00:01:48.000]  一個長方形盒子的形象
[00:01:48.000 --> 00:01:51.000]  就是說原來這塊石頭不止三百二十噸
[00:01:51.000 --> 00:01:54.000]  但是它是其中一塊被揀選
[00:01:54.000 --> 00:01:57.000]  作為城牆的一塊石頭
[00:01:57.000 --> 00:01:59.000]  擺在那裡
[00:01:59.000 --> 00:02:01.000]  現在我們去到
[00:02:01.000 --> 00:02:03.000]  可能在哭場裡面你發覺
[00:02:03.000 --> 00:02:06.000]  猶太人真的很自大
