
[00:00:00.000 --> 00:00:05.320]  今日我的題目就是「寧靜志遠」
[00:00:05.320 --> 00:00:12.460]  「寧靜志遠」是出自諸葛亮的介子書
[00:00:12.460 --> 00:00:17.540]  諸葛亮介子書是講給兒子聽的
[00:00:17.540 --> 00:00:21.880]  他說「扶君子之行 靜以修身 儉以養德
[00:00:21.880 --> 00:00:26.320]  非淡薄 無以明志 非寧靜 無以志遠
[00:00:26.320 --> 00:00:34.020]  扶學須靜也 才須學也 非學無以廣材 非智無以成學」
[00:00:34.020 --> 00:00:38.940]  他的意思是做人需要心靜
[00:00:38.940 --> 00:00:43.520]  然後才可以養到自己的美德
[00:00:43.520 --> 00:00:47.520]  當然淡薄和明智大家都很清楚
[00:00:47.520 --> 00:00:50.900]  做人不要追求那麼多名利
[00:00:50.900 --> 00:00:54.820]  他接著說「非寧靜 無以志遠」
[00:00:54.820 --> 00:00:57.940]  即是說你不寧靜就不能走得很遠
[00:00:57.940 --> 00:01:01.620]  讀書或者做學問是需要靜的
[00:01:01.620 --> 00:01:08.020]  你讓人不讀書就無以廣材 無以為志
[00:01:08.020 --> 00:01:12.400]  所以這段介子書我抽了「寧靜志遠」出來
[00:01:12.400 --> 00:01:15.100]  今天跟大家分享這個題目
[00:01:15.100 --> 00:01:18.900]  多謝陳牧師剛才的介紹
[00:01:18.900 --> 00:01:23.100]  其實我認識的陳牧師是2017年
[00:01:23.100 --> 00:01:25.820]  我和他一起去德國
[00:01:25.820 --> 00:01:29.900]  那時紀念馬丁路德的五百週年
[00:01:29.900 --> 00:01:34.700]  我們一起在德國相聚了兩個星期
[00:01:34.700 --> 00:01:39.420]  透過浸會的教友Tony Wong
[00:01:39.420 --> 00:01:42.620]  和他太太Yvonne Tony 即是黃神安
[00:01:42.620 --> 00:01:44.400]  我認識了陳牧師
[00:01:44.400 --> 00:01:51.300]  陳牧師和陳師母是我一個非常尊重的學者
[00:01:51.300 --> 00:01:54.300]  對我來說是一個長輩
[00:01:54.300 --> 00:01:58.300]  在這裡我很高興認識了陳牧師
[00:01:58.300 --> 00:02:01.300]  陳牧師的介紹
[00:02:01.300 --> 00:02:03.300]  我是一個駐紮建築師
[00:02:03.300 --> 00:02:06.300]  亦都是在大學裏面教書
[00:02:06.300 --> 00:02:10.700]  其實這兩個位置是很矛盾的
[00:02:10.700 --> 00:02:13.300]  因為無論你做建築師也好
[00:02:13.300 --> 00:02:15.300]  你做工程師也好 做律師也好
[00:02:15.300 --> 00:02:20.300]  做醫生也好 或者做任何的教師也好
[00:02:20.300 --> 00:02:23.300]  你是要解決人的問題
[00:02:23.300 --> 00:02:34.300]  所以專業訓練是訓練到我們要解決問題的
[00:02:34.300 --> 00:02:36.300]  建築師是解決居住的問題
[00:02:36.300 --> 00:02:40.300]  城市規劃師是解決城市交通制備的問題
[00:02:40.300 --> 00:02:45.300]  但是相反來說做學者是製造問題的
[00:02:45.300 --> 00:02:48.300]  一定要問為什麼
[00:02:48.300 --> 00:02:53.300]  所以在這兩個身份當中其實是很矛盾的
[00:02:53.300 --> 00:02:56.300]  過往三十年在大學教書
[00:02:56.300 --> 00:02:58.300]  其實這兩個身份的張力
[00:02:58.300 --> 00:03:01.300]  是令到我很掙扎怎樣前行
[00:03:01.300 --> 00:03:03.300]  怎樣去找到自己
[00:03:03.300 --> 00:03:04.300]  怎樣平衡到
[00:03:04.300 --> 00:03:09.300]  怎樣在安寧寧靜裏面找回自己
[00:03:09.300 --> 00:03:14.300]  所以今天就和大家分享這個矛盾點
[00:03:14.300 --> 00:03:18.300]  人生裏面每個人的生命都不同
[00:03:18.300 --> 00:03:20.300]  一定有很多矛盾點
[00:03:20.300 --> 00:03:24.300]  但是自己怎樣去解決自己的矛盾點
[00:03:24.300 --> 00:03:27.300]  這個是我今天和大家要分享的
[00:03:27.300 --> 00:03:31.300]  陳牧師我都知道因為認識了他兩年
[00:03:31.300 --> 00:03:33.300]  他都很喜歡去旅行
[00:03:33.300 --> 00:03:35.300]  我都很喜歡去旅行
[00:03:35.300 --> 00:03:39.300]  但是我有時候都很矛盾
[00:03:39.300 --> 00:03:43.300]  為什麼自己去旅行是為了什麼呢
[00:03:43.300 --> 00:03:47.300]  一定要找一些安慰自己的說話
[00:03:47.300 --> 00:03:51.300]  然後有個藉口去安心去旅行
[00:03:51.300 --> 00:03:54.300]  聖奧古斯丁曾經說過
[00:03:54.300 --> 00:03:58.300]  The world is a book and those who do not travel read only a page
[00:03:58.300 --> 00:04:00.300]  這個說話令到很安慰
[00:04:00.300 --> 00:04:03.300]  因為聖奧古斯丁都說
[00:04:03.300 --> 00:04:06.300]  這個世界就好像不用拍一個泡棍給人
[00:04:06.300 --> 00:04:10.300]  這個世界是這麼大
[00:04:10.300 --> 00:04:13.300]  就好像一本書一樣如果你不去旅行
[00:04:13.300 --> 00:04:15.300]  你就只能看一頁
[00:04:15.300 --> 00:04:18.300]  所以這個是非常好的藉口
[00:04:18.300 --> 00:04:22.300]  另外一個泰國的哲學家Marshall Paul said
[00:04:22.300 --> 00:04:24.300]  The real voyage of discovery
[00:04:24.300 --> 00:04:28.300]  consists not in seeing new landscapes
[00:04:28.300 --> 00:04:30.300]  but in having new eyes
[00:04:30.300 --> 00:04:33.300]  他說真是一個旅程
[00:04:33.300 --> 00:04:42.300]  就不只是我們去看一些新的山川景物
[00:04:42.300 --> 00:04:47.300]  但是需要自己有個新的腦袋
[00:04:47.300 --> 00:04:50.300]  新的思維去看這件事
[00:04:50.300 --> 00:04:53.300]  所以今天我就從我自己的教學當中
[00:04:53.300 --> 00:04:59.300]  去抽一些我自己教學的經驗去和大家分享
[00:04:59.300 --> 00:05:02.300]  去旅行怎樣去看東西
[00:05:02.300 --> 00:05:04.300]  剛才陳牧師都介紹
[00:05:04.300 --> 00:05:07.300]  我是做很多聯合國世界文化遺產
[00:05:07.300 --> 00:05:09.300]  什麼叫世界文化遺產呢
[00:05:09.300 --> 00:05:15.300]  就是有很多不同的地方
[00:05:15.300 --> 00:05:19.300]  有很多自然的景物或者人為的景物
[00:05:19.300 --> 00:05:27.300]  是令到那件事大家都覺得很值得去看的
[00:05:27.300 --> 00:05:32.300]  譬如上個月我和我的教會去了土耳其和希臘
[00:05:32.300 --> 00:05:36.300]  去了普羅腳中的一個旅程
[00:05:36.300 --> 00:05:39.300]  去了那些哥倫多伊芬索這些地方
[00:05:39.300 --> 00:05:43.300]  有些團友分享他們的感受
[00:05:43.300 --> 00:05:46.300]  令到我有一點心情沉重了
[00:05:46.300 --> 00:05:48.300]  我們去了這兩個星期
[00:05:48.300 --> 00:05:51.300]  看來看去都是那些圖倫拜雅
[00:05:51.300 --> 00:05:52.300]  其實對我來說
[00:05:52.300 --> 00:05:57.300]  去了11天去了十幾個世界文化遺產
[00:05:57.300 --> 00:05:59.300]  那些是正事來的
[00:05:59.300 --> 00:06:01.300]  為什麼你說他們是圖倫拜雅呢
[00:06:01.300 --> 00:06:06.300]  有些人是覺得這些只不過是遺址
[00:06:06.300 --> 00:06:07.300]  有沒有看呢
[00:06:07.300 --> 00:06:09.300]  看哥倫多也是這樣
[00:06:09.300 --> 00:06:10.300]  看伊芬索也是這樣
[00:06:10.300 --> 00:06:11.300]  看這些石頭
[00:06:11.300 --> 00:06:12.300]  爛了的石頭
[00:06:12.300 --> 00:06:13.300]  看雅典也是這樣
[00:06:13.300 --> 00:06:17.300]  所以我們怎樣去從這個旅程當中
[00:06:17.300 --> 00:06:19.300]  好像剛才這樣說
[00:06:19.300 --> 00:06:24.300]  我們用一個新的思維去看這個世界的事物呢
[00:06:24.300 --> 00:06:26.300]  所以今天就和各位分享
[00:06:26.300 --> 00:06:30.300]  我自己在學校教書的一些心得
[00:06:30.300 --> 00:06:32.300]  什麼叫做世界文化遺產呢
[00:06:32.300 --> 00:06:36.300]  就是每個地方有些很美的自然景物
[00:06:36.300 --> 00:06:39.300]  或者人為的建築
[00:06:39.300 --> 00:06:44.300]  令到因為它的價值是全世界人
[00:06:44.300 --> 00:06:47.300]  當然它是要經過每年的六月七月
[00:06:47.300 --> 00:06:50.300]  在一個聯合國的大會裏面審核的
[00:06:50.300 --> 00:06:52.300]  應該有百多個國家一起審核
[00:06:52.300 --> 00:06:54.300]  最主要就是說
[00:06:54.300 --> 00:06:56.300]  他們大家都覺得這些地方
[00:06:56.300 --> 00:06:58.300]  是有一個共同的普世的價值
[00:06:58.300 --> 00:07:00.300]  Outstanding Universal Value
[00:07:00.300 --> 00:07:02.300]  大家記一記這個東西
