
[00:00:00.000 --> 00:00:04.600]  今天和大家思想一個題目就是享受人生的季節
[00:00:04.600 --> 00:00:08.240]  我不知道頂屎會不會也有一個情況
[00:00:08.240 --> 00:00:12.040]  我想起我小時候很想很快長大一點
[00:00:12.040 --> 00:00:16.680]  小時候想著什麼時候可以拿到成人身分證
[00:00:16.680 --> 00:00:17.920]  我十八歲的時候
[00:00:17.920 --> 00:00:23.560]  大家都知道以前小時候很多事情十八歲以下不准做
[00:00:23.560 --> 00:00:25.680]  你十八歲拿到成人身分證
[00:00:25.680 --> 00:00:30.680]  你就可以至少去戲院看戲
[00:00:30.680 --> 00:00:32.760]  有些十八歲以下不可以看的
[00:00:32.760 --> 00:00:36.040]  或者去某一些場所
[00:00:36.040 --> 00:00:41.480]  或者當有些頂屎妹到你長大的時候
[00:00:41.480 --> 00:00:44.920]  又很想小時候有多好
[00:00:44.920 --> 00:00:47.120]  那時候無牽無掛
[00:00:47.120 --> 00:00:50.600]  沒那麼多事情要顧著
[00:00:50.600 --> 00:00:52.880]  當你工作的時候
[00:00:52.880 --> 00:01:00.680]  小時候想著 特別小時候我也是一個比較貧窮的情況裡面長大
[00:01:00.680 --> 00:01:02.320]  其實我也是住在港島
[00:01:02.320 --> 00:01:04.520]  住在修基灣明華大廈
[00:01:04.520 --> 00:01:09.680]  所以我出沒比較多都是在修基灣那一帶
[00:01:09.680 --> 00:01:11.600]  當然那時候也有一個好處
[00:01:11.600 --> 00:01:12.920]  搭巴士最遠
[00:01:12.920 --> 00:01:19.000]  搭二號巴士就來到差不多西環那個地方
[00:01:19.000 --> 00:01:23.200]  這裡就比較少了 這裡就比較遠一點
[00:01:23.200 --> 00:01:27.560]  這個就是我們人的那個情況
[00:01:27.560 --> 00:01:31.000]  到你長大的時候就想變小
[00:01:31.000 --> 00:01:34.200]  在小的時候就很想長大
[00:01:34.200 --> 00:01:36.560]  有時候我們人生也是這樣
[00:01:36.560 --> 00:01:39.680]  我們不是在一個階段的時候就想像那個階段
[00:01:39.680 --> 00:01:42.920]  可能有些頂屎妹現在都很忙碌在你的工作裡面
[00:01:42.920 --> 00:01:45.280]  你都在想我什麼時候退休
[00:01:45.280 --> 00:01:50.880]  退休的時候我就能夠和太太或者和我的丈夫
[00:01:50.880 --> 00:01:54.560]  和誰可以遊山玩水去很多地方
[00:01:54.560 --> 00:01:57.760]  但到你退休的時候
[00:01:57.760 --> 00:01:59.400]  那可能又要面對什麼?
[00:01:59.400 --> 00:02:00.920]  你身體的情況
[00:02:00.920 --> 00:02:03.360]  有點像我的太太師母
[00:02:03.360 --> 00:02:05.840]  現在有些地方都不可能
[00:02:05.840 --> 00:02:07.960]  當然她都仍然不需要坐輪椅
[00:02:07.960 --> 00:02:09.760]  不過年紀大了
[00:02:09.760 --> 00:02:11.440]  可能身體退化了
[00:02:11.440 --> 00:02:13.480]  如果現在要去黃山
[00:02:13.480 --> 00:02:15.600]  舉例 可能要想一想
[00:02:15.600 --> 00:02:18.320]  黃山挑戰性比較大
