
[00:00:00.000 --> 00:00:02.100]  靈父堂弟兄姊妹 主佑平安
[00:00:02.100 --> 00:00:04.900]  在我開始之前 大家要好祈禱
[00:00:04.900 --> 00:00:06.600]  親愛的八天父
[00:00:06.600 --> 00:00:09.900]  我們在2021年再次在你面前
[00:00:09.900 --> 00:00:11.700]  再次感謝你
[00:00:11.700 --> 00:00:13.700]  因為你的說話
[00:00:13.700 --> 00:00:16.700]  你的靈
[00:00:16.700 --> 00:00:19.900]  每天都跟我們說話
[00:00:19.900 --> 00:00:21.400]  提醒我們
[00:00:21.400 --> 00:00:23.900]  帶領我們走人生路
[00:00:23.900 --> 00:00:25.900]  雖然我們經過2020年
[00:00:25.900 --> 00:00:27.900]  一個充滿挑戰的年度
[00:00:27.900 --> 00:00:30.900]  但主你的說話帶來盼望
[00:00:30.900 --> 00:00:32.900]  今天求主你的說話
[00:00:32.900 --> 00:00:35.900]  繼續跟每一個人進入我們的心
[00:00:35.900 --> 00:00:37.900]  讓我們去銘記
[00:00:37.900 --> 00:00:39.900]  幫助我們在信仰上
[00:00:39.900 --> 00:00:41.900]  真的去尋真
[00:00:41.900 --> 00:00:42.900]  我將以下散傳擺上
[00:00:42.900 --> 00:00:43.900]  求主憐憫託戴
[00:00:43.900 --> 00:00:45.900]  祈禱交託奉主名而求
[00:00:45.900 --> 00:00:47.900]  阿們
[00:00:47.900 --> 00:00:49.900]  2021年
[00:00:49.900 --> 00:00:53.900]  這可能是第三個主日
[00:00:53.900 --> 00:00:57.900]  教會這一年的主題是什麼呢
[00:00:57.900 --> 00:01:01.900]  成為基督門徒建立門訓教會
[00:01:01.900 --> 00:01:04.900]  過往我去很多不同的教會
[00:01:04.900 --> 00:01:06.900]  發覺說來華人教會
[00:01:06.900 --> 00:01:08.900]  很多很多教會
[00:01:08.900 --> 00:01:10.900]  都是以門訓做主題
[00:01:10.900 --> 00:01:12.900]  不知道大家知不知道
[00:01:12.900 --> 00:01:14.900]  為什麼
[00:01:14.900 --> 00:01:16.900]  我懷疑可能因為好幾年前
[00:01:16.900 --> 00:01:18.900]  三年前
[00:01:18.900 --> 00:01:25.900]  有一個全球華人教會的聚會
[00:01:25.900 --> 00:01:29.900]  講題就是講門訓
[00:01:29.900 --> 00:01:34.900]  但特別講員講到
[00:01:34.900 --> 00:01:38.900]  你是做一個如何的信徒
[00:01:38.900 --> 00:01:39.900]  不是做一個信徒
[00:01:39.900 --> 00:01:43.900]  是做一個怎樣的信徒
[00:01:43.900 --> 00:01:45.900]  哪一樣的信徒
[00:01:45.900 --> 00:01:47.900]  因為思考
[00:01:47.900 --> 00:01:51.900]  很多人對信仰有很多問題
[00:01:51.900 --> 00:01:53.900]  甚至乎有很多懷疑
[00:01:53.900 --> 00:01:55.900]  在當中可能過往一年
[00:01:55.900 --> 00:01:57.900]  令到大陸有很多懷疑
[00:01:57.900 --> 00:01:59.900]  我今早收到一個訊息
[00:01:59.900 --> 00:02:01.900]  有一個弟兄將一個
[00:02:01.900 --> 00:02:03.900]  頗長的WhatsApp和我分享
[00:02:03.900 --> 00:02:07.900]  他說見到這個世界這麼多的紛爭
[00:02:07.900 --> 00:02:08.900]  這麼多的分裂
[00:02:08.900 --> 00:02:10.900]  特別見到教會當中的分裂
[00:02:10.900 --> 00:02:12.900]  他就在感嘆
[00:02:12.900 --> 00:02:14.900]  他說八十年代九十年代
[00:02:14.900 --> 00:02:15.900]  來到澳洲的時候
[00:02:15.900 --> 00:02:17.900]  不同的宗派
[00:02:17.900 --> 00:02:20.900]  但大家見到這個雪梨華人的和祥
[00:02:20.900 --> 00:02:22.900]  一起不同的宗派和教會
[00:02:22.900 --> 00:02:25.900]  做很多聯合報道的事工
[00:02:25.900 --> 00:02:29.900]  一起為這個國度出一分力
[00:02:29.900 --> 00:02:31.900]  亦都見到神在當中的工作
[00:02:31.900 --> 00:02:33.900]  所以短短十年之內
[00:02:33.900 --> 00:02:35.900]  雪梨有很多很多的教會
[00:02:35.900 --> 00:02:37.900]  我早期八三年來的時候
[00:02:37.900 --> 00:02:39.900]  在澳洲三更主要是華人教會
[00:02:39.900 --> 00:02:41.900]  但到九十年代的時候
[00:02:41.900 --> 00:02:42.900]  就已經很多了
[00:02:42.900 --> 00:02:44.900]  包括我們靈福堂
[00:02:44.900 --> 00:02:46.900]  但今天他就在問
[00:02:46.900 --> 00:02:47.900]  為什麼我們今天
[00:02:47.900 --> 00:02:50.900]  不可以再有這樣的復興呢?
[00:02:50.900 --> 00:02:52.900]  我就回應他
[00:02:52.900 --> 00:02:55.900]  今天教會似乎最大的困難
[00:02:55.900 --> 00:02:58.900]  面對的不是外面
[00:02:58.900 --> 00:03:00.900]  外面可能是一個誘因
[00:03:00.900 --> 00:03:03.900]  我們內面的那種爭戰
[00:03:03.900 --> 00:03:04.900]  那種不和
[00:03:04.900 --> 00:03:06.900]  那種分門分派
[00:03:06.900 --> 00:03:08.900]  那種分顏色
[00:03:08.900 --> 00:03:10.900]  可能是更加嚴重
[00:03:10.900 --> 00:03:12.900]  如何面對?如何處理?
[00:03:12.900 --> 00:03:15.900]  是否一些門訓的口號
[00:03:15.900 --> 00:03:18.900]  或者一連串的計劃
[00:03:18.900 --> 00:03:19.900]  就可以做到呢?
[00:03:19.900 --> 00:03:21.900]  兩三年前那個講員
[00:03:21.900 --> 00:03:24.900]  全球的一個講員
[00:03:24.900 --> 00:03:25.900]  Edmond Chan
[00:03:25.900 --> 00:03:26.900]  他就提到
[00:03:26.900 --> 00:03:28.900]  真正的門訓
[00:03:28.900 --> 00:03:30.900]  不是很多很多的節目
[00:03:30.900 --> 00:03:31.900]  很多的program
[00:03:31.900 --> 00:03:32.900]  上很多的課
[00:03:32.900 --> 00:03:34.900]  而是從心而發
[00:03:34.900 --> 00:03:35.900]  心裏面有改變
[00:03:35.900 --> 00:03:38.900]  但如何改變一個人的心呢?
[00:03:38.900 --> 00:03:40.900]  如何能夠改變一個人的心呢?
[00:03:40.900 --> 00:03:42.900]  我看唯一的
[00:03:42.900 --> 00:03:45.900]  就是神的改變
[00:03:45.900 --> 00:03:47.900]  所以今天講到門訓
[00:03:47.900 --> 00:03:50.900]  大家很熟悉的經文是什麼?
[00:03:50.900 --> 00:03:51.900]  講到門訓
[00:03:51.900 --> 00:03:52.900]  你很熟悉的經文是什麼?
[00:03:52.900 --> 00:03:54.900]  你想不想到一個很熟悉的經文?
[00:03:54.900 --> 00:03:57.900]  我希望你回應
[00:03:57.900 --> 00:03:58.900]  當你想到門訓
[00:03:58.900 --> 00:04:00.900]  你心裏面出不到經文
[00:04:00.900 --> 00:04:03.900]  可能真的要看多一成經
[00:04:03.900 --> 00:04:05.900]  或者起碼聽到的時候
[00:04:05.900 --> 00:04:06.900]  要放一些東西
[00:04:06.900 --> 00:04:09.900]  放到你一個很深入的記憶裏面
[00:04:09.900 --> 00:04:11.900]  可能大家想到門訓
[00:04:11.900 --> 00:04:12.900]  想到什麼?
[00:04:12.900 --> 00:04:13.900]  大使命
[00:04:13.900 --> 00:04:15.900]  馬太福音28章19至10節
[00:04:15.900 --> 00:04:17.900]  你們要去
[00:04:17.900 --> 00:04:18.900]  使民作門徒
