
[00:00:00.000 --> 00:00:06.320]  今天,主耶穌復活了。
[00:00:06.320 --> 00:00:12.360]  我們從二月多三月一路進食禱告過來,
[00:00:12.360 --> 00:00:17.860]  整整是四十天,不包括週日、禮拜天。
[00:00:17.860 --> 00:00:21.720]  這叫做四旬節,The Lent。
[00:00:21.720 --> 00:00:28.320]  我們弟兄姊妹也都是全力的擺上進錢的禱告。
[00:00:28.320 --> 00:00:31.420]  我也是非常的高興有參與。
[00:00:31.420 --> 00:00:35.800]  各位有沒有看,我大概瘦了十磅,很高興。
[00:00:35.800 --> 00:00:41.520]  好了,這四十天過去了。
[00:00:41.520 --> 00:00:44.320]  禮拜五的時候,我們有一個Good Friday,
[00:00:44.320 --> 00:00:46.820]  壽難日的一個特別聚會。
[00:00:46.820 --> 00:00:50.320]  在座也有許多也都來參加了。
[00:00:50.320 --> 00:00:54.720]  基本上我們把從耶穌進聖城開始,
[00:00:54.720 --> 00:00:58.520]  這叫做Psalm Sunday,中述主日。
[00:00:58.520 --> 00:01:04.020]  耶穌騎著驢車進聖城,我特別強調一點,
[00:01:04.020 --> 00:01:09.320]  就是說我們總認為耶穌進聖城去要幹什麼?
[00:01:09.320 --> 00:01:13.120]  其實這是神救贖的計劃,
[00:01:13.120 --> 00:01:17.420]  是猶太人為了要準備逾越節的羔羊,
[00:01:17.420 --> 00:01:20.520]  他是要在那個禮拜天去選的。
[00:01:20.520 --> 00:01:28.620]  所以神選了耶穌,猜祂進城來就是被殺的羔羊。
[00:01:28.620 --> 00:01:31.020]  跟著就是逾越節,
[00:01:31.020 --> 00:01:37.120]  那麼耶穌與十二個門徒就吃逾越節的晚餐,
[00:01:37.120 --> 00:01:41.420]  而且喝到第三杯酒,或者葡萄汁,
[00:01:41.420 --> 00:01:45.420]  這叫做救贖之杯,The Holy Cup,
[00:01:45.420 --> 00:01:50.020]  祂就拿起來,祂說這是我與你立約的喜,
[00:01:50.020 --> 00:01:53.620]  我的身體為你破碎,等等。
[00:01:53.620 --> 00:01:59.320]  我也特別強調,在猶太人幫他們相親的時候,
[00:01:59.320 --> 00:02:05.320]  如果男的中意女的,他就會拿起一杯酒來,
[00:02:05.320 --> 00:02:08.720]  他說我與你立婚約。
[00:02:08.720 --> 00:02:14.220]  所以耶穌他拿起這個酒,他與我們立婚約。
[00:02:14.220 --> 00:02:16.420]  聖經不是也常常說,
[00:02:16.420 --> 00:02:22.320]  神在末日的時候要用索羅門王的大花轎來把我們抬走,
[00:02:22.320 --> 00:02:28.020]  所以我們要做警醒的童女,不要燈裡面少了油。
[00:02:28.020 --> 00:02:33.520]  跟著就到科西瑪麗園禱告,跟著就被捉拿。
[00:02:33.520 --> 00:02:40.720]  禮拜五就被審判,被鞭打,被釘上十字架。
[00:02:40.720 --> 00:02:45.220]  禮拜五的時候九點鐘掛上十字架,
[00:02:45.220 --> 00:02:47.820]  正午的時候遍地黑暗,
[00:02:47.820 --> 00:02:51.520]  下午三點的時候,耶穌就說成了,
[00:02:51.520 --> 00:02:54.920]  哇,我把我的靈魂交在你手上。
[00:02:54.920 --> 00:02:58.420]  耶穌就斷氣了,然後把他拿下來,
[00:02:58.420 --> 00:03:04.520]  放在婦人約瑟她的一個新鑿的洞穴墳墓裡面,
[00:03:04.520 --> 00:03:08.220]  那是沒有葬過的,被大石頭滾了,
[00:03:08.220 --> 00:03:14.620]  耶穌就安息在那裡面,羅馬彬彬守在外面。
[00:03:14.620 --> 00:03:18.120]  我們也特別講說,祂在十字架上面,
[00:03:18.120 --> 00:03:21.620]  祂特別有講七句話,譬如祂說,
[00:03:21.620 --> 00:03:24.620]  父愛你赦免他們,因為他們不知道他們做的。
[00:03:24.620 --> 00:03:29.020]  或者祂跟那個強盜說,今日你就同我在樂園裡面了。
[00:03:29.020 --> 00:03:33.620]  或者把祂的母親交託給心愛的門徒約翰,
[00:03:33.620 --> 00:03:37.920]  說母親看你的兒子,兒子看你的母親,等。
[00:03:37.920 --> 00:03:42.020]  然後祂說成了,然後祂說我把我的靈魂交在你的手上。
